id,name,level,path,original_description,new_description,focus_areas,difficulty_level
b8070f64-a682-400e-b33d-7900ce5cc21e,Communication Skills,1,Life Skills > Communication Skills,[NO DESCRIPTION],"Discover the art of communication! In this engaging course, you'll learn how to express your thoughts and feelings clearly, listen actively to others, and build strong connections through respectful dialogue. From public speaking tips to conflict resolution strategies, you'll develop the essential skills to communicate effectively in all areas of your life, from school projects to social interactions.","public speaking, active listening, nonverbal communication, conflict resolution, persuasive writing",beginner
621e42da-a613-488d-84b7-38fa5971326b,Crafts & Applied Arts,1,Creative Skills > Crafts & Applied Arts,[NO DESCRIPTION],"Crafts & Applied Arts explores the creative processes and design principles behind a variety of artistic mediums. Delve into the history, materials, and techniques of disciplines like ceramics, textiles, woodworking, or metalsmithing. Examine how aesthetic theories and cultural influences shape the visual elements of functional or decorative objects. Develop an understanding of color theory, composition, and the expressive potential of different artistic media.","artistic techniques, design principles, aesthetic theories, creative processes, cultural influences",beginner|intermediate|advanced
3c4a7b47-f7aa-488b-92dd-a6dbd8814f04,Critical Thinking,1,Life Skills > Critical Thinking,[NO DESCRIPTION],"Critical Thinking is all about learning how to ask good questions, look at problems from different angles, and figure out the best solutions. You'll explore ways to break down information, spot patterns, and come up with creative ideas. It's like being a detective - you'll learn to gather clues, consider different possibilities, and draw your own conclusions instead of just taking things at face value.","questioning assumptions, evaluating evidence, analyzing multiple perspectives, solving complex problems",intermediate
797aa468-1706-456e-987e-754a91892a8c,Culinary Arts and Nutrition,1,Applied Sciences > Culinary Arts and Nutrition,[NO DESCRIPTION],"Explore the fascinating world of food, cooking, and nutrition! In this subject, you'll learn all about the science behind the meals we eat every day. Discover how different ingredients and cooking methods affect the taste, texture, and nutritional value of foods. Dive into the chemistry of flavors, the biology of digestion, and the role of nutrients in keeping our bodies healthy. You'll also investigate the cultural and historical influences on cuisines around the world. Get ready to satisfy your curiosity about the food we love!","food chemistry, nutrition science, culinary traditions, food preparation techniques",beginner
339d1f0e-cba2-455a-982e-16515d18adf3,Cybersecurity,1,Technical Skills > Cybersecurity,[NO DESCRIPTION],"Cybersecurity explores the critical systems and techniques used to protect digital information and infrastructure from unauthorized access, misuse, and malicious attacks. You'll delve into the principles of cryptography, network security protocols, vulnerability assessment, and incident response planning. By understanding the mindset and methods of cyber attackers, you'll learn how to design robust security architectures and implement effective safeguards to shield sensitive data and vital systems.","cryptography, network security, vulnerability assessment, incident response",intermediate
2c45a75b-87d6-457c-8ab4-35eaafc1d74c,Data Science,1,Technical Skills > Data Science,[NO DESCRIPTION],"Data Science explores the scientific principles and methods used to extract meaningful insights from data. This interdisciplinary field combines statistical analysis, computer programming, and domain-specific knowledge to understand natural phenomena, test hypotheses, and make informed decisions. Through the use of sophisticated algorithms and computational tools, Data Science enables the identification of patterns, trends, and relationships within large, complex datasets. Whether studying the behavior of financial markets, the spread of diseases, or the preferences of online consumers, Data Science provides a systematic approach to transforming raw data into actionable knowledge.","statistical modeling, machine learning, data visualization, data mining, predictive analytics",intermediate
6738c9b8-8b90-44a9-9cb4-6c1a8a672451,Design Thinking & Innovation,1,Creative Skills > Design Thinking & Innovation,[NO DESCRIPTION],"Dive into the world of design thinking - the creative process that helps you come up with innovative solutions to problems! You'll explore how designers use empathy, experimentation, and iteration to tackle challenges in unique ways. Learn about the key principles of design, like understanding your audience, prototyping ideas, and refining your designs. Discover how to harness your creativity and turn your imaginative ideas into reality.","empathy and user needs, ideation and brainstorming, prototyping and testing, design principles and elements",beginner
eeb33e66-3d91-45f7-aff1-843eac3081eb,Digital & Technology Skills,1,Professional Skills > Digital & Technology Skills,[NO DESCRIPTION],"Dive into the dynamic world of digital technologies and sharpen your technological savvy. Explore the fundamental concepts and emerging trends that are shaping our digitally-driven society, from computer programming and data analytics to cybersecurity and artificial intelligence. Gain a deeper understanding of how these cutting-edge technologies work, their real-world applications, and the critical role they play in various industries and domains. Unlock the power of digital tools and cultivate the essential skills needed to navigate the ever-evolving digital landscape with confidence.","computer programming, data analysis and visualization, network security and cryptography, artificial intelligence and machine learning, digital media and design",beginner
b1e3e3ab-bd8c-41af-8230-d89e8d5173a8,Digital Citizenship & Media Literacy,1,Technical Skills > Digital Citizenship & Media Literacy,[NO DESCRIPTION],"Explore the critical skills needed to navigate the digital world responsibly and effectively. This category delves into the principles of digital citizenship, teaching you how to engage safely and ethically with technology, social media, and online communities. You'll also develop media literacy - the ability to critically analyze, evaluate, and create digital content. Discover strategies for managing your digital footprint, spotting misinformation, and using technology as a tool for positive change.","digital ethics, online privacy and security, evaluating online information, creating and sharing digital content, digital well-being",beginner
46020c7f-d2a5-4d7e-b908-2780359182a3,Digital Literacy,1,Technical Skills > Digital Literacy,[NO DESCRIPTION],"Digital Literacy explores the essential skills and knowledge needed to effectively navigate the digital world. Delve into topics like online safety, digital communication, data analysis, and multimedia creation - equipping you with the tools to thrive in our increasingly technology-driven society. Discover how to critically evaluate online information, protect your privacy, and leverage digital platforms to express your ideas. Develop a deeper understanding of the underlying systems and design principles that shape the digital landscape.","online safety, digital communication, data analysis, multimedia creation, digital information evaluation",beginner
