id,language_id,category_id,chapter,question_text,question_type,options,correct_answer_index,explanation,difficulty_level,source_url
6b9a48dc-c390-4cdc-a11c-91442d18b706,84acf185-0b8c-4c2a-99f3-c5056be86d23,1b922f3b-71da-490a-a6de-2637b2313c95,1,What does 'terra' mean?,multiple_choice,"[""tree"", ""book"", ""friend"", ""land, earth""]",0,"'terra' means 'land, earth'",1,Henle First Year Latin - Chapter 1
1eb8e546-be94-424f-a14d-01ff23bf37f7,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,2,Form the genitive singular of 'servus',fill_in_blank,"[""servi""]",0,The genitive singular of 'servus' is 'servi',2,Henle First Year Latin - Chapter 2
7dbcee0c-a07a-4c5d-b46d-468dabab5c20,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,2,Form the accusative plural of 'dominus',fill_in_blank,"[""dominos""]",0,The accusative plural of 'dominus' is 'dominos',2,Henle First Year Latin - Chapter 2
670fdc74-1782-4321-94c1-66f502665863,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,2,Form the vocative singular of 'filius',fill_in_blank,"[""fili""]",0,The vocative singular of 'filius' is 'fili',2,Henle First Year Latin - Chapter 2
31081b2e-4a0a-4082-b3b3-ed55ed191981,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,2,Form the ablative singular of 'amicus',fill_in_blank,"[""amico""]",0,The ablative singular of 'amicus' is 'amico',2,Henle First Year Latin - Chapter 2
ce67d01f-6a35-4887-ac45-322c911c1071,84acf185-0b8c-4c2a-99f3-c5056be86d23,22660823-a19f-40d7-8c34-adcd0acd7d7d,3,What is special about neuter nouns?,multiple_choice,"[""Nominative and accusative are always the same"", ""They have no plural forms"", ""They only use three cases"", ""They never change endings""]",0,"In all neuter nouns, nominative and accusative forms are identical",3,Henle First Year Latin - Chapter 3
6c4ee2a5-1271-4272-bead-524f40ff5ea6,84acf185-0b8c-4c2a-99f3-c5056be86d23,22660823-a19f-40d7-8c34-adcd0acd7d7d,3,What is the nominative plural ending for neuter nouns?,multiple_choice,"[""-a"", ""-um"", ""-i"", ""-os""]",0,All neuter nouns have -a in nominative and accusative plural,3,Henle First Year Latin - Chapter 3
e1fdfb23-b80a-4b15-a0bf-83293ec73383,84acf185-0b8c-4c2a-99f3-c5056be86d23,fdab6231-4268-4518-be85-a4c746e36b6a,5,How do you say 'I am' in Latin?,fill_in_blank,"[""sum""]",0,'I am' is 'sum' in Latin,5,Henle First Year Latin - Chapter 5
4d7e314a-f2ce-42d1-befd-044a6950f944,84acf185-0b8c-4c2a-99f3-c5056be86d23,fdab6231-4268-4518-be85-a4c746e36b6a,5,How do you say 'you are (singular)' in Latin?,fill_in_blank,"[""es""]",0,'you are (singular)' is 'es' in Latin,5,Henle First Year Latin - Chapter 5
9488d624-4827-475c-a6a9-e84c93ad672e,84acf185-0b8c-4c2a-99f3-c5056be86d23,fdab6231-4268-4518-be85-a4c746e36b6a,5,How do you say 'he/she/it is' in Latin?,fill_in_blank,"[""est""]",0,'he/she/it is' is 'est' in Latin,5,Henle First Year Latin - Chapter 5
661373d7-7e77-4219-b97e-c6a9305aa1fe,84acf185-0b8c-4c2a-99f3-c5056be86d23,fdab6231-4268-4518-be85-a4c746e36b6a,5,How do you say 'we are' in Latin?,fill_in_blank,"[""sumus""]",0,'we are' is 'sumus' in Latin,5,Henle First Year Latin - Chapter 5
302dc9c2-4e5e-4549-b2e5-04c7aeba530c,84acf185-0b8c-4c2a-99f3-c5056be86d23,fdab6231-4268-4518-be85-a4c746e36b6a,5,How do you say 'they are' in Latin?,fill_in_blank,"[""sunt""]",0,'they are' is 'sunt' in Latin,5,Henle First Year Latin - Chapter 5
