Question,Answer,Difficulty,Type,Verb,Tense,Person,Has_Audio,Has_Image,Anki_Tags
"↧ En aquel momento ↧vosotros _____ (conscientes de ello)","fuisteis","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser vosotros "
"↧ En aquel momento ↧ellos/ellas/ustedes _____ (conscientes de ello)","fueron","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity in_the_wild indefinido irregular_form irregular_verb refrán ser "
"→ En el futuro, →yo _____ (consciente de ello)","seré","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity futuro irregular_verb regular_form ser yo "
"→ En el futuro, →tú/vos _____ (consciente de ello)","serás","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity futuro irregular_verb regular_form ser tú_vos "
"→ En el futuro, →él/ella/usted _____ (consciente de ello)","será","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity futuro irregular_verb regular_form ser él_ella_usted "
"→ En el futuro, →nosotros _____ (conscientes de ello)","seremos","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity futuro irregular_verb nosotros regular_form ser "
"→ En el futuro, →vosotros _____ (conscientes de ello)","seréis","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity futuro irregular_verb regular_form ser vosotros "
"→ En el futuro, →ellos/ellas/ustedes _____ (conscientes de ello)","serán","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity futuro irregular_verb regular_form ser "
"… Si ocurriese esto, …yo _____ (consciente de ello)","sería","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ends_in_er extreme_irregularity irregular_verb regular_form ser yo "
"… Si sucediera esto, …tú/vos _____ (consciente de ello)","serías","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ends_in_er extreme_irregularity irregular_verb regular_form ser tú_vos "
"… Si acaeciera algo, …él/ella/usted _____ (consciente de ello)","sería","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ends_in_er extreme_irregularity irregular_verb regular_form ser él_ella_usted "
"… Si pasara algo, …nosotros _____ (conscientes de ello)","seríamos","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ends_in_er extreme_irregularity irregular_verb nosotros regular_form ser "
"… Si aconteciese esto, …vosotros _____ (conscientes de ello)","seríais","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ends_in_er extreme_irregularity irregular_verb regular_form ser vosotros "
"… Si se produjera esto, …ellos/ellas/ustedes _____ (conscientes de ello)","serían","Advanced","fill_in_blank","ser","None","None","No","No"," condicional ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_verb regular_form ser "
"〰 Resulta divertido que 〰yo _____ (consciente de ello)","sea","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente yo "
"〰 Resulta divertido que 〰tú/vos _____ (consciente de ello)","seas","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb refrán ser subjuntivo_presente tú_vos "
"〰 Resulta divertido que 〰él/ella/usted _____ (consciente de ello)","sea","Elementary","fill_in_blank","ser","None","None","No","No"," cita ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb ser subjuntivo_presente él_ella_usted "
"〰 Resulta divertido que 〰nosotros _____ (conscientes de ello)","seamos","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb nosotros ser subjuntivo_presente "
"〰 Resulta divertido que 〰vosotros _____ (conscientes de ello)","seáis","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente vosotros "
"〰 Resulta divertido que 〰ellos/ellas/ustedes _____ (conscientes de ello)","sean","Elementary","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_presente "
"↫ Fue sorprendente que ↫yo _____ (consciente de ello)","fuera | fuese","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado yo "
"↫ Fue sorprendente que ↫tú/vos _____ (consciente de ello)","fueras | fueses","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado tú_vos "
"↫ Fue sorprendente que ↫él/ella/usted _____ (consciente de ello)","fuera | fuese","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb refrán ser subjuntivo_pasado él_ella_usted "
"↫ Fue sorprendente que ↫nosotros _____ (conscientes de ello)","fuéramos | fuésemos","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo nosotros ser subjuntivo_pasado "
"↫ Fue sorprendente que ↫vosotros _____ (conscientes de ello)","fuerais | fueseis","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado vosotros "
"↫ Fue sorprendente que ↫ellos/ellas/ustedes _____ (conscientes de ello)","fueran | fuesen","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_pasado "
"Hombre, por favor,¡ _____ (consciente de ello), ya !","sé","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser tú_vos "
"Mujer, por favor,¡ no _____ (así) !(tú/vos)","seas","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperativo in_the_wild irregular_form irregular_verb negative_imperativo refrán ser tú_vos "
"Señora, por favor,¡ (que) _____ (consciente de ello), ya !(él/ella/usted)","sea","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser él_ella_usted "
"Vámonos equipo, por favor,¡ (que) _____ (conscientes), ya !(nosotros)","seamos","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperativo irregular_form irregular_verb nosotros ser "
"Tú y tú, por favor,¡ _____ (conscientes), ya !(vosotros)","sed","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperativo irregular_verb regular_form ser vosotros "
"Señores, por favor,¡ (que) _____ (conscientes), ya ! (ellos/ellas/ustedes)","sean","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity imperativo irregular_form irregular_verb ser "
"↬ Si en un dudoso futuro ↬yo _____ consciente, ¡suerte!","fuere","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_futuro yo "
"↬ Si en un dudoso futuro ↬tú/vos _____ consciente, ¡suerte!","fueres","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb refrán ser subjuntivo_futuro tú_vos "
"↬ Si en un dudoso futuro ↬él/ella/usted _____ consciente, ¡suerte!","fuere","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo ser subjuntivo_futuro él_ella_usted "
"↬ Si en un dudoso futuro ↬nosotros _____ conscientes, ¡suerte!","fuéremos","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb nosotros ser subjuntivo_futuro "
"↬ Si en un dudoso futuro ↬vosotros _____ conscientes, ¡suerte!","fuereis","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_futuro vosotros "
"↬ Si en un dudoso futuro ↬ellos/ellas/ustedes _____ conscientes, ¡suerte!","fueren","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb ser subjuntivo_futuro "
"El verbo enél haes _____","haber","Advanced","fill_in_blank","None","None","None","No","No"," ends_in_er extreme_irregularity haber infinitivo irregular_verb regular_form "
"Mientras estoy estudiando…está _____ (mucha especulación)","habiendo","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity gerundio haber irregular_verb regular_form "
"Hugo dice que ha _____ (un malentendido)","habido","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_verb participio regular_form "
"⊙ Ahora mismo, ⊙yo _____ (cambiado de opinión)","he","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb presente yo "
"⊙ Ahora mismo, ⊙tú/vos _____ (cambiado de opinión)","has","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber in_the_wild irregular_form irregular_verb presente refrán tú_vos "
"⊙ Ahora mismo, ⊙él/ella/usted _____ (cambiado de opinión)","ha","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb presente él_ella_usted "
"⊙ ¿Tiene usted tofu en la tienda? ⊙No, no _____","hay","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber idiom impersonal irregular_form irregular_verb presente "
"⊙ Ahora mismo, ⊙nosotros _____ (cambiado de opinión)","hemos","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber in_the_wild irregular_form irregular_verb nosotros presente refrán "
"⊙ Ahora mismo, ⊙vosotros _____ (cambiado de opinión)","habéis","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_verb presente regular_form vosotros "
"⊙ Ahora mismo, ⊙ellos/ellas/ustedes _____ (cambiado de opinión)","han","Elementary","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb presente "
"⇠ En esa época, a menudo, ⇠yo _____ (cenado antes de llegar a casa)","había","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperfecto irregular_verb regular_form yo "
"⇠ En esa época, a menudo, ⇠tú/vos _____ (cenado antes de llegar a casa)","habías","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperfecto irregular_verb regular_form tú_vos "
"⇠ En esa época, a menudo, ⇠él/ella/usted _____ (cenado antes de llegar a casa)","había","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperfecto irregular_verb regular_form él_ella_usted "
"⇠ En esa época, a menudo, ⇠nosotros _____ (cenado antes de llegar a casa)","habíamos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperfecto irregular_verb nosotros regular_form "
"⇠ En esa época, a menudo, ⇠vosotros _____ (cenado antes de llegar a casa)","habíais","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperfecto irregular_verb regular_form vosotros "
"⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes _____ (cenado antes de llegar a casa)","habían","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber imperfecto irregular_verb regular_form "
"↧ En aquel momento ↧una vez yo _____ (comido, ella salió)","hube","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber indefinido irregular_form irregular_verb yo "
"↧ En aquel momento ↧una vez tú/vos _____ (comido, ella salió)","hubiste","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber indefinido irregular_form irregular_verb tú_vos "
"↧ En aquel momento ↧una vez él/ella/usted _____ (comido, ella salió)","hubo","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber in_the_wild indefinido irregular_form irregular_verb refrán él_ella_usted "
"↧ En aquel momento ↧una vez nosotros _____ (comido, ella salió)","hubimos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber indefinido irregular_form irregular_verb nosotros "
"↧ En aquel momento ↧una vez vosotros _____ (comido, ella salió)","hubisteis","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber indefinido irregular_form irregular_verb vosotros "
"↧ En aquel momento ↧una vez ellos/ellas/ustedes _____ (comido, ella salió)","hubieron","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber indefinido irregular_form irregular_verb "
"→ En el futuro, →yo _____ (viajado a lo largo y ancho de España)","habré","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb yo "
"→ En el futuro, →tú/vos _____ (viajado a lo largo y ancho de España)","habrás","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb tú_vos "
"→ En el futuro, →él/ella/usted _____ (viajado a lo largo y ancho de España)","habrá","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb él_ella_usted "
"→ En el futuro, →nosotros _____ (viajado a lo largo y ancho de España)","habremos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb nosotros "
"→ En el futuro, →vosotros _____ (viajado a lo largo y ancho de España)","habréis","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb vosotros "
"→ En el futuro, →ellos/ellas/ustedes _____ (viajado a lo largo y ancho de España)","habrán","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity futuro haber irregular_form irregular_verb "
"… Si ocurriese esto, …yo _____ (ganado el premio)","habría","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ends_in_er extreme_irregularity haber irregular_form irregular_verb yo "
"… Si sucediera esto, …tú/vos _____ (ganado el premio)","habrías","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ends_in_er extreme_irregularity haber irregular_form irregular_verb tú_vos "
"… Si acaeciera algo, …él/ella/usted _____ (ganado el premio)","habría","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ends_in_er extreme_irregularity haber irregular_form irregular_verb él_ella_usted "
"… Si pasara algo, …nosotros _____ (ganado el premio)","habríamos","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ends_in_er extreme_irregularity haber irregular_form irregular_verb nosotros "
"… Si aconteciese esto, …vosotros _____ (ganado el premio)","habríais","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ends_in_er extreme_irregularity haber irregular_form irregular_verb vosotros "
"… Si se produjera esto, …ellos/ellas/ustedes _____ (ganado el premio)","habrían","Advanced","fill_in_blank","haber","None","None","No","No"," condicional ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb "
"〰 Resulta divertido que 〰yo _____ (cambiado de opinión)","haya","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_presente yo "
"〰 Resulta divertido que 〰tú/vos _____ (cambiado de opinión)","hayas","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_presente tú_vos "
"〰 Resulta divertido que 〰él/ella/usted _____ (cambiado de opinión)","haya","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_presente él_ella_usted "
"〰 Resulta divertido que 〰nosotros _____ (cambiado de opinión)","hayamos","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb nosotros subjuntivo_presente "
"〰 Resulta divertido que 〰vosotros _____ (cambiado de opinión)","hayáis","Elementary","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_presente vosotros "
"〰 Resulta divertido que 〰ellos/ellas/ustedes _____ (cambiado de opinión)","hayan","Elementary","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_presente "
"↫ Fue sorprendente que ↫yo _____ (cambiado de opinión)","hubiera | hubiese","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_pasado yo "
"↫ Fue sorprendente que ↫tú/vos _____ (cambiado de opinión)","hubieras | hubieses","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_pasado tú_vos "
"↫ Fue sorprendente que ↫él/ella/usted _____ (cambiado de opinión)","hubiera | hubiese","Advanced","fill_in_blank","haber","None","None","No","No"," dicho ends_in_er extreme_irregularity haber in_the_wild irregular_form irregular_verb subjuntivo_pasado él_ella_usted "
"↫ Fue sorprendente que ↫nosotros _____ (cambiado de opinión)","hubiéramos | hubiésemos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb nosotros subjuntivo_pasado "
"↫ Fue sorprendente que ↫vosotros _____ (cambiado de opinión)","hubierais | hubieseis","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_pasado vosotros "
"↫ Fue sorprendente que ↫ellos/ellas/ustedes _____ (cambiado de opinión)","hubieran | hubiesen","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_pasado "
"Hombre, por favor,¡ _____ (comido antes de salir) !","he | habe","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperativo irregular_form irregular_verb tú_vos "
"Mujer, por favor,¡ no _____ (cenado antes de llegar a casa) !(tú/vos)","hayas","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperativo irregular_form irregular_verb negative_imperativo tú_vos "
"Señora, por favor,¡ (que) _____ (comido antes de salir) !(él/ella/usted)","haya","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperativo irregular_form irregular_verb él_ella_usted "
"Vámonos equipo, por favor,¡ (que) _____ (comido antes de salir) !(nosotros)","hayamos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperativo irregular_form irregular_verb nosotros "
"Tú y tú, por favor,¡ _____ (comido antes de salir) !(vosotros)","habed","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber imperativo irregular_verb regular_form vosotros "
"Señores, por favor,¡ (que) _____ (comido antes de salir) ! (ellos/ellas/ustedes)","hayan","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber imperativo irregular_form irregular_verb "
"↬ Si en un dudoso futuro ↬yo lo _____ dicho, ¡suerte!","hubiere","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_futuro yo "
"↬ Si en un dudoso futuro ↬tú/vos lo _____ dicho, ¡suerte!","hubieres","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_futuro tú_vos "
"↬ Si en un dudoso futuro ↬él/ella/usted lo _____ dicho, ¡suerte!","hubiere","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_futuro él_ella_usted "
"↬ Si en un dudoso futuro ↬nosotros lo _____ dicho, ¡suerte!","hubiéremos","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb nosotros subjuntivo_futuro "
"↬ Si en un dudoso futuro ↬vosotros lo _____ dicho, ¡suerte!","hubiereis","Advanced","fill_in_blank","haber","None","None","No","No"," ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_futuro vosotros "
"↬ Si en un dudoso futuro ↬ellos/ellas/ustedes lo _____ dicho, ¡suerte!","hubieren","Advanced","fill_in_blank","haber","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity haber irregular_form irregular_verb subjuntivo_futuro "
"El verbo enél estáes _____","estar","Intermediate","fill_in_blank","None","None","None","No","No"," ends_in_ar estar high_irregularity infinitivo irregular_verb regular_form "
"Mientras estoy estudiando…ella está _____ (parada)","estando","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar gerundio high_irregularity irregular_verb regular_form "
"Hugo ha _____ (en Cádiz)","estado","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity irregular_verb participio regular_form "
"⊙ Ahora mismo, ⊙yo _____ (en Cádiz)","estoy","Elementary","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb modismo presente yo "
"⊙ Ahora mismo, ⊙tú/vos _____ (en Cádiz)","estás","Elementary","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb modismo presente tú_vos "
"⊙ Ahora mismo, ⊙él/ella/usted _____ (en Cádiz)","está","Elementary","fill_in_blank","estar","None","None","No","No"," dicho ends_in_ar estar high_irregularity in_the_wild irregular_form irregular_verb presente él_ella_usted "
"⊙ Ahora mismo, ⊙nosotros _____ (en Cádiz)","estamos","Elementary","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity in_the_wild irregular_verb modismo nosotros presente regular_form "
"⊙ Ahora mismo, ⊙vosotros _____ (en Cádiz)","estáis","Elementary","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity in_the_wild irregular_verb modismo presente regular_form vosotros "
"⊙ Ahora mismo, ⊙ellos/ellas/ustedes _____ (en Cádiz)","están","Elementary","fill_in_blank","estar","None","None","No","No"," ellos_ellas_ustedes ends_in_ar estar high_irregularity irregular_form irregular_verb presente "
"⇠ En esa época, a menudo, ⇠yo _____ (en Cádiz)","estaba","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity imperfecto in_the_wild irregular_verb modismo regular_form yo "
"⇠ En esa época, a menudo, ⇠tú/vos _____ (en Cádiz)","estabas","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity imperfecto irregular_verb regular_form tú_vos "
"⇠ En esa época, a menudo, ⇠él/ella/usted _____ (en Cádiz)","estaba","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity imperfecto in_the_wild irregular_verb modismo regular_form él_ella_usted "
"⇠ En esa época, a menudo, ⇠nosotros _____ (en Cádiz)","estábamos","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity imperfecto in_the_wild irregular_verb modismo nosotros regular_form "
"⇠ En esa época, a menudo, ⇠vosotros _____ (en Cádiz)","estabais","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity imperfecto irregular_verb regular_form vosotros "
"⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes _____ (en Cádiz)","estaban","Intermediate","fill_in_blank","estar","None","None","No","No"," ellos_ellas_ustedes ends_in_ar estar high_irregularity imperfecto in_the_wild irregular_verb modismo regular_form "
"↧ En aquel momento ↧yo _____ (seguro/a)","estuve","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity indefinido irregular_form irregular_verb yo "
"↧ En aquel momento ↧tú/vos _____ (seguro/a)","estuviste","Intermediate","fill_in_blank","estar","None","None","No","No"," ends_in_ar estar high_irregularity indefinido irregular_form irregular_verb tú_vos "
