Module,Question,Options,Answer,Explanation,Difficulty
"Second Declension Masculine Nouns","Which form is the vocative singular of 'fīlius' (son)?","fīlie|fīlī|fīlius|fīliī","fīlī","Second declension nouns ending in -ius have vocative singular in -ī (not -ie).","beginner"
"Second Declension Masculine Nouns","What is the dative plural of 'deus' (god)?","deīs|deōs|deōrum|deī","deīs","Second declension dative/ablative plural ends in -īs.","beginner"
"Second Declension Masculine Nouns","Which ending indicates second declension masculine accusative plural?","-ōs|-ās|-a|-ēs","-ōs","Second declension masculine accusative plural ends in -ōs.","beginner"
"Second Declension Masculine Nouns","Translate 'equus':","foot soldier|horse|rider|chariot","horse","Equus means 'horse' in Latin.","beginner"
"Second Declension Neuter Nouns","What is the nominative plural ending for second declension neuter nouns?","-a|-ī|-um|-ōrum","-a","Second declension neuter nouns have -a as their nominative AND accusative plural ending.","beginner"
"Second Declension Neuter Nouns","Translate 'bellum' into English:","beautiful|war|good|book","war","Bellum means 'war' in Latin. It's a common second declension neuter noun.","beginner"
"Second Declension Neuter Nouns","What cases are always the same in neuter nouns?","Nominative and Genitive|Nominative and Accusative|Genitive and Dative|Dative and Ablative","Nominative and Accusative","In all neuter nouns, the nominative and accusative forms are identical.","beginner"
"Second Declension Neuter Nouns","What is the genitive plural of 'dōnum' (gift)?","dōna|dōnī|dōnōrum|dōnīs","dōnōrum","Second declension genitive plural is -ōrum for both masculine and neuter.","beginner"
"Second Declension Neuter Nouns","In 'Templa magna sunt', what case is 'templa'?","Nominative singular|Nominative plural|Accusative singular|Accusative plural","Nominative plural","Templa with -a ending is nominative plural (subject). 'Sunt' (are) confirms plural.","beginner"
"Second Declension Neuter Nouns","What is the ablative singular of 'verbum' (word)?","verbō|verbī|verbīs|verba","verbō","Second declension neuter ablative singular ends in -ō.","beginner"
"Second Declension Neuter Nouns","Which is a neuter second declension noun?","hortus|oppidum|servus|dominus","oppidum","Oppidum (town) is neuter, ending in -um.","beginner"
"Second Declension Neuter Nouns","Translate 'rēgnum':","king|queen|kingdom|royal","kingdom","Rēgnum means 'kingdom' in Latin.","beginner"
"Present Tense of Sum","What is the first person singular present of 'sum' (to be)?","sum|es|est|sunt","sum","Sum means 'I am' - first person singular present.","beginner"
"Present Tense of Sum","Translate 'sunt' into English:","I am|you are|he/she/it is|they are","they are","Sunt is third person plural: 'they are'.","beginner"
"Present Tense of Sum","What is the second person singular of 'sum'?","sum|es|est|sumus","es","Es means 'you are' (singular).","beginner"
"Present Tense of Sum","Complete: 'Nōs ___ amīcī' (We are friends)","sum|es|sumus|sunt","sumus","Sumus is first person plural: 'we are'.","beginner"
"Present Tense of Sum","In 'Puellae in hortō sunt', what does 'sunt' indicate about 'puellae'?","It's singular|It's plural|It's feminine|It's accusative","It's plural","Sunt (they are) confirms that puellae is plural.","beginner"
"Present Tense of Sum","What is the second person plural of 'sum'?","estis|sunt|sumus|es","estis","Estis means 'you (all) are' - second person plural.","beginner"
"Present Tense of Sum","Translate 'Est bonus':","I am good|You are good|He is good|They are good","He is good","Est (he/she/it is) bonus (good) = 'He is good'.","beginner"
"Present Tense of Sum","Which form means 'we are'?","sum|sumus|sunt|estis","sumus","Sumus is first person plural: 'we are'.","beginner"
"First Conjugation Verbs Present","What is the first person singular present of 'amō' (to love)?","amō|amās|amat|amant","amō","Amō means 'I love' - the first person singular keeps the -ō ending.","beginner"
"First Conjugation Verbs Present","What is the infinitive ending for first conjugation verbs?","-ō|-āre|-ēre|-ere","-āre","First conjugation infinitives end in -āre (long a).","beginner"
"First Conjugation Verbs Present","Translate 'laborant' into English:","I work|you work|he works|they work","they work","The -ant ending indicates third person plural: 'they work'.","beginner"
"First Conjugation Verbs Present","What is the third person singular of 'portō' (to carry)?","portō|portās|portat|portant","portat","Third person singular of first conjugation ends in -at.","beginner"
"First Conjugation Verbs Present","In 'Puella cantat', what person and number is 'cantat'?","1st singular|2nd singular|3rd singular|3rd plural","3rd singular","The -at ending shows third person singular: 'she sings'.","beginner"
"First Conjugation Verbs Present","What is the second person plural of 'laudō' (to praise)?","laudās|laudat|laudātis|laudant","laudātis","Second person plural of first conjugation ends in -ātis.","beginner"
"First Conjugation Verbs Present","Which ending shows first person plural in first conjugation?","-āmus|-ātis|-ant|-ō","-āmus","First person plural ends in -āmus: 'we [verb]'.","beginner"
"First Conjugation Verbs Present","Translate 'vocās':","I call|you call|he calls|they call","you call","The -ās ending is second person singular.","beginner"
