Module,Question,Options,CorrectIndex,CorrectAnswer,Explanation,Difficulty
"Second Declension Neuter Nouns","Translate 'rēgnum':","king|queen|kingdom|royal",2,"kingdom","Rēgnum means 'kingdom' in Latin.","easy"
"Present Tense of Sum","What is the first person singular present of 'sum' (to be)?","sum|es|est|sunt",0,"sum","Sum means 'I am' - first person singular present.","easy"
"Present Tense of Sum","Translate 'sunt' into English:","I am|you are|he/she/it is|they are",3,"they are","Sunt is third person plural: 'they are'.","easy"
"Present Tense of Sum","What is the second person singular of 'sum'?","sum|es|est|sumus",1,"es","Es means 'you are' (singular).","easy"
"Present Tense of Sum","Complete: 'Nōs ___ amīcī' (We are friends)","sum|es|sumus|sunt",2,"sumus","Sumus is first person plural: 'we are'.","easy"
"Present Tense of Sum","In 'Puellae in hortō sunt', what does 'sunt' indicate about 'puellae'?","It's singular|It's plural|It's feminine|It's accusative",1,"It's plural","Sunt (they are) confirms that puellae is plural.","easy"
"Present Tense of Sum","What is the second person plural of 'sum'?","estis|sunt|sumus|es",0,"estis","Estis means 'you (all) are' - second person plural.","easy"
"Present Tense of Sum","Translate 'Est bonus':","I am good|You are good|He is good|They are good",2,"He is good","Est (he/she/it is) bonus (good) = 'He is good'.","easy"
"Present Tense of Sum","Which form means 'we are'?","sum|sumus|sunt|estis",1,"sumus","Sumus is first person plural: 'we are'.","easy"
"First Conjugation Verbs Present","What is the first person singular present of 'amō' (to love)?","amō|amās|amat|amant",0,"amō","Amō means 'I love' - the first person singular keeps the -ō ending.","easy"
"First Conjugation Verbs Present","What is the infinitive ending for first conjugation verbs?","-ō|-āre|-ēre|-ere",1,"-āre","First conjugation infinitives end in -āre (long a).","easy"
"First Conjugation Verbs Present","Translate 'laborant' into English:","I work|you work|he works|they work",3,"they work","The -ant ending indicates third person plural: 'they work'.","easy"
"First Conjugation Verbs Present","What is the third person singular of 'portō' (to carry)?","portō|portās|portat|portant",2,"portat","Third person singular of first conjugation ends in -at.","easy"
"First Conjugation Verbs Present","In 'Puella cantat', what person and number is 'cantat'?","1st singular|2nd singular|3rd singular|3rd plural",2,"3rd singular","The -at ending shows third person singular: 'she sings'.","easy"
"First Conjugation Verbs Present","What is the second person plural of 'laudō' (to praise)?","laudās|laudat|laudātis|laudant",2,"laudātis","Second person plural of first conjugation ends in -ātis.","easy"
"First Conjugation Verbs Present","Which ending shows first person plural in first conjugation?","-āmus|-ātis|-ant|-ō",0,"-āmus","First person plural ends in -āmus: 'we [verb]'.","easy"
"First Conjugation Verbs Present","Translate 'vocās':","I call|you call|he calls|they call",1,"you call","The -ās ending is second person singular.","easy"
