id,word,old_level,new_level,definition_preview
693c4975-106a-4ab6-9d48-59a31ccfd5da,"abscond",3,2,"to leave hurriedly and secretly, typically to avoi"
ee3147ae-182f-4f91-817e-79e4d37fedca,"absent",3,2,"not present in a place or at an event; missing fro"
05206c78-23f3-4bf7-8cc1-7913c225e087,"abstrusenephrolith",null,5,"a kidney stone that is difficult to see or detect."
07e98d5a-5c40-43a6-9d26-0d9b26bf8086,"absurdly",2,3,"in a manner that is wildly unreasonable, illogical"
d25bba40-ab5f-4417-93b4-fc7c1661c2db,"abundance",2,3,"a very large quantity of something; plentifulness."
983d5a81-bb5c-4cfa-8d9a-3e434a343767,"abundancecalamitous",null,5,"a large quantity or amount of something; an abunda"
1d30258f-990e-4407-a353-dd501e9896a0,"abysmal",3,2,"extremely bad or appalling; resembling or befittin"
b42e9fea-0992-43ca-b006-7527d1b44121,"acacia",3,2,"a type of tree or shrub with yellow or white flowe"
b32c0ab6-ef97-47d4-98e1-938880a59808,"acade",3,5,"an archaic or variant form referring to an academy"
7909f5cc-fb9a-4b55-b887-8b6710b33fe5,"academese",4,3,"the jargon or specialized language used in academi"
01167fd7-3f63-429b-8067-ef37ce1cbe80,"academy",3,2,"an institution of higher learning; a school or col"
985dd8bc-8245-446c-a9ed-30434a4cddfc,"accent",3,2,"a distinctive way of pronouncing a language; empha"
0fa95ea9-b637-44d5-abe5-ed07dae75b55,"accept",3,2,"to receive willingly; to agree to or approve of; t"
3c394a44-e96a-4efa-ac34-985e2b434715,"acceptable",2,3,"satisfactory; meeting minimum standards; adequate "
a88507ff-245d-4156-920a-a9d4e92c6947,"accommodations",2,3,"lodging and food provided for travelers; adjustmen"
702df439-3e50-41c4-a146-64ac63690b2e,"accomplishments",2,3,"things that have been achieved successfully; skill"
8d7dda83-91ce-46b4-917d-c72fde2a8203,"accrual",3,2,"the accumulation or increase of something over tim"
47862ae3-1628-4639-889e-d348e34f8b59,"accuse",4,2,"to charge someone with wrongdoing; to blame or cla"
8fb85df5-192b-48ef-a111-225ba35b6bbb,"aceituna",2,3,"spanish word for olive; the small oval fruit of th"
058e9aed-4a2a-40c0-a915-237771117246,"acequia",3,2,"an irrigation ditch or canal, especially in the so"
3d0d6f31-243d-4278-a32c-aa729f3d7710,"acerola",3,2,"a small cherry-like fruit from the west indies, ex"
38eb7f7d-9715-49b5-802c-9f07ccae80be,"acetone",3,4,"a colorless, flammable liquid chemical compound us"
1d10a6ea-38c9-44e9-b1be-94e6dd3e519f,"acharya",3,2,"a hindu or buddhist spiritual teacher or guru; a l"
2feaa92e-b2da-4c95-8925-988b34443312,"ached",3,2,"past tense of ache; experienced a continuous dull "
d8089284-4242-44c9-bd25-293c8c900713,"acicula",3,2,"a needle-like structure or appendage; a small, sha"
ce9e1264-99ed-4f85-bb1c-81f7230f01b5,"acidophilus",2,3,"a type of beneficial bacteria (lactobacillus acido"
e44a30de-0a21-4334-925a-d33027a96634,"acoel",3,2,"a type of simple, flatworm-like marine animal with"
0e4bbf62-de20-4383-920d-c8b4ef4cdcd2,"acorn",3,2,"the nut of an oak tree; a hard-shelled seed that s"
68020422-eea0-48b3-95b2-6236742a99e2,"acquaintance",2,3,"a person known slightly but not intimately; famili"
1056d222-5cfc-411c-9e5a-8e529cf164cd,"acquit",3,2,"to declare someone not guilty of a criminal charge"
5eefc52e-97e9-4b91-9eb1-40f9e548d4c8,"acquitcapnometer",null,5,"a device used to measure the amount of carbon diox"
771b8bfe-ea14-4c6e-a2aa-53a80612eb36,"acral",3,2,"relating to the extremities of the body; pertainin"
657810df-1222-4ea3-b1af-ae7192f013f3,"acrid",3,2,"having a strong, unpleasant, and sharp smell or ta"
d4e8693c-dbff-4b16-b01a-af032884160d,"acrogeria",3,5,"a rare genetic disorder causing premature aging of"
eff25e5d-6e8e-4f20-abe0-c69d42653437,"acronym",3,2,"a word formed from the initial letters of other wo"
b6e483cc-7f59-4712-8614-21f7508640c4,"activities",2,3,"things that people do; actions or tasks, especiall"
6db7c8eb-3df5-4947-92ae-8d6a3c7e16a9,"activity",2,3,"the state of being active; a specific deed, action"
a658407f-759e-45d2-8d94-2798c685e30e,"acumen",3,2,"the ability to make good judgments and quick decis"
fc4d8578-2a80-4c80-94a0-5aea02b617d9,"acupuncture",3,4,"a traditional chinese medical practice involving t"
527d5597-4d2d-49e2-a097-ac5bb1a42742,"acutely",3,2,"in an intense or sharp manner; with keen perceptio"
cfa5932c-2f9b-4001-aa6a-fb49d700e16e,"adage",3,2,"a traditional saying expressing a common experienc"
d6d723ef-d182-4d7f-a3af-ee4dd02b8840,"addendum",2,3,"an additional item or supplement added to a book, "
b480805d-e403-44d3-82e9-33fb9b9d0135,"adding",3,4,"the act of putting together or combining; includin"
03229e16-0cdc-4103-a1dc-b978c4d00645,"addition",2,4,"the action of adding something; a mathematical ope"
dd25ebcc-e815-4949-982d-10c3486224be,"addle",3,2,"to make confused or muddled; to become rotten or s"
b56a7d69-fa80-48ef-97be-dc642c5e93f8,"adduced",3,2,"cited as evidence or proof; brought forward as an "
a3d93f3f-e2cf-4db0-9539-e7df100638f9,"adélie",3,2,"a species of penguin found in antarctica, characte"
4b77fc63-cbd4-4a7a-998b-047ef36a01aa,"adieu",3,2,"a farewell; goodbye (used as an interjection or no"
80c7a25f-cf50-4d4a-89a6-10133360fd17,"adipose",3,2,"relating to or consisting of fat; fatty tissue tha"
1ed51ba3-e749-4001-9050-99ff1e33eaf1,"adirondack",2,3,"relating to a mountain region in upstate new york;"
055938e6-0e9d-43ae-89ef-72de1678234e,"adjectives",2,3,"words that describe or modify nouns or pronouns; m"
fced1c77-9a13-45df-9e05-2592b5f678b8,"adjudicatecaricature",null,5,"to officially judge or decide on a disputed matter"
07c1289b-4c2a-49ba-bbfc-1e83a37ba854,"adjure",3,2,"to urge or request earnestly; to command solemnly "
0812b1ef-e456-48b1-add0-0083d06d81ab,"admiration",2,3,"a feeling of respect and approval; the act of rega"
4ef16a71-c8f1-4d6e-ac78-aad7fca35cc0,"admirer",3,2,"a person who regards someone or something with res"
1ae6f8f6-a6cf-42cb-95ef-3d77d1881ea1,"admit",3,2,"to confess to be true; to allow someone to enter; "
3bcca28f-8310-41c9-a72d-1d3601e85553,"admonition",2,3,"a gentle or friendly reproof; advice or warning gi"
605f7e15-1ed2-4524-b79c-3c0ee54503ed,"adorned",3,2,"decorated or made more beautiful with ornaments; e"
19e920b7-95c6-4e05-8ad0-47868e472758,"adrift",3,2,"floating without being steered or anchored; lackin"
946e5113-2a5a-473b-955b-56ed4dd54478,"adsum",3,2,"latin phrase meaning "i am present" or "here"; use"
3fae83dc-795c-4856-85c6-236ee394eee0,"adverb",3,2,"a word that modifies a verb, adjective, or other a"
9152e906-ab12-445a-931a-ce68434aa073,"adversaria",2,3,"miscellaneous notes or observations; a commonplace"
65886a16-019d-4e09-9058-5911f1d0cdd9,"advertisement",2,3,"a public notice or announcement promoting a produc"
c9491c7b-c108-467f-93f6-a560f69d1fac,"advertizement",2,5,"an archaic or alternative spelling of advertisemen"
2893dd25-6b6a-4e9a-81d0-986e81e1aa8a,"adviser",3,2,"a person who gives advice or counsel; someone who "
8807b89f-8aea-40fc-84bd-6f37d0a0dcb7,"advocatoryaerobics",null,5,"the practice of speaking or writing in support of "
93ef5b70-7523-4753-9f3c-72fcab83be23,"adzuki",3,2,"a small reddish-brown bean commonly used in east a"
bb99fcec-1176-409c-ad65-dbfad6036551,"aegrotat",3,4,"a medical certificate stating that a student is to"
eded3edc-486b-4fb3-a590-20983124095b,"aerocele",3,4,"a medical condition involving an abnormal air-fill"
64cdac6d-5d62-4ec9-acab-26ddf9eeb170,"aes",null,1,"a metal that is a chemical element, typically gold"
1be727c1-9c49-426d-89a7-6aa477df9ffa,"aesir",3,2,"in norse mythology, the principal group of gods in"
34874c4a-5079-4ae1-8555-aa7c18528ccf,"aeterno",3,2,"latin phrase meaning "forever" or "for eternity"; "
2783f36c-efad-4f57-9d21-6013d5c24f1c,"aethalium",2,3,"a large, cushion-like mass of spores formed by cer"
a49dc400-93e5-4f33-9387-e08e0d6a8007,"aethaliumaffiche",null,5,"a type of slime mold that forms a network of tubul"
2bab6190-dd26-4a6a-82d0-6daea7928368,"afar",3,1,"at or to a great distance; far away in space or ti"
3a650cec-a10c-4f45-a4a2-0bc481e75efa,"affable",3,2,"easy to approach and talk to; friendly, good-natur"
df080628-e894-4a40-b333-28401452c43b,"affeer",4,2,"to assess or fix the amount of a fine or penalty; "
79f1230a-12f3-4050-9c5a-d4630716938c,"affiche",3,2,"a poster or public notice, especially one announci"
662c753b-1905-4725-9dfc-613b713b93ef,"affiliateaffluent",null,5,"a company or organization that promotes the produc"
15d611fd-16cc-46d2-8bf9-49d225683d4c,"affront",3,2,"an action or remark that causes outrage or offense"
bd08788c-51fa-4c13-be00-84cb4ce25b8e,"afghan",3,2,"a knitted or crocheted blanket; a person from afgh"
a625e626-0d15-41f7-9123-52aacc4eb05c,"afghanistan",2,3,"a landlocked country in central asia, bordered by "
05035283-01d8-4b38-86fc-98de9a0a1973,"afraid",3,2,"feeling fear or anxiety; worried about possible ha"
72a6ddf6-2138-401b-a253-8c9cffa45c51,"africa",3,2,"the second-largest continent in the world, located"
b96b5a4c-20d9-4b52-b2cc-e10b74cb240b,"afroth",3,2,"covered with froth or foam; in a frothy state; agi"
3243b1b8-88d7-419f-8dc5-0064c4574f18,"agalma",3,2,"in ancient greek art and religion, a sacred statue"
6994b707-7acf-47e5-84b7-a305ad87da76,"agate",3,2,"a hard, fine-grained variety of quartz with bands "
2074221f-7197-4552-b15e-49a3999e1ad4,"agave",3,2,"a succulent plant native to mexico and the southwe"
be113eb5-7b35-4935-9eb9-a3ade832eeec,"agility",2,3,"the ability to move quickly and easily; mental qui"
a3abdeee-c15a-4636-8307-9998f54a6ded,"aglaia",3,2,"in greek mythology, one of the three graces, repre"
1c52f495-f3c3-4c52-a34e-db00cfe72af1,"agnail",3,2,"a torn or detached piece of skin next to a fingern"
da1ec227-9f14-4daf-89be-2d735d60b0c3,"agnesi",3,4,"a mathematical curve named after maria gaetana agn"
aef7fecd-a532-4393-a37e-9ebb97558ddc,"agnomen",3,2,"an additional name or epithet, especially one give"
a52be253-3b68-4b19-b9da-e1a59fb1fdfa,"agrypnia",2,3,"persistent sleeplessness; chronic insomnia; the co"
be77a56b-312d-4414-88ff-3a1b64683aa9,"agrypniaague",null,3,"insomnia or inability to sleep."
6cf849fb-5311-44c1-a7c6-7b340e530852,"ague",3,1,"a fever characterized by fits of shivering and swe"
a1fdfae4-4400-4a2e-b9b7-3356b04fb8eb,"ahimsa",3,2,"the hindu and buddhist principle of non-violence t"
c18f5e15-1fcb-4335-b737-fa85b46c6157,"ahoy",3,1,"a nautical greeting or call used to attract attent"
f6d0cb84-e4cc-4de0-80c4-1f509b0aee63,"ahuatle",3,2,"the eggs of aquatic insects, especially water boat"
11bd80a8-187a-4094-b303-8770e43b37c1,"ahura",3,2,"in zoroastrianism, a divine being or deity; specif"
a45eda82-4852-4f17-ae95-c913c726d368,"aikido",3,2,"a japanese martial art that uses circular movement"
62b1051a-8171-462c-9474-232bf60f58be,"ailette",3,2,"a small plate of armor worn on the shoulder in med"
6105fa0e-adab-464c-83bc-23cee0383ad6,"ailment",2,3,"a minor illness or health problem; a disorder or c"
7ec40df3-4900-4eb6-9807-86a7de9854e7,"aioli",3,2,"a mediterranean sauce made of garlic, olive oil, a"
9e92dfc4-64fe-414c-b284-46864d45962f,"airing",3,2,"the action of broadcasting a program; exposure to "
bbe6b27e-e5f7-4ba4-8af1-853ca12af39b,"aisles",3,2,"passages between rows of seats or shelves; walkway"
72f9b3a1-504d-4933-909b-851ccf61c6a5,"aiuy",3,1,"a rare or obsolete term, possibly referring to a t"
cbe2d547-bfc1-4b9d-b890-2fe3160aa0de,"ajimez",3,2,"a type of arched window divided by a slender colum"
f129d383-95b1-405d-bcbe-0c035165ad5d,"akimbo",3,2,"with hands on the hips and elbows turned outward; "
8c2e32ed-28f1-4559-8ee4-7cee5ae96010,"akkum",3,2,"a type of traditional fermented beverage or prepar"
b34fe1d8-0c1f-418a-8226-e659d6b69234,"alai",3,1,"part of "jai alai," a fast ball game played with c"
4777f227-04a9-45be-8fe0-256e4ab99704,"alas",3,1,"an exclamation expressing grief, pity, or concern;"
686861e6-ab0b-47ec-bb9f-66dffcd41c8b,"alate",3,2,"having wings or wing-like extensions; in entomolog"
00205f92-c991-4d05-96f3-8fa9c5a835f9,"albeit",3,2,"although; even though; notwithstanding that."
3ac40265-acf5-4044-841d-9c0d82b46b2f,"alberta",3,2,"a province in western canada, known for its natura"
e4ee8ecb-9ae2-409b-82e8-e9ab0c78d93b,"albion",3,2,"an ancient poetic name for britain or england; the"
a90586c8-9435-43bc-9f8d-42e4c3e5adf9,"albuquerque",2,3,"the largest city in new mexico, united states."
fce043f1-b579-454b-8784-c38cd0dc4d86,"alcarraza",2,3,"a porous earthenware water jar used for cooling wa"
db2c8eda-2a5e-448c-89ba-1f2ec91b6932,"alembroth",2,4,"an alchemical salt, specifically a mixture of merc"
238463fe-a01b-4e85-b3cf-d19faac78b64,"alexandria",2,3,"an ancient city in egypt, founded by alexander the"
352884c2-70b8-4a04-bb4b-b6c9add4ad1d,"algae",3,2,"simple aquatic organisms, typically photosynthetic"
86913d2d-8cb9-4a01-a4eb-89c5ec24fd40,"algebraic",2,3,"relating to or involving algebra; expressed using "
26524662-0a8c-4429-8647-abd1aecfab20,"algiers",3,2,"the capital and largest city of algeria, located i"
84a0af7d-192e-4893-ba5c-5250373c589b,"alibi",3,2,"evidence that a person was elsewhere when a crime "
bc6f304b-2cd3-4948-83ec-d6f28fc770cb,"alienate",2,3,"to cause someone to become unfriendly or hostile; "
a5d6003e-c805-4d90-97f9-b154e810201b,"alighted",2,3,"past tense of alight; came down and settled; got o"
00aa7fd9-225c-4cba-b2bf-b053e11cc100,"alimentation",2,3,"the process of nourishing or being nourished; the "
c1aae921-431e-4b4a-995e-c5acacfa3211,"allée",3,2,"a tree-lined walkway or avenue, especially in a ga"
6ce22e87-9e33-47dc-aa94-184d297ff5c5,"allegedly",2,3,"according to claims or assertions; supposedly but "
ca5cf16e-bf8a-4cba-af83-816045c9f93f,"allelopathy",null,4,"the chemical inhibition of one plant by another du"
07359445-5758-4e3a-98bb-15861a756a72,"alleluiatic",2,3,"of or relating to alleluia; characterized by prais"
5099e870-b49c-4f72-bd46-01c59e379e72,"allochroous",2,3,"changing color; exhibiting different colors."
82808505-8e25-447d-bc1a-11cbc658b478,"allonym",3,2,"the name of another person, especially when used b"
5d4b4175-07e3-4f8a-9965-97b0b1015023,"alloy",3,2,"a mixture of metals; to mix metals or to combine d"
9f2477c3-2da1-4a98-9b90-44a115c2a439,"alluvialalma",2,3,"error: this appears to be two words incorrectly jo"
a84d3803-2bcd-4510-b203-2bd80975ce69,"alma",3,1,"soul; nourishing; often used in 'alma mater' (nour"
180d1bfd-c5a1-4f24-a168-afcfd0204c3d,"almoner",3,2,"a person who distributes alms (charity) on behalf "
90158fa2-83ce-4dac-9ded-aa61f94e4f90,"alms",2,1,"money or goods given to the poor as charity."
e0f17208-2ae4-4b68-8f6b-02f3f6b025c5,"almuerzo",2,3,"lunch; the midday meal (spanish term)."
35b84872-1cbb-422a-a986-e6e288658688,"aloha",3,2,"a hawaiian greeting meaning hello, goodbye, or lov"
4b0ac78e-4c79-4aab-84df-1427a9657e57,"along",3,2,"in company with; by the side of; throughout the le"
08d300e7-f2c3-4495-9788-708726b81d4c,"alongside",2,3,"close to and parallel with; next to; in cooperatio"
57e80d13-d36a-4b07-9a38-f468f6c6b46a,"alpaca",3,2,"a domesticated camelid from south america, valued "
00db558d-097f-4497-97ce-021e83c535ef,"alpestrine",2,3,"of or relating to high mountains; alpine; growing "
4f718576-243e-4497-9685-b53787d90f5c,"alpha",3,2,"the first letter of the greek alphabet; the beginn"
d1a2c83d-3c63-44c2-aab0-453a275a22bb,"alphabet",2,3,"a set of letters or symbols representing the basic"
9d8635e6-b3e7-4a89-be33-91607b308caf,"alphabetically",2,3,"in the order of the alphabet; arranged according t"
4ed0d0c1-e242-4e7e-add9-1a2ac1603fe3,"already",3,2,"by this time; before now; previously."
bda9a147-ceb8-48ea-a72a-cacc639cf170,"alternate",2,3,"to occur in turns; every other one; substitute."
46983b9e-4138-4572-af21-f7f088203312,"althorn",3,2,"a brass musical instrument similar to a french hor"
8c226eea-9b76-4ad3-99bb-4024881740c2,"altimeter",2,3,"an instrument that measures altitude or height abo"
4655e3af-d85f-4851-b359-5f1a992b3da1,"aluminum",2,3,"a lightweight, silvery-white metallic element."
fb2e5879-e0ea-4d4d-8835-0bbb8f051f19,"amalgam",3,2,"a mixture or blend; specifically, an alloy of merc"
cdff2eb8-5792-43a0-8227-c43ea1091a90,"amaryllis",2,3,"a bulbous plant with large, colorful, trumpet-shap"
a84b48c5-fa8e-4e9b-b35c-d421e4f88f3a,"amass",3,2,"to gather together or accumulate a large quantity "
4eb5db6d-4e8e-4984-b2ab-b920c5250455,"amazed",3,2,"past tense of amaze; filled with wonder and surpri"
3abc4d6e-33c0-4cb5-8b73-798bf386f637,"amazon",3,2,"a tall, strong woman warrior; the world's largest "
15dbb382-d610-411c-b10c-2ea1daad1af5,"ambidexterity",2,3,"the ability to use both hands equally well."
abc0cd31-c042-4649-aae8-c1fc3916ccde,"ambient",3,2,"relating to the immediate surroundings; environmen"
54be74fc-1feb-455e-a36e-1ce4b1bce572,"ambiguous",2,3,"having more than one possible meaning; unclear."
648dad13-d78d-48c3-887c-54187ef7c2af,"americana",2,3,"things associated with american culture, especiall"
36359939-c64d-4c0f-8f04-30557f7ec022,"americanaamiably",null,5,"behaving in a friendly, pleasant, and agreeable ma"
d16ca720-88bb-4dd9-ae3d-006b722294b7,"americanamonopolize",null,5,"to gain exclusive control or possession of a marke"
b2ad45be-4e1a-44da-86bf-7b3e60b26002,"amertoy",3,2,"a term that may refer to an american-made toy or a"
060a8554-c8c7-4e76-8ff1-186ad0d97150,"amid",3,1,"in the middle of; surrounded by."
54980d3c-56fc-4619-aca1-04a44213c206,"amidcathect",null,3,"to be in a state of emotional attachment or connec"
bf60cb79-6f50-4b34-9518-4fdf80333a85,"amigo",3,2,"friend (spanish term commonly used in english)."
161c3452-4ca2-4df1-9e3a-fa8bd25cce1c,"amil",3,1,"a historical term for a tax collector or revenue o"
8fb956dd-ee59-426d-878b-29162c96b740,"amino",3,2,"relating to amino acids, the building blocks of pr"
22c7a44d-8b72-414b-90fa-3daddd181f76,"amish",3,2,"relating to a conservative christian group known f"
70b48687-477a-4fd3-bc46-d9699656ca40,"amishamnesty",null,3,"a pardon granted to a group of people, especially "
0cbc4cf3-42ad-4d37-84cb-17b7583c5671,"amnesty",3,2,"an official pardon for people who have been convic"
8fea52b7-e5d7-437c-96f1-b015b403d589,"amount",3,2,"a quantity of something; to add up to a total."
cf6d6e3e-29d3-4744-8a97-adfea91cb929,"amour",3,2,"a love affair, especially a secret one."
78660818-f5f3-4e5a-b77e-70c44dbb9736,"amphistylar",2,3,"having columns at both ends (architectural term)."
83249544-e400-414b-8cf0-266c665c0e65,"amphitheater",2,3,"a round building with tiers of seats around a cent"
ff0bc7f7-8bc2-4361-a803-92e976837c32,"amphoras",2,3,"plural of amphora; ancient greek or roman jars wit"
96bce536-984d-4aba-a025-4dad377645cc,"amplify",3,2,"to make louder or stronger; to expand on details."
43c08f5d-22dc-4326-9ad4-151b85e3b5e4,"amulet",3,2,"a small ornament or piece of jewelry thought to gi"
3cee684e-b542-4641-80c8-e9a0c7ae4a96,"amuse",3,2,"to cause someone to find something funny; to enter"
059f3481-f681-4b23-85f6-da122d147f24,"amuse-gueule",null,3,"a small appetizer or hors d'oeuvre served before a"
abcbe472-9b7a-4d4a-a8a0-e6ac19100c84,"amusedpouch",null,3,"a small pouch or bag that is designed to be amusin"
a5abf461-3e6c-4f84-8f22-91fa413971a8,"anabolicjimberjawed",null,5,"a person with a strong, muscular build and a promi"
6ec7332f-e3e4-4061-9612-55886360fec5,"anachronism",2,3,"something belonging to a period other than that in"
fbccf9ac-f157-47b1-84a4-61aabd903697,"anaemic",3,2,"british spelling of anemic; lacking in color, spir"
47eb3039-f61c-4ad7-b04f-a6d4c7bba7cb,"analepsisanalgesia",null,5,"the restoration of a person to health or normal co"
de1b8aa7-56b0-4874-acd1-697ade84313c,"ananya",3,2,"a sanskrit name meaning 'unique' or 'incomparable'"
042515a4-7d3a-434d-96a6-fcf240ca2ee1,"anatomical",2,3,"relating to the structure of living organisms; per"
424b97ff-bd11-4bb3-9b07-d8f77ff8c97f,"ancho",3,2,"a type of dried poblano pepper used in mexican cui"
4bcc3ee1-79e9-4cca-a87b-24e44fe3d334,"ancien",3,2,"french word meaning 'former' or 'ancient'; used in"
e8a9d207-d07c-413f-af80-21169902e775,"ancient",3,2,"very old; belonging to the distant past; having ex"
d6249e88-e6dc-4995-9e80-31fe6e40b4e0,"andalusian",2,3,"relating to andalusia, a region in southern spain;"
5c9ea97a-3c6e-427b-a234-245731c730de,"andean",3,2,"relating to or characteristic of the andes mountai"
cf7b1ba7-1d62-40fb-b37b-39700afe6a84,"andeanscrawled",null,3,"a type of scrawling or writing that is characteris"
1cac6807-d56b-448f-b497-79ade6464ac1,"anecdotes",2,3,"short, amusing or interesting stories about real i"
f9a3a92b-b26c-4ee1-b821-4ad204ec9c06,"anemic",3,2,"suffering from anemia; lacking in color, spirit, o"
e0995b99-f95a-49ab-9630-e2ad5e7400f8,"anent",3,5,"concerning; with regard to; about (archaic or scot"
cebd3320-75ec-4a64-a0e4-52e2457268f8,"angiitis",3,4,"medical term for inflammation of blood vessels; al"
18543b6e-38b5-4a3f-92ee-a9e010aa7f82,"angolacontours",null,3,"the outline or shape of the land in angola, a coun"
85b7371a-c3fe-49c2-8fca-6850df6b52b3,"angora",3,2,"a soft fiber obtained from angora goats or rabbits"
dbfaa140-da5b-49b0-b61a-ef2c124d45eb,"angry",3,2,"feeling or showing strong displeasure or hostility"
dadda1ba-2316-4c11-8437-ce44a89f84fd,"anguish",3,2,"severe mental or physical pain or suffering; extre"
9a3dbbbe-1fe6-4799-a7c2-4ab3f0ccd63d,"angularconcomitant",null,5,"a related or accompanying circumstance or factor."
295de651-6b44-4d93-a3b0-a0c4b8156894,"angus",3,2,"a breed of beef cattle originally from scotland, k"
edc37770-4ad0-4c16-a787-998e768c97e4,"anhinga",3,2,"a large waterbird with a long neck and pointed bil"
fb8c8f32-3b53-43da-929b-6693947cb8fc,"anicca",3,2,"a buddhist concept meaning impermanence; the idea "
924ce652-ef1e-4223-a7f3-076a1eb787be,"animatronics",2,3,"the technology of creating lifelike robotic figure"
f6f26d21-cdba-4b6a-9992-40a072a3beef,"anime",3,2,"a style of japanese animation characterized by dis"
bfc4323c-fe56-4182-9513-af43180ca15b,"animus",3,2,"a feeling of strong dislike, ill will, or resentme"
500e73d7-088e-45d9-ba67-a3d31dc4b75d,"animustrillium",null,5,"a rare and exotic type of plant with vibrant, mult"
3218640c-5c37-43ab-8ea7-c6fe0e789861,"anionic",2,4,"relating to or containing anions; having a negativ"
525ad210-9517-4051-b3db-5420c6e88ed7,"ankh",3,1,"an ancient egyptian hieroglyphic symbol shaped lik"
a0d66fca-ca89-4ee5-aa8d-59ef4bf6de6e,"anne",3,1,"a feminine given name; also refers to queen anne s"
bf9927cd-0dd2-458b-8eac-35889b2212ee,"anneal",3,2,"to heat and then cool metal or glass to reduce bri"
6eb4369a-8999-4b49-800d-be728a517176,"anniversary",2,3,"the yearly recurrence of the date of a past event;"
ee3ee9dd-d470-4c87-86f4-4243b7372912,"anno",3,1,"latin word meaning 'in the year of'; commonly used"
5d2622e5-9a07-4b0f-8971-ffd0afc47aa3,"annulmentorganized",2,5,"combined word error - appears to be 'annulment' + "
4bc4460a-a976-4d9e-bd15-ff19434be93b,"anodyne",3,2,"a medicine that relieves pain; something that soot"
6804ad28-6daa-49b9-a2b2-bffc0cdc032e,"anoint",3,2,"to smear or rub with oil, especially as part of a "
e5f52bd6-916f-4eaf-baea-eaa37e91403e,"anomaliped",2,3,"having irregularly formed feet; refers to birds wi"
6c67b5b0-efaf-4df2-b542-6936302c2443,"anorak",3,2,"a waterproof jacket with a hood, designed for outd"
17dfd624-a876-4160-bfe1-96011e22bdc2,"anosognosia",2,3,"a neurological condition where a person is unaware"
5e042260-c76a-4be5-a522-1e41a0656864,"another",3,2,"one more; a different or additional person or thin"
051dcd82-b3ed-4f05-bcab-4506d4e13acf,"anserine",3,4,"relating to or resembling geese; goose-like; also "
360e9409-0b4d-418d-81fc-90e09ebc9456,"antacid",3,2,"a medicine that neutralizes stomach acid to reliev"
7ac1aa81-27b6-4840-b1d0-aff48ba11485,"antagonisticaffront",3,5,"combined word error - appears to be 'antagonistic'"
14b53ede-c12a-4fe7-baec-3d7fe03c9048,"ante",3,1,"a stake put up in poker before dealing; an amount "
5d2f7d34-c573-4521-b410-b64bea9d8c76,"antechamber",2,3,"a small room leading to a main room; a waiting roo"
87452471-b893-4166-b699-daa0f47dd181,"anthropomorphic",2,3,"having human characteristics or form; attributing "
1d273287-1af3-4c9d-9fe7-e50bff9722ef,"antidisestablishmentarianism",2,5,"opposition to the withdrawal of state support or r"
64bdce99-8e9b-4de3-8000-f6350e1e282a,"antigua",3,2,"an island nation in the caribbean; also refers to "
