word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
beaumontage,A type of wood filler made from shellac and fine sawdust,/ˈboʊmənˌtɑʒ/,"Named after Élie de Beaumont, French geologist, possibly for its geological appearance","BEAUMONTAGE: Beautiful And - Understanding fine woodworking, Made from Organic material, Nice smooth finish, Tremendous wood repair, Amazing craftsman tool, Great Enhancement",The furniture restorer used _____ to fill the cracks and imperfections in the antique cabinet.,Claude,Claude,Claude,,Intermediate,2.2,4.0,1.3,2.0,False
beautician,A person whose job is to provide beauty treatments,/bjuˈtɪʃən/,"From beauty + -ician suffix, referring to a specialist in beauty treatments","BEAUTICIAN: Beauty And - Understanding cosmetics, Talented professional, Improving appearances, Caring for clients, Inspiring Amazing transformations, Natural beauty expert",The skilled _____ gave her a relaxing facial and professional makeup application.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.0,3.0,False
beaux,Plural of beau; boyfriends or male admirers,/boʊz/,"From French beaux, plural of beau meaning 'beautiful, handsome'","BEAUX: Beautiful And - Enamored admirers, Amazing Unwavering romantic partners, eXcellent gentlemen",The popular young woman had several _____ competing for her attention.,Claude,Claude,Claude,,Intermediate,3.0,2.5,1.0,2.0,False
bebop,A type of jazz characterized by fast tempos and improvisation,/ˈbiˌbɑp/,"From nonsense syllables used in jazz singing, possibly imitative of the music's rhythm","BEBOP: Beautiful Energetic - Bold music style, Outstanding Performance jazz style",The jazz quintet played energetic _____ music that kept the audience dancing.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.0,False
became,Past tense of become; came to be or grew to be,/bɪˈkeɪm/,"From Old English becuman meaning 'to come to, arrive', from be- + cuman 'to come'","BECAME: Before Everything - Changed And gained More importance, Everyone transformed","After years of practice, she _____ an accomplished pianist.",Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
because,For the reason that; since,/bɪˈkɔz/,"From Middle English by cause, from by + cause","BECAUSE: By - Every Clear explanation, And Understanding Shows Explanation",She stayed home _____ she was feeling under the weather.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
beccafico,"A small European songbird, considered a delicacy in Mediterranean cuisine",/ˌbɛkəˈfikoʊ/,"From Italian beccafico, from beccare 'to peck' + fico 'fig', as the bird feeds on figs","BECCAFICO: Bird Eating - Cascading figs, Culinary And Famous delicate bird, Italian Cuisine Offering",The traditional Maltese dish featured roasted _____ served with herbs and wine.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
beckon,To make a gesture to encourage someone to approach,/ˈbɛkən/,"From Old English becnian meaning 'to make signs', from beacen 'beacon'","BECKON: By Every - Calling gesture, Kindly Offering someone to come Near",She began to _____ the children over to see the baby rabbits.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
become,To grow to be; to come to be through development,/bɪˈkʌm/,"From Old English becuman meaning 'to come to, arrive', from be- + cuman 'to come'","BECOME: By Every - Change Or transformation, Makes Everyone different","With dedication and practice, anyone can _____ skilled at playing the piano.",Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
becoming,In the process of coming to be; attractive or appropriate,/bɪˈkʌmɪŋ/,"From become + -ing, referring to the process of change or appropriateness","BECOMING: By Every - Change Or development, Making people Into New things, Growing into something",The blue dress was very _____ on her and complemented her eyes perfectly.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
becquerel,"A unit of measurement for radioactivity, named after Henri Becquerel",/ˈbɛkəˌrɛl/,"Named after Henri Becquerel, French physicist who discovered radioactivity","BECQUEREL: Big Energy - Counting radiation Quantities, Understanding science Experiments, Really Essential Laboratory unit",The radiation detector measured the sample at 500 _____ per second.,Claude,Claude,Claude,,Intermediate,2.5,4.0,1.0,2.0,False
becquereldarnel,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bedraggled,"Wet, untidy, and exhausted in appearance",/bɪˈdræɡəld/,"From be- + draggle (to drag through mud), meaning 'made wet and muddy'","BEDRAGGLED: Been Dragged - Really Awful appearance, Greatly Greatly Looking bad, Everything Disheveled",The hikers emerged from the forest _____ after being caught in the thunderstorm.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,3.0,False
beelzebub,A name for the devil or a powerful demon in Christian tradition,/biˈɛlzəˌbʌb/,"From Hebrew ba'al zebub meaning 'lord of the flies', a Philistine god","BEELZEBUB: Bad Evil - Extremely Lethal demonic presence, Zealous Evil Being, Underworld Boss","In literature, _____ is often portrayed as a powerful figure of darkness.",Claude,Claude,Claude,,Intermediate,2.5,4.0,1.0,5.0,False
bees,Plural of bee; flying insects that collect nectar and produce honey,/biz/,"From Old English beo, from Proto-Germanic bjon","BEES: Busy Everywhere - Excellent pollinators, Sweet honey makers",The garden was buzzing with _____ collecting pollen from the flowering plants.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
beethovenian,Relating to or characteristic of the musical style of Ludwig van Beethoven,/ˌbeɪtoʊˈviniən/,From Beethoven (German composer) + -ian suffix meaning 'relating to',"BEETHOVENIAN: Beautiful Emotional - Epic music, Tremendous musical Heritage, Outstanding Virtuoso musical style, Everyone loves his classical music, Notable remarkable music, Inspiring Artistic style, Notably excellent compositions",The symphony displayed _____ grandeur with its dramatic crescendos and powerful themes.,Claude,Claude,Claude,,Intermediate,1.9,4.0,1.0,2.0,False
beetle,A type of insect with hard wing covers; to overhang or jut out,/ˈbitəl/,"From Old English bitula meaning 'biter', from bitan 'to bite'","BEETLE: Bug Eating - Everything That Lives around plants, Lots of varieties, Everywhere you look",The shiny black _____ crawled across the garden path toward the compost pile.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
began,Past tense of begin; started or commenced,/bɪˈɡæn/,"From Old English beginnan, from be- + ginnan 'to begin'","BEGAN: Before Everything - Going And starting, All New activities start",She _____ studying for her final exams three weeks before the test date.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
begin,To start or commence an action or process,/bɪˈɡɪn/,"From Old English beginnan, from be- + ginnan 'to begin'",BEGIN: Before Everything - Going Into New activities,The ceremony will _____ promptly at three o'clock this afternoon.,Claude,Claude,Claude,,Beginner,1.0,2.0,1.0,3.5,False
beginning,The start or commencement of something; the first part,/bɪˈɡɪnɪŋ/,"From begin + -ing suffix, referring to the start of something","BEGINNING: Before Everything - Going Into New activities, Noting Initial phases, No experience yet","At the _____ of the school year, students receive their class schedules.",Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,3.0,False
begins,Third person singular present of begin; starts or commences,/bɪˈɡɪnz/,From begin + -s suffix for third person singular present tense,"BEGINS: Before Everything - Going Into New activities, Single person Starting",The concert _____ at eight o'clock with the orchestra tuning their instruments.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
beguile,To charm or enchant; to trick or deceive,/bɪˈɡaɪl/,"From Middle English begilen, from be- + guile 'deceit'","BEGUILE: Bewitch Everyone - Gracefully seducing, Using charm, Intriguing, Lovely Enchantment",The storyteller's captivating voice could _____ audiences for hours.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
behavior,The way in which someone acts or conducts themselves,/bɪˈheɪvjər/,"From Middle English behavour, from behave + -ior suffix","BEHAVIOR: Being Everybody - How Actions display Values, Individual Or group responses",The teacher praised the students for their excellent _____ during the field trip.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
behemoth,Something enormous; a creature of monstrous size or power,/bɪˈhiməθ/,"From Hebrew behemoth, plural of behemah meaning 'beast'","BEHEMOTH: Big Enormous - Huge monster, Extremely Massive creature, Outstanding giant, Tremendous creature, Huge","The cruise ship was a _____ of the seas, carrying thousands of passengers.",Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,5.0,False
behind,At the back of; following; remaining after departure,/bɪˈhaɪnd/,"From Old English behindan, from be- + hindan 'from behind'","BEHIND: Back End - Hindmost In position, Noting Distance",She left her umbrella _____ at the restaurant after lunch.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
behold,To see or observe; used to call attention to something,/bɪˈhoʊld/,"From Old English behealdan, from be- + healdan 'to hold'","BEHOLD: Bring Everyone - Here to see, Observe, Look, Definitely observe",_____ the magnificent sunset painting the sky in brilliant colors.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
beijing,"The capital city of China, also known as Peking",/ˈbeɪˈdʒɪŋ/,"From Chinese Beijing, from bei 'north' + jing 'capital'","BEIJING: Big Eastern - Important capital city, Just like an Important center of china, Never small, Great city",The Summer Olympics were held in _____ in 2008 with spectacular ceremonies.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,5.0,False
belgium,"A country in Western Europe known for chocolate, waffles, and beer",/ˈbɛldʒəm/,"From Latin Belgium, from the Celtic tribe Belgae","BELGIUM: Beautiful European - Little country, Great chocolate and beer, International Union headquarters, Unique Multilingual country",We traveled to _____ to visit the historic city of Bruges and taste authentic chocolates.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
belgravia,An upscale district in central London known for elegant architecture,/bɛlˈɡreɪviə/,"Named after Belgrave Square, which was named after the village of Belgrave in Leicestershire","BELGRAVIA: Beautiful Elegant - London's Great wealthy area, Remarkable Architecture, Very Impressive luxury district, Amazing expensive neighborhood","The embassy was located in _____, one of London's most prestigious neighborhoods.",Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,3.0,False
