word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
wushu,Any Chinese martial art.,/ˈwuːˈʃuː/,The ____ was an important part of the story.,Etymology of wushu from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
xenoglossy,,,The ____ was an important part of the story.,Etymology of xenoglossy from historical linguistic sources,Claude,,,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
xerogel,,,The ____ was an important part of the story.,Etymology of xerogel from historical linguistic sources,Claude,,,Claude,2020; 2022; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
xiphias,,,The ____ was an important part of the story.,Etymology of xiphias from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
xiphophyllous,,,The ____ was an important part of the story.,Etymology of xiphophyllous from historical linguistic sources,Claude,,,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
xylem,A vascular tissue in land plants primarily responsible for the distribution of water and minerals taken up by the roots; also the primary component of wood.,/ˈzaɪ.ləm/,The ____ tissue transports water from roots to leaves.,"From Greek xylon, meaning wood",Claude,Dictionary API,Dictionary API,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
xyloglyphy,,,The ____ was an important part of the story.,Etymology of xyloglyphy from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
xylyl,,,The ____ was an important part of the story.,Etymology of xylyl from historical linguistic sources,Claude,,,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
yabbies,"A freshwater Australian crayfish of the genus Cherax, especially Cherax destructor.",,The ____ was an important part of the story.,Etymology of yabbies from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yakitori,"A Japanese shish kebab-type dish made with small pieces of chicken or other ingredients cooked on skewers, often marinated in soy sauce or seasoned with salt.",/jækɪˈtɔəɹi/,The ____ was an important part of the story.,Etymology of yakitori from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2021; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yakitoripejorate,,,The ____ was an important part of the story.,Etymology of yakitoripejorate from historical linguistic sources,Claude,,,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
yammer,The act or noise of yammering.,/ˈjæm.ə/,The children would ____ constantly about wanting snacks.,Imitative word expressing persistent complaining,Claude,Dictionary API,Dictionary API,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yankee,"A headsail resembling a genoa or a jib but with a high-cut clew, normally used together with a staysail. A sailing boat is typically equipped with three yankee sails of different sizes, number one being the largest.",,The ____ was an important part of the story.,Etymology of yankee from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
yardang,"A large wind-eroded mass of soft or poorly consolidated rock in a desert region which lies parallel to the prevailing winds, often with an unusual shape.",,The ____ was an important part of the story.,Etymology of yardang from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yarn,A twisted strand of fiber used for knitting or weaving.,/jɑːn/,She used colorful ____ to knit a warm winter scarf.,"From Old English gearn, meaning spun fiber",Claude,Dictionary API,Dictionary API,Claude,2020; 2025,2020 Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,Elementary; Advanced
yawl,"A small ship's boat, usually rowed by four or six oars.",/jɔːl/,The ____ was an important part of the story.,Etymology of yawl from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
yawmeter,,,The ____ was an important part of the story.,Etymology of yawmeter from historical linguistic sources,Claude,,,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
yeanling,,,The ____ was an important part of the story.,Etymology of yeanling from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
year,"A solar year, the time it takes the Earth to complete one revolution of the Sun (between 365.24 and 365.26 days depending on the point of reference).",/jɪə/,The ____ was an important part of the story.,Etymology of year from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yearh,,,The ____ was an important part of the story.,Etymology of yearh from historical linguistic sources,Claude,,,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Elementary
yearn,"To long, have a strong desire (for something).",/jɜːn/,The ____ was an important part of the story.,Etymology of yearn from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
yeatsian,,,The ____ was an important part of the story.,Etymology of yeatsian from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
yellow,"The colour of gold, butter, or a lemon; the colour obtained by mixing green and red light, or by subtracting blue from white light.",/jɛlə/,The bright ____ sunflowers swayed in the breeze.,"From Old English geolu, meaning bright color",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
yellowfin,Any of various fish with yellow fins.,,The ____ was an important part of the story.,Etymology of yellowfin from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
yeoman,"An official providing honorable service in a royal or high noble household, ranking between a squire and a page. Especially, a Yeoman of the Guard, a member of a ceremonial bodyguard to the UK monarch (not to be confused with a Yeoman Warder).",/ˈjəʊ.mən/,The ____ was an important part of the story.,Etymology of yeoman from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
yesterday,The day immediately before today; one day ago.,/ˈjɛstədeɪ/,The package was supposed to arrive ____.,"From Old English geostran dæg, meaning former day",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
