"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"abdomen","The fat surrounding the belly.","The word ___ is important to understand.","2","Elementary","First attested in 1541.<ref name=CH/> Borrowed from , from , possibly from , from  + .<ref name=CH></ref>","","","/æbˈdəʊ.mən/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"aberration","The act of wandering; deviation from truth, moral rectitude; abnormal; divergence from the straight, correct, proper, normal, or from the natural state.","The word ___ is important to understand.","4","Advanced","
A , first attested in 1594,<ref>[http://dictionary.reference.com/browse/aberration Aberration at Dictionary.com]</ref> from , from  + .<ref></ref> Compare . .","","","/ˌæb.əˈɹeɪ.ʃn̩/","Remember the double R; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abeyance","Expectancy; condition of ownership of real property being undetermined; lapse in succession of ownership of estate, or title.","The word ___ is important to understand.","3","Intermediate","First attested in 1528. From , from  from , , , from  + ,<ref></ref> , from .<ref></ref><ref></ref>","","","/əˈbeɪ.əns/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"abhenry","","","2","Elementary","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Wiktionary","",""
"abhijay","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"abhorrence","Extreme aversion or detestation; the feeling of utter dislike or loathing.","The word ___ is important to understand.","3","Intermediate","From .","","","/əbˈhɒɹ.n̩s/","Remember the double R","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"abject","A person in the lowest and most despicable condition; a castaway; outcast.","The word ___ is important to understand.","2","Elementary","Borrowed from , from .","","","/ˈæb.d͡ʒɛkt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ablation","A carrying or taking away; removal.","The word ___ is important to understand.","4","Advanced","From Late , from , from . . Compare . .","Late","","/æbˈleɪ.ʃn̩/","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ablaut","The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation; as, get and got; sing and song; hang and hung, distinct from the phonetic influence of a succeeding vowel.","The word ___ is important to understand.","2","Elementary",", which is from  or , + .<ref></ref>  is used here in the sense of “deviating, varying” as in , .","","","/ˈæbˌlaʊt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ablaze","Burning fiercely; in a blaze; on fire.","The word ___ is important to understand.","2","Elementary","From .","","","/əˈbleɪz/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"able","Easy to use.","The word ___ is important to understand.","1","Beginner","From , , from .","","","/ˈeɪ.bl̩/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abnegation","A denial; a renunciation; denial of desire or self-interest.","The word ___ is important to understand.","4","Advanced","First attested before 1398. From , borrowed from , from , from  + . Compare .","","","/ˌæbnəˈɡeɪʃən/","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abnegationbeguile","","","5","Expert","Contains Latin suffix '-tion' meaning 'act or process of'","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"abodes","Act of waiting; delay.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Claude","","Claude"
"abolish","To end a law, system, institution, custom or practice.","The word ___ is important to understand.","2","Elementary","
From late , from , extended stem of ,<ref></ref> from , and inchoative .<ref></ref>","Late","","/əˈbɒlɪʃ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abomasum","The fourth or digestive compartment of the stomach of a cow or other ruminant, after the omasum.","The word ___ is important to understand.","4","Advanced","From , from  + .","","","/ˌæb.oʊˈmeɪ.səm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abominable","Worthy of, or causing, abhorrence, as a thing of evil omen; odious in the utmost degree; very hateful; detestable; loathsome; execrable.","The word ___ is important to understand.","4","Advanced","From , from , from , from , from  + , from . Formerly erroneously folk-etymologized as deriving from  + , literally ""away from humankind,"" and therefore spelled ,  (Hence, Shakespeare puns on this when Hamlet speaks of incompetent actors that ""imitate humanity '''abominably'''."")","Humankind","","/ɘˈbɔm.ɘ.nɘ.bɯ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aboriginal","An Aboriginal inhabitant of Australia, Aborigine.","The word ___ is important to understand.","4","Advanced","See .","","","/ˌæb.əˈɹɪd͡ʒ.n̩.l̩/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/aboriginal-uk.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"about","Moving around; astir.","The word ___ is important to understand.","1","Beginner","
Preposition and adverb from , , from ,<ref name=WI3></ref> , from ,<ref name=SOED></ref> itself from .<ref name=OXF></ref> Cognate with .

Adjective from .","","","/əˈbɛʊt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"above","Heaven.","The word ___ is important to understand.","1","Beginner","File:Circle above square.svg|thumb|upright|A [[circle#Noun|circle above ''(sense 2)'' a square#Noun|square]]

<!--* First attested in 896.-->
From , , , from , , from  + , (akin to , , , ) from  + ; also cognate with , , , , , .

The preposition, adjective and the noun derive from the adverb.","The","","/əˈbʌv/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abracadabra","A use of the mystical term ‘abracadabra’, supposed to work as part of a healing charm or a magical spell; any spell or incantation making use of the word.","The word ___ is important to understand.","3","Intermediate","From , a word used in magical writings, of  origin. Relationships have been suggested with , and with various Aramaic or Hebrew terms , ; ,<ref>http://www.scribd.com/doc/14656725/Abracadabra</ref> but there is little supporting evidence.","","","/ˌabɹəkəˈdabɹə/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"abraum","","","2","Elementary","From , from  () +  ().<ref></ref>","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"abrogate","To annul by an authoritative act; to abolish by the authority of the maker or her or his successor; to repeal; — applied to the repeal of laws, decrees, ordinances, the abolition of customs, etc.","The word ___ is important to understand.","4","Advanced",", from , from ,    of  (see  and ), formed from  + . See .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"abruptly","In an abrupt manner; without giving notice, or without the usual forms; suddenly; precipitously.","The word ___ is important to understand.","2","Elementary","From .","","","/ə.ˈbɹʌpt.li/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"abscess","A cavity caused by tissue destruction, usually because of infection, filled with pus and surrounded by inflamed tissue.","The word ___ is important to understand.","2","Elementary","From , from , from  + . See .","","","/ˈæbsɛs/","Remember the double S","[]","https://api.dictionaryapi.dev/media/pronunciations/en/abscess-uk.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abscond","To flee, often secretly; to steal away, particularly to avoid arrest or prosecution.","The word ___ is important to understand.","2","Elementary","
Either borrowed from  or directly from ; formed from ,  + , from  + .<ref></ref>
* Cognate with .","","","/əbˈskɒnd/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"absent","(with definite article) Something absent, especially absent people collectively; those who were or are not there.","The word ___ is important to understand.","2","Elementary",". .","","","/ˈæb.sn̩t/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"absolution","An absolving of sins from ecclesiastical penalties by an authority.","The word ___ is important to understand.","4","Advanced","
From , , from , from , accusative singular of , from . See also ''absolve''.","","","/æb.səˈljuː.ʃn̩/","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"absorptive","Any substance that absorbs.","The word ___ is important to understand.","1","Beginner","From .","","","/æbˈsɔɹp.tɪv/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"abstemious","Refraining from freely consuming food or strong drink; sparing in diet; abstinent, temperate.","The word ___ is important to understand.","4","Advanced","From ; from ,  + , a root of  (possibly from ) .<ref>Compare </ref>","","","/æbˈstiː.mɪ.əs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abstruse","Difficult to comprehend or understand.","The word ___ is important to understand.","2","Elementary","
, an  use of the    of ,<ref>Compare ; </ref> from  (from  meaning ‘away; from; away from’}}) +  (ultimately from ).


* 
* 
* 
*  (modern , 
* 
* 
","","","/əbˈstɹuːs/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"abstrusenephrolith","","","5","Expert","Etymology uncertain","","","","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"absurdly","In an absurd fashion.","The word ___ is important to understand.","3","Intermediate","From .","","","/əbˈsɜːd.li/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"abundancecalamitous","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Claude","",""
"abysmal","Pertaining to, or resembling an abyss.","The word ___ is important to understand.","2","Elementary","
From .","","","/əˈbɪz.məl/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"acacia","A shrub or tree of the tribe Acacieae.","The word ___ is important to understand.","2","Elementary","Borrowed from , from . 
","","","/əˈkeɪ.sjə/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acade","","","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"academese","","","3","Intermediate","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Wiktionary","",""
"academic","(usually capitalized) A follower of Plato, a Platonist.","The word ___ is important to understand.","4","Advanced","From both the  and the , from , from , from  or , the name of the place where Plato taught; compare .<ref name=WI3></ref> .","Both","","/ˌækəˈdɛmɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"academy","(usually capitalized) The garden where Plato taught.","The word ___ is important to understand.","2","Elementary","From , from , from , a grove of trees and gymnasium outside of Athens where w:Plato|Plato taught; from the name of the supposed former owner of that estate, the w:Attica|Attic hero w:Akademos|Akademos.<ref></ref> ; compare .","The","","/əˈkæd.ə.mi/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acadians","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"accelerates","To cause to move faster; to quicken the motion of; to add to the speed of.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"accent","A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.","The word ___ is important to understand.","2","Elementary",".","","","/ˈak.sənt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accentuate","To pronounce with an accent or vocal stress.","The ___ was clearly visible from here.","4","Advanced","
; ,    of  (see ), from .","","","/ækˈsen.tʃuˌeɪt/","Remember the double C","[]","https://api.dictionaryapi.dev/media/pronunciations/en/accentuate-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accept","To receive, especially with a consent, with favour, or with approval.","The word ___ is important to understand.","2","Elementary","
First attested about 1380. From , borrowed from , or directly from , frequentative of , formed from  + . Displaced native .","","","/ækˈsɛpt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acceptable","Worthy, decent, sure of being accepted or received with at least moderate pleasure","The word ___ is important to understand.","4","Advanced","
From , from , from .

Morphologically .","","","/æk.ˈsɛp.tə.bəl/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acceptance","The act of accepting; a receiving of something offered, with acquiescence, approbation, or satisfaction; especially, favourable reception; approval.","The word ___ is important to understand.","4","Advanced","
* First attested in 1574. From , from . Equivalent to .","","","/ək.ˈsɛp.təns/","Remember the double C","[]","https://api.dictionaryapi.dev/media/pronunciations/en/acceptance-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accident","An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.","The word ___ is important to understand.","1","Beginner","
First attested in the late 14th century. From , from , from , present active participle of ; from  + . See , . In the sense “unintended pregnancy”, first attested in 1932.","","","/ˈæk.sə.dənt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"acclaim","To shout; to call out.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/ə.ˈkleɪm/","Remember the double C","[]","https://api.dictionaryapi.dev/media/pronunciations/en/acclaim-uk.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"acclimate","To habituate to a climate not native; to acclimatize.","The word ___ is important to understand.","3","Intermediate","
1792, from .","","","/ə.ˈklaɪ.mət/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"accolade","An expression of approval; praise.","The word ___ is important to understand.","4","Advanced","
First use appears c. 1591 in the publications of , borrowed from , from , from , from , from , from  +  (English ).","","","/ˈæk.ə.ˌleɪd/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accommodations","(usually a mass noun) Lodging in a dwelling or similar living quarters afforded to travellers in hotels or on cruise ships, or prisoners, etc.","The ___ was clearly visible from here.","5","Expert","Contains Latin suffix '-tion' meaning 'act or process of'","","","","Remember the double M, C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"accompli","","","2","Elementary","Etymology uncertain","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"accomplice","An associate in the commission of a crime; a participator in an offense, whether a principal or an accessory.","The word ___ is important to understand.","4","Advanced","
First attested in 1550. From , from , from , from . The article  became part of the word, through the influence of the word .","","","/ə.ˈkʌm.plɪs/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accomplished","To finish successfully.","The word ___ is important to understand.","4","Advanced","* First attested in the late 15th century, from .","","","/ə.ˈkɒm.plɪʃt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"accomplishments","The act of accomplishing; completion; fulfilment.","The word ___ is important to understand.","5","Expert","Contains Latin suffix '-ment' meaning 'result or means'","","","/ə.ˈkʌm.plɪʃ.mənts/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"accordance","Agreement; harmony; conformity; compliance.","The word ___ is important to understand.","1","Beginner","*  First attested around 1300.
*  First attested in the early 14th century.
* 
* From , from .","","","/ə.ˈkɔɹd.əns/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"accordatura","","","4","Advanced","From .","","","","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"accordaturacavalletti","","","5","Expert","Etymology uncertain","","","","Remember the double T, C, L","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Claude","",""
"accouterment","The act of accoutering.","The word ___ is important to understand.","3","Intermediate","From , from , from , first attested in the 1540s.","","","/ə.ˈku.tɚ.mənt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"accoutrement","The act of accoutering.","The word ___ is important to understand.","3","Intermediate","From .","","","/əˈku.tɚ.mənt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"accrual","An increase; something that accumulates, especially an amount of money that periodically accumulates for a specific purpose","The word ___ is important to understand.","2","Elementary","From .","","","/əˈkɹuːəl/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"accumulate","To heap up in a mass; to pile up; to collect or bring together (either literally or figuratively)","The word ___ is important to understand.","3","Intermediate","First attested c. 1487; from , ,    of  (see  and ), formed from  + , from  + . Cognate with .<ref></ref>","","","/əˈkjuːmjʊˌleɪt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"accurate","Telling the truth or giving a true result; exact; not defective or faulty","The word ___ is important to understand.","3","Intermediate","
First attested in the 1610's with the now obsolete sense ""done with care"", and from the 1650's with the sense ""precise, exact"".

,    of  (see ), from  + , from  + . Compare .","The","","/ˈæk.jə.ɹɪt/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"accuse","Accusation.","The word ___ is important to understand.","2","Elementary","First attested around 1300. From , from , from , from  + . Akin to . Displaced native .","","","/əˈkjuːz/","Remember the double C","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"aceituna","","","4","Advanced",", via .","","","","Remember: 'E before I' (exception to the rule)","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"acequia","","","1","Beginner","From , from , ultimately from Classical .  .","Classical","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","","Wiktionary","",""
"acerbity","Sourness of taste, with bitterness and astringency, like that of unripe fruit.","The word ___ is important to understand.","4","Advanced","Borrowed from , from , from . See .
","","","/əˈsɜːbɪti/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acerola","","","2","Elementary","From . .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"acetaminophen","A white crystalline compound used in medicine as an anodyne to relieve pain and reduce fever.","The word ___ is important to understand.","4","Advanced","Shortening of the chemical name . .","","","/əˌsitəˈmɪnəfən/","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acetone","A colourless, volatile, flammable liquid ketone, (CH3)2CO, used as a solvent.","The word ___ is important to understand.","2","Elementary","From  from . The  was taken from  but further etymology is unclear. .","","","/ˈæ.sə.toʊn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acharya","A spiritual teacher, guru.","The word ___ is important to understand.","2","Elementary","
From   . .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"ached","To suffer pain; to be the source of, or be in, pain, especially continued dull pain; to be distressed.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","/eɪkt/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"achernar","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"achievement","The act of achieving or performing; a successful performance; accomplishment","The word ___ is important to understand.","4","Advanced","From  (compare Modern ), from , from the verb , ; equivalent to . The heraldic sense may be influenced by .","The","","/əˈtʃiːvmənt/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"achilles","","","4","Advanced","Etymology uncertain","","","","Remember the double L","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"achromatic","Free from color; transmitting light without color-related distortion.","The word ___ is important to understand.","4","Advanced","From , from  + , equivalent to ; compare .","","","/ˌækɹəʊˈmæt.ɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acicula","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"acidophilus","Lactobacillus acidophilus, one of the bacteria commonly used in fermenting yogurt","The word ___ is important to understand.","4","Advanced","From .","","","[ˌæsɪdˈɑfɪləs]","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acoel","","","1","Beginner","From group name , from .","Group","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"acorn","The fruit of the oak, being an oval nut growing in a woody cup or cupule.","The word ___ is important to understand.","1","Beginner","From , an alteration (after ) of earlier , from , from , from , from . Cognate with , , , , , , , , , , , , , , etc. Not related to ,  or .","","","/ˈeɪ.kɔːn/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"acoustic","A medicine or other agent to assist hearing.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","/əˈkuːstɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"acquaintance","A state of being acquainted with a person; originally indicating friendship, intimacy, but now suggesting a slight knowledge less deep than that of friendship; acquaintanceship.","The word ___ is important to understand.","4","Advanced","From , from , , , from . Compare .

Morphologically .","","","/əˈkweɪntəns/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acquiesce","(with in (or sometimes with, to)) To rest satisfied, or apparently satisfied, or to rest without opposition and discontent (usually implying previous opposition or discontent); to accept or consent by silence or by omitting to object.","The word ___ is important to understand.","4","Advanced","
Borrowed from , from ;  + , from .","","","/ˌækwiˈɛs/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acquit","To declare or find innocent or not guilty.","The word ___ is important to understand.","2","Elementary","From , from  and ,<ref></ref> from  + ,<ref></ref> equivalent to . ; also related to ,  and .","","","/əˈkwɪt/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/acquit-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"acquitcapnometer","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"acral","","","1","Beginner","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"acrid","Sharp and harsh, or bitter and not to the taste.","The word ___ is important to understand.","1","Beginner","
From , from ; probably assimilated in form to . Compare .","","","/ˈæk.ɹɪd/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
