word,years,source_files,source_difficulties,pronunciation,definition,etymology,memory_tip,example_sentence,definition_source,pronunciation_source,example_sentence_source,etymology_source,memory_tip_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error
obituary,2020,2020 Words_of_the_Champions.pdf,One Bee,/oʊˈbɪʧuˌɛri/,"An obituary is a published notice, typically appearing in newspapers or online platforms, that announces someone's death and provides information about their life, achievements, relationships, and funeral arrangements. These biographical sketches serve multiple purposes: they inform the community about the person's passing, celebrate their life and accomplishments, provide details about memorial services, and offer surviving family members a way to publicly honor their loved one. Obituaries traditionally include basic biographical information such as birth and death dates, place of residence, career highlights, educational achievements, family members, and information about funeral or memorial services. Modern obituaries often reflect the personality of the deceased through personal anecdotes, favorite quotes, or descriptions of hobbies and interests. They can range from brief death notices to detailed life stories, depending on space, cost, and family preferences. With the rise of digital media, online obituaries have become common, often allowing for extended content, photos, and interactive features where friends and family can leave condolences or share memories.","From Medieval Latin obituarius meaning ""pertaining to death,"" from Latin obitus meaning ""death,"" from obire (to go toward, die).","Think ""obit-uary"" - an ""obit"" is short for obituary, a written notice about someone who has died.",The local newspaper published a touching _____ that highlighted the teacher's forty years of service to the community.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
objective,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,/əbˈdʒɛktɪv/,"Objective has two primary meanings: as an adjective, it describes an approach or perspective that is impartial, unbiased, and based on observable facts rather than personal opinions, emotions, or subjective interpretations; as a noun, it refers to a goal, aim, or target that someone strives to achieve. In the adjective sense, objective thinking involves evaluating evidence rationally, considering multiple perspectives, and reaching conclusions based on verifiable information rather than personal preferences or preconceptions. This approach is fundamental to scientific method, journalism, legal proceedings, and academic research. Objective analysis seeks to minimize the influence of personal bias, cultural assumptions, or emotional responses that might distort understanding. As a noun, an objective represents a specific, measurable goal that provides direction and purpose to activities, projects, or organizations. Business objectives might include increasing sales, reducing costs, or expanding market share. Educational objectives define what students should learn or be able to do. The concept of objectivity, while valued in many contexts, is sometimes debated, as some argue that complete objectivity is impossible due to inherent human limitations and perspectives.","From Medieval Latin objectivus, from Latin objectum meaning ""thing put before,"" from ob- (toward) + jacere (to throw).","Think ""object-ive"" - either viewing something like an object (impartially) or having a specific object (goal) in mind.","The researcher maintained an _____ stance throughout the study, carefully avoiding any personal bias in data collection.",Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
objet,2025,2025 Words of Champion _1_.pdf,Three Bee,/ɔbˈʒɛ/,"Objet is a French word meaning ""object"" that has been adopted into English, particularly in the contexts of art, design, and luxury goods, where it often refers to small decorative objects or items of aesthetic or cultural significance. The word frequently appears in compound phrases such as ""objet d'art"" (art object), referring to small artistic items created primarily for decoration rather than utility, or ""objet trouvé"" (found object), describing everyday items that artists incorporate into artworks. In luxury retail and interior design, objet might refer to high-quality decorative items, collectibles, or designer accessories that serve both functional and aesthetic purposes. The use of the French term often implies sophistication, artistic value, or cultural refinement, distinguishing these items from ordinary utilitarian objects. In anthropology and cultural studies, objets might refer to material culture artifacts that carry symbolic meaning or represent particular cultural practices. The term reflects the French cultural emphasis on aesthetics and the elevation of everyday objects through design, craftsmanship, and artistic consideration.","French word meaning ""object,"" from Latin objectum meaning ""thing put before,"" from ob- (toward) + jacere (to throw).","Think ""oh-ZHAY"" - the French way of saying ""object,"" often referring to artistic or decorative items.",The collector's home featured numerous rare _____ d'art displayed throughout the elegant living room.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,2.6,,False
oblast,2025,2025 Words of Champion _1_.pdf,Three Bee,/ˈoʊblɑst/,"Oblast is an administrative territorial division used in several Eastern European countries, particularly Russia, Ukraine, and other former Soviet republics, roughly equivalent to a province or state in other governmental systems. These administrative regions serve as intermediate levels of government between national and local authorities, responsible for coordinating regional policies, economic development, education, healthcare, and infrastructure within their territories. In Russia, oblasts are one of several types of federal subjects, alongside republics, krais (territories), autonomous districts, and federal cities. Each oblast typically has a regional capital city and encompasses both urban and rural areas, with populations ranging from hundreds of thousands to several million people. The governor or regional administration heads the oblast government, implementing federal policies while addressing regional needs and priorities. Historical oblasts in the Russian Empire and later the Soviet Union helped organize vast territories for administrative efficiency and resource management. The system reflects the need to balance central authority with regional autonomy in countries spanning enormous geographical areas with diverse populations and economic conditions.","From Russian область (oblast'), meaning ""region"" or ""province,"" from старославянский (Old Church Slavonic) meaning ""power"" or ""rule.""","Think ""OH-blast"" - a large administrative ""blast"" or area of territory in Eastern European countries.",The Moscow _____ surrounds the capital city and includes numerous smaller towns and rural areas.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.0,,False
oblige,2021; 2022,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,/əˈblaɪdʒ/,"Oblige means to make someone feel compelled or required to do something, either through moral duty, social expectation, legal requirement, or personal obligation. The word can describe both the act of creating an obligation for others and the feeling of being bound to act in a certain way oneself. When someone obliges another person, they might be doing them a favor, helping them out, or accommodating their request, often as a matter of politeness or goodwill. The phrase ""much obliged"" is a polite way of expressing gratitude, essentially saying ""I am much indebted to you."" Legal obligations create formal requirements backed by law, while social obligations arise from cultural norms, relationships, or moral principles. Professional obligations stem from job responsibilities or contractual agreements. The concept involves a sense of duty or indebtedness that motivates action, whether the obligation is self-imposed, socially expected, or externally required. Understanding obligations is crucial for maintaining relationships, meeting professional responsibilities, and functioning effectively within social and legal systems.","From Old French obliger, from Latin obligare meaning ""to bind, bind up, bandage,"" from ob- (toward) + ligare (to bind).","Think ""ob-LIE-ge"" - you're bound or ""tied"" to do something when you're obliged to do it.","When the elderly woman asked for help carrying her groceries, the young man felt _____ to assist her.",Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,2.6,,False
obligeviscount,2020,2020 Words_of_the_Champions.pdf,One Bee,Not applicable - combined word error,"This appears to be a combined word error resulting from PDF parsing issues. It likely represents ""oblige"" combined with ""viscount"" or another word fragment.",Combined word error - not a legitimate word.,"This is an error from PDF processing - ""oblige"" and ""viscount"" were incorrectly joined together.",Not applicable - this is an error in data processing.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,1.0,,False
oblique,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/əˈblik/,"Oblique describes something that is slanted, angled, or not perpendicular or parallel to a reference line or surface, deviating from vertical or horizontal alignment. In geometry, oblique lines or angles are neither parallel nor at right angles to a given line or plane. The term extends beyond mathematical usage to describe indirect, evasive, or not straightforward approaches to communication or action. An oblique reference is an indirect allusion that doesn't explicitly state something but implies it through suggestion or implication. In anatomy, oblique muscles are those that run at an angle rather than straight up and down, such as the oblique abdominal muscles that help with twisting and bending movements. In photography and art, oblique angles create dynamic, interesting compositions by avoiding purely horizontal or vertical orientations. Military usage includes oblique formations where troops are arranged at angles rather than in straight lines. The word can also describe criticism or comments that are indirect or veiled rather than direct and explicit, allowing the speaker to make a point while maintaining plausible deniability or diplomatic courtesy.","From Latin obliquus meaning ""slanting, sideways,"" from ob- (toward) + the root of licinus (bent upward).","Think ""oh-BLEEK"" - something that's at a slanted angle, not straight or direct.",The photographer chose an _____ angle to make the building appear more dynamic and dramatic.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
obliterate,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/əˈblɪtəˌreɪt/,"Obliterate means to completely destroy, eliminate, or remove all traces of something, leaving nothing behind or making it impossible to recognize what once existed. The word implies total and thoroughgoing destruction that goes beyond mere damage to complete annihilation or erasure. Physical obliteration might involve destroying buildings, landscapes, or objects so completely that their original form cannot be discerned. In warfare, obliteration refers to devastating attacks that leave targets completely destroyed. Metaphorically, memories can be obliterated by trauma or time, making them impossible to recall. Information can be obliterated when records are destroyed or data is irretrievably lost. Natural disasters can obliterate communities, leaving no trace of previous habitation. The term suggests finality and completeness - something that is obliterated cannot be restored or reconstructed because insufficient remnants remain. In competitive contexts, one team might obliterate another, meaning they defeat them so decisively that the contest becomes one-sided. The psychological impact of obliteration often includes shock at the totality of loss or destruction.","From Latin obliteratus, past participle of obliterare meaning ""to blot out, erase,"" from ob- (over) + litera (letter).","Think ""ob-LITTER-ate"" - to completely litter over something until it's totally covered and destroyed.",The hurricane's storm surge threatened to _____ the entire coastal community.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
obliviscence,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,/əˈblɪvɪsəns/,"Obliviscence is a rare and formal term meaning the process or state of forgetting, the gradual fading of memory, or the tendency toward forgetfulness. This psychological and cognitive phenomenon involves the natural decay of memories over time, particularly when they are not reinforced through repetition, rehearsal, or emotional significance. Obliviscence can be selective, affecting some memories while preserving others, and is influenced by factors such as age, stress, trauma, neurological conditions, and the passage of time. The process is a normal part of human memory function, allowing the brain to filter and prioritize information by allowing less important details to fade while preserving more significant experiences. In literature and philosophy, obliviscence is often discussed in relation to the passage of time, the nature of human consciousness, and the relationship between memory and identity. The term appears in scholarly works about psychology, neuroscience, and philosophy of mind, though it is not commonly used in everyday discourse. Understanding obliviscence is important for studying memory disorders, aging processes, and the normal functioning of human cognition.","From Latin obliviscentia, from obliviscere meaning ""to forget,"" related to oblivio (forgetfulness) and obliviosus (forgetful).","Think ""ob-LIVE-scence"" - the process by which memories cease to ""live"" vividly in our minds and fade away.",The elderly professor noticed increasing _____ as names and faces from decades past began to slip from his memory.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,1.8,,False
oblong,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɑblɔŋ/,"Oblong describes a shape that is longer in one direction than the other, specifically referring to rectangles or rectangular-like forms where the length significantly exceeds the width, or to ellipses that are elongated rather than circular. In geometry, an oblong is essentially a rectangle that is not a square, characterized by having two pairs of parallel sides with the longer sides called the length and the shorter sides called the width. The term is commonly used in everyday language to describe objects, spaces, or shapes that have this elongated rectangular quality, such as oblong tables, oblong windows, or oblong pills. In architectural contexts, oblong rooms or buildings have floor plans that are noticeably longer than they are wide. The word can also describe oval or elliptical shapes that are stretched in one direction. Oblong formats are popular in design and manufacturing because they often provide efficient use of space while offering visual interest through their proportions. The shape is practical for many applications where length is more important than width, such as dining tables, conference rooms, or display screens.","From Latin oblongus, from ob- (toward) + longus (long), literally meaning ""rather long"" or ""somewhat long.""","Think ""ob-LONG"" - a shape that is ""obviously long"" in one direction compared to the other.",The dining room featured an _____ table that could comfortably seat ten people along its extended length.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
obloquy,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɑbləkwi/,"Obloquy refers to harsh criticism, severe censure, or public denunciation, particularly when it involves verbal abuse, condemnation, or strong disapproval directed at a person's character or actions. The term encompasses both the act of severely criticizing someone and the state of being subjected to such criticism, often involving public humiliation or loss of reputation. Obloquy typically involves more than mere disagreement or mild criticism; it suggests sustained, harsh attacks on someone's integrity, competence, or moral character. Historical figures who faced obloquy often experienced campaigns of public vilification that damaged their careers and personal lives. In literary and formal contexts, obloquy describes the kind of verbal assault that can destroy reputations and social standing. The word implies not just criticism but a systematic attempt to discredit or shame someone through harsh words and public condemnation. Understanding obloquy is important in studying political discourse, social dynamics, and the power of language to damage reputations. The term suggests both the severity of the criticism and its potentially destructive social consequences.","From Latin obloquium meaning ""contradiction, blame,"" from obloqui meaning ""to speak against,"" from ob- (against) + loqui (to speak).","Think ""ob-LOCK-wee"" - when someone speaks ""against"" (ob-) you, they ""lock"" you out of good standing with harsh criticism.","The politician faced widespread _____ after the scandal broke, with critics attacking his character from all sides.",Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
obnebulate,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ɑbˈnɛbjəˌleɪt/,"Obnebulate is a rare and formal verb meaning to cloud over, obscure, or make dark and misty, either literally through the presence of clouds, fog, or vapor, or figuratively by making something unclear, confused, or difficult to understand. In its literal sense, obnebulate describes the process by which skies become overcast or landscapes become shrouded in mist or fog, reducing visibility and creating atmospheric obscurity. The meteorological usage involves the formation of clouds or fog that blocks sunlight and creates dimmer, hazier conditions. Figuratively, the term can describe the mental or intellectual process of becoming confused, unclear, or clouded in thinking, similar to how fog obscures physical vision. Ideas, arguments, or explanations can become obnebulated when they are made unnecessarily complex, ambiguous, or confusing. The word is primarily found in literary, poetic, or highly formal contexts where sophisticated vocabulary is employed to create specific atmospheric or intellectual effects. Understanding obnebulation relates to both meteorology and cognitive psychology, representing the parallel between physical and mental clarity.","From Latin obnebulare, from ob- (over) + nebula (cloud, mist), meaning ""to cover with clouds or mist.""","Think ""ob-NEBULA-te"" - like a nebula (cloud) covering over something, making it dark and misty.","The morning mist began to _____ the valley, making the distant mountains barely visible.",Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
obscure,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/əbˈskjʊr/,"Obscure serves as both an adjective and a verb with related meanings centered on the concept of being hidden, unclear, or difficult to understand. As an adjective, obscure describes something that is not well-known, hard to understand, or lacking in clarity, such as obscure references in literature, obscure historical facts, or obscure regulations that few people know about. It can refer to people who are not famous or widely recognized, places that are remote or little-known, or concepts that are difficult to grasp. As a verb, obscure means to hide, conceal, or make something difficult to see or understand, such as when clouds obscure the sun or when technical jargon obscures the meaning of a document. The word often carries implications of intentional or unintentional concealment that prevents clear understanding or recognition. In academic contexts, obscure sources might be hard to locate or interpret. In everyday usage, something obscure requires special knowledge or effort to comprehend fully.","From Latin obscurus meaning ""dark, dim, indistinct,"" possibly from ob- (over) + a root meaning ""to cover.""","Think ""ob-SCURE"" - something that is ""secured"" or hidden away, making it hard to find or understand.",The professor's lecture was filled with _____ references that only graduate students in the field could fully understand.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
