word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
winter,"Traditionally the fourth of the four seasons, typically regarded as being from December 23 to March 20 in continental regions of the Northern Hemisphere or the months of June, July and August in the Southern Hemisphere. It is the time when the sun is lowest in the sky, resulting in short days, and the time of year with the lowest atmospheric temperatures for the region.",/ˈwɪntɚ/,The harsh ____ left the trees bare and the ground frozen.,"From Old English winter, related to water and wet season",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wisdom,An element of personal character that enables one to distinguish the wise from the unwise.,/ˈwɪzdəm/,The elder's ____ guided the young tribe through difficult times.,"From Old English wisdom, from wis (wise) + -dom",Claude,Dictionary API,Dictionary API,Claude,2021; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,Elementary; Advanced
wish,"A desire, hope, or longing for something or for something to happen.",/wɪʃ/,She made a ____ before blowing out the birthday candles.,"From Old English wyscan, meaning to desire",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wistful,Full of longing or yearning.,/ˈwɪstfəl/,He had a ____ expression when looking at old photographs.,"From obsolete wist (thought) + -ful, meaning yearning",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Elementary; Intermediate
witch,A person who practices witchcraft; a woman or man who practices witchcraft.,/wɪtʃ/,The village ____ was known for her healing potions.,From Old English wicce (feminine) and wicca (masculine),Claude,Dictionary API,Dictionary API,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
withered,"To shrivel, droop or dry up, especially from lack of water.",/ˈwɪðəd/,The drought left the crops ____ and dying.,"From wither + -ed, meaning dried up or shriveled",Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
withers,"To shrivel, droop or dry up, especially from lack of water.",/ˈwɪð.əz/,The horse's ____ were clearly visible beneath its thin coat.,"From Old English wither, meaning against or resistance",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
without,"Outside, externally. This is still used in the names of some civil parishes in England, e.g. St Cuthbert Without.",/wɪθˈʌʊt/,She couldn't imagine life ____ her beloved dog.,"From Old English withoutan, meaning outside of",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
witnessing,"To furnish proof of, to show.",,They were ____ a historical moment in space exploration.,"From witness + -ing, Old English witnes meaning knowledge",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wittselbach,,,The ____ was an important part of the story.,Etymology of wittselbach from historical linguistic sources,Claude,,,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wizard,"Someone, usually male, who uses (or has skill with) magic, mystic items, and magical and mystical practices.",/ˈwɪ.zəd/,The ____ cast a powerful spell to protect the kingdom.,From Middle English wis (wise) + -ard suffix,Claude,Dictionary API,Dictionary API,Claude,2022; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
wizened,"To wither; to become, or make, lean and wrinkled by shrinkage, as from age or illness.",/ˈwizənd/,The ____ old sailor had countless stories from the sea.,"From wizen + -ed, meaning dried up with age",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
woad,The plant Isatis tinctoria.,,Ancient Celts used ____ to create blue dye for their clothing.,"From Old English wad, a blue dye plant",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
wobbulator,,,The radio technician adjusted the ____ to fine-tune the frequency.,"Modern technical term, from wobble + oscillator",Claude,,,Claude,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
woebegone,In a deplorable state.,/ˈwəʊbɪɡɒn/,The lost puppy had a ____ expression that melted hearts.,"From woe + begone (surrounded by), meaning sorrowful",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
wolfsbane,Any of several poisonous perennial herbs of the genus Aconitum.,/ˈwʊlfsbeɪn/,The herbalist warned that ____ was extremely poisonous.,"Compound of wolf + bane, referring to poisonous plant",Claude,Dictionary API,Dictionary API,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
woman,An adult female human.,/ˈwʊmɘn/,The remarkable ____ became the first to lead the expedition.,"From Old English wifman, literally ""wife-man"" or female person",Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
wombat,"Any of several herbivorous, burrowing marsupials, of the family Vombatidae, mainly found in southern and eastern Australia.",/ˈwɒm.bæt/,The Australian ____ is known for its cube-shaped droppings.,From Dharug (Australian Aboriginal) wambat,Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
women,An adult female human.,/ˈwɪmən/,The brave ____ fought for their right to vote.,"Plural of woman, from Old English wifmen",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
womyn,An adult female human.,,"Some feminists prefer the spelling ____ to avoid the suffix ""men"".","Modern feminist spelling variant of women, avoiding ""men""",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wonder,Something that causes amazement or awe; a marvel.,/ˈwʌndə/,"Tourists visit the ancient pyramid, a true ____ of the world.","From Old English wundor, meaning marvel or miracle",Claude,Dictionary API,Dictionary API,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
wood,"The substance making up the central part of the trunk and branches of a tree. Used as a material for construction, to manufacture various items, etc. or as fuel.",/wʊd/,The carpenter selected the finest ____ for the dining table.,"From Old English wudu, meaning forest or timber",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
woodwind,"Any (typically wooden) musical instrument that produces sound by the player blowing into it, through a reed, or across an opening. Woodwind instruments include the recorder, flute, piccolo, clarinet, oboe, cor anglais and bassoon.",,The clarinet is her favorite ____ instrument.,Compound referring to wind instruments made of wood,Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
woogie,,,The jazz pianist played a lively boogie-____ rhythm.,"From boogie-woogie, blues piano style from early 1900s",Claude,,,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
wool,"The hair of the sheep, llama and some other ruminants.",/wʊl/,The shepherd's ____ was prized for its exceptional softness.,"From Old English wull, meaning animal fiber",Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
woolsey,,,The cardinal's ____ fabric showed his high ecclesiastical rank.,"From wool + -sey suffix, referring to fabric blend",Claude,,,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
wootz,,,The ancient ____ steel was renowned for its superior quality.,"From Tamil/Telugu ukku, referring to high-carbon steel",Claude,,,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
wootzy,,,"After the long flight, she felt dizzy and ____ from jet lag.","Variant of woozy, meaning dizzy or unsteady",Claude,,,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wordmonger,,,The verbose ____ used fifty words where five would suffice.,"From word + monger (dealer), meaning verbose person",Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
worker,"A person who performs labor for a living, especially manual labor.",/ˈwɜː.kə/,The dedicated ____ arrived early every morning.,"From work + -er, one who works",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
workhorse,A horse used primarily for manual labor; a draft horse,,The old truck was a reliable ____ for the construction crew.,"Compound of work + horse, meaning reliable performer",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
works,(heading) Employment.,/wɜːks/,The complete ____ of Shakespeare fill many volumes.,"Plural of work, from Old English weorc meaning deed or labor",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
