word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
transmissibility,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"The quality or degree to which something can be transmitted or passed from one person, place, or organism to another. Medical contexts focus on disease transmissibility, measuring how easily pathogens spread between individuals or populations. The concept includes factors affecting transmission such as contagiousness, environmental stability, and susceptibility of recipients. Genetic transmissibility describes how traits pass from parents to offspring. Information transmissibility relates to how effectively data, knowledge, or cultural elements spread through communities. Public health uses transmissibility measures to predict and control disease outbreaks.",/trænzˌmɪsəˈbɪləti/,Scientists studied the virus's _____ to understand how quickly it could spread through the population.,"From 'transmissible' + '-ity' (quality of), from Latin 'transmittere' (to send across), meaning 'quality of being transmittable.'","[""Think 'ability to be TRANSMITTED' - quality of spreading or passing along"", ""Remember 'disease spread' for medical context of contagion"", ""Connect to 'contagiousness' for how easily something spreads""]",noun,1.2,4.5,3.0,1.8,,Claude,Claude,Claude,Claude
transmontane,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Situated or existing on the other side of mountains; relating to regions beyond mountainous barriers. Geographical contexts describe areas separated by mountain ranges, often having different climates, cultures, or political systems due to natural barriers. Historical usage refers to regions beyond the Alps from a particular perspective, such as transmontane Italy from northern European viewpoints. The term emphasizes the significance of mountains as natural boundaries affecting human settlement, trade routes, and cultural development. Modern usage extends to any regions separated by significant mountainous terrain.",/trænzˈmɑnteɪn/,The _____ regions developed distinct cultural traditions due to isolation created by the mountain barriers.,"From Latin 'transmontanus,' from 'trans-' (beyond) + 'montanus' (of mountains), meaning 'beyond the mountains.'","[""Think 'TRANS-MOUNTAIN' - beyond or across mountain ranges"", ""Remember 'other side of mountains' for geographical separation"", ""Connect to 'Alps' for traditional European context of mountain barriers""]",adjective,1.0,3.5,3.0,1.8,,Claude,Claude,Claude,Claude
transparencies,2020,2020 Words_of_the_Champions.pdf,One Bee,"Plural of transparency; the quality of being transparent or see-through; openness and honesty in processes, decisions, or operations; clear plastic sheets used for overhead projections. Physical transparency allows light to pass through without significant scattering, enabling clear vision through materials like glass or clear plastics. Organizational transparency involves open communication, accessible information, and accountable decision-making processes. Educational contexts historically used transparency sheets with overhead projectors for presentations. Financial transparency requires clear reporting of revenues, expenses, and decision-making processes.",/trænˈspɛrənsiz/,The professor prepared several _____ with diagrams to illustrate the complex scientific concepts.,"From 'transparent' + '-cy' (quality) + '-ies' (plural), from Latin 'transparere' (to show through).","[""Think 'see-through SHEETS' or 'openness quality' - clear materials or honest processes"", ""Remember 'overhead projector' for educational presentation materials"", ""Connect to 'clear glass' for physical transparency concept""]",noun (plural),1.0,4.0,3.0,2.1,,Claude,Claude,Claude,Claude
transpiration,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"The process by which water is absorbed by plant roots from soil and then evaporated from plant leaves and stems into the atmosphere. This vital biological process helps plants regulate temperature, transport nutrients, and maintain structural integrity. Transpiration creates a continuous water flow from roots to leaves, enabling nutrient transport throughout the plant. Environmental factors including temperature, humidity, wind, and light intensity affect transpiration rates. The process contributes significantly to the water cycle, returning moisture to the atmosphere and influencing local climate conditions.",/ˌtrænspəˈreɪʃən/,"During hot summer days, _____ from the forest trees creates cooling humidity in the surrounding air.","From French 'transpiration,' from Latin 'trans-' (through) + 'spirare' (to breathe), meaning 'breathing through.'","[""Think 'plants BREATHING out water' - water evaporation from plant leaves"", ""Remember 'TRANS-SPIRATION' = through + breathing for water release"", ""Connect to 'sweating' for similar water release process in animals""]",noun,1.5,4.0,4.0,2.1,,Claude,Claude,Claude,Claude
transportation,2024,2024 Words of the Champions.pdf,Three Bee,"The action of moving people, goods, or materials from one location to another; systems and methods used for such movement including vehicles, infrastructure, and logistics. Modern transportation encompasses personal vehicles, public transit, freight shipping, aviation, and emerging technologies like autonomous vehicles. Infrastructure includes roads, railways, airports, ports, and supporting facilities that enable efficient movement. Economic development depends heavily on transportation systems for commerce, employment access, and resource distribution. Environmental considerations increasingly influence transportation planning and technology development.",/ˌtrænspərˈteɪʃən/,"The city's _____ network includes buses, trains, bike lanes, and ride-sharing services.","From Latin 'transportation-' from 'transportare' (to carry across) + '-tion' (action), meaning 'action of carrying across.'","[""Think 'moving people and GOODS' - systems for getting from place to place"", ""Remember 'TRANSPORT-ATION' = carrying across + action"", ""Connect to 'vehicles' for cars, trains, planes, ships used for movement""]",noun,1.5,1.0,4.0,1.8,,Claude,Claude,Claude,Claude
transposable,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Capable of being moved, rearranged, or transferred from one position to another; in genetics, describing DNA sequences that can move within genomes. Musical contexts refer to compositions that can be performed in different keys by shifting all notes by the same interval. Mathematical transposition involves changing the position of elements in matrices or equations. Biological transposable elements, or 'jumping genes,' can insert themselves into different locations within chromosomes, potentially affecting gene function. The concept emphasizes flexibility and movability rather than fixed positioning.",/trænˈspoʊzəbəl/,"The modular furniture pieces are _____, allowing homeowners to reconfigure rooms easily.","From 'transpose' + '-able' (capable of), from Latin 'transponere' (to place across), meaning 'capable of being repositioned.'","[""Think 'able to be MOVED' - capable of changing position or arrangement"", ""Remember 'TRANS-POSE-ABLE' = across + place + able"", ""Connect to 'rearrangeable' for movable or repositionable quality""]",adjective,1.0,3.5,4.0,1.8,,Claude,Claude,Claude,Claude
trap,2023,2023_Words_of_the_Champions.pdf,Two Bee,"A device or situation designed to catch or confine animals, people, or objects; to catch or hold someone or something in an inescapable situation. Physical traps include mousetraps, animal snares, or mechanical devices for capture. Metaphorical traps describe situations that appear beneficial but lead to negative consequences, such as debt traps or logical fallacies. Sports contexts use trap plays to deceive opponents. The word implies deception, concealment, or unexpected containment that prevents escape or freedom of movement.",/træp/,The detective realized the meeting was a _____ designed to capture the fugitive.,"From Old English 'træppe,' possibly from Germanic origin, related to stepping or catching mechanisms.","[""Think 'catching DEVICE' - mechanism for capturing animals or people"", ""Remember 'mousetrap' for common household catching device"", ""Connect to 'snare' for similar capturing or confining mechanism""]","noun, verb",1.0,1.0,1.0,2.3,,Claude,Claude,Claude,Claude
trapezoid,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A quadrilateral (four-sided polygon) with exactly one pair of parallel sides, also called a trapezium in some regions. The parallel sides are called bases, while the non-parallel sides are called legs. Geometry classes teach trapezoid properties including area calculation (average of parallel sides multiplied by height) and angle relationships. Isosceles trapezoids have equal leg lengths and equal base angles. Real-world examples include some roof shapes, bridge designs, and architectural elements. The shape appears frequently in engineering and construction due to its structural properties.",/ˈtræpəˌzɔɪd/,The architect designed the building's facade with _____ windows that created an interesting geometric pattern.,"From Greek 'trapezion' (little table) + '-oid' (resembling), referring to its table-like shape with parallel sides.","[""Think 'TABLE-shaped polygon' - four sides with one pair parallel like table top/bottom"", ""Remember 'TRAP-EZOID' contains 'trap' for the trapping parallel sides"", ""Connect to 'table' for geometric shape resembling table outline""]",noun,1.0,3.0,2.0,2.3,,Claude,Claude,Claude,Claude
trashbobbed,2023,2023_Words_of_the_Champions.pdf,Two Bee,"This appears to be an unusual or potentially non-standard word. It may refer to someone having a bob haircut that looks disheveled or unkempt, resembling 'trash' in its messy appearance. Alternatively, it could describe a hairstyle that has been cut poorly or has become messy. The term combines 'trash' (worthless or messy) with 'bobbed' (cut in a bob style). This may be slang or a regional expression rather than a standard dictionary word.",/ˈtræʃˌbɑbd/,"After the windy day at the beach, her _____ hair looked completely disheveled.","Appears to combine 'trash' (messy, worthless) + 'bobbed' (cut in bob style), possibly modern slang creation.","[""Think 'TRASH-looking BOB haircut' - messy or poorly cut bob style"", ""Remember combination of 'trashy' appearance with 'bob' haircut"", ""Connect to 'disheveled hair' for unkempt appearance""]",adjective (possibly slang),1.2,3.5,3.0,1.0,,Claude,Claude,Claude,Claude
travails,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Painful or laborious efforts; difficult or arduous work; suffering or hardship endured during challenging tasks or life experiences. The word encompasses both physical labor and emotional struggles, emphasizing the difficulty and suffering involved in achieving goals or surviving difficult circumstances. Literary contexts often describe characters' travails during journeys, personal growth, or overcoming obstacles. Modern usage includes professional challenges, personal hardships, or societal struggles that require significant effort and endurance. The term suggests both the struggle itself and the strength required to persevere.",/trəˈveɪlz/,"Despite the many _____ of starting a business, she persevered and eventually succeeded.","From Old French 'travail' (suffering, labor), possibly from Latin 'trepalium' (torture device), meaning difficult work or suffering.","[""Think 'TRAVEL troubles' - hardships and difficulties during journeys"", ""Remember 'TRAVAIL' sounds like 'travel' but means hard work/suffering"", ""Connect to 'struggles' for difficult work or painful experiences""]",noun (plural),1.0,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
travel,2021,2021_Printable_Words of the Champions.pdf,One Bee,"To go from one place to another, typically over a distance; to move or journey to different locations for business, pleasure, or other purposes. Modern travel encompasses various transportation methods including automobiles, airplanes, trains, ships, and emerging technologies. Tourism involves travel for recreational and cultural experiences, contributing significantly to global economies. Business travel enables commerce, conferences, and professional relationships across distances. The concept includes both the physical movement and the experiences gained through exposure to different places, cultures, and perspectives.",/ˈtrævəl/,Many people hope to _____ around the world to experience different cultures and landscapes.,"From Middle English 'travelen,' variant of 'travail' (to work, journey), from Old French 'travail' (work, suffering).","[""Think 'JOURNEY to places' - moving from one location to another"", ""Remember 'vacation travel' for recreational trips and tourism"", ""Connect to 'transportation' for methods used to reach destinations""]","verb, noun",1.0,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
traveled,2025,2025 Words of Champion _1_.pdf,Three Bee,"Past tense of 'travel,' meaning journeyed or went from one place to another; having experience with visiting different places. Describes completed trips, journeys, or movement between locations. When describing people, indicates someone who has visited many places and gained experience through travel. Well-traveled individuals often possess cultural knowledge, adaptability, and broader perspectives from exposure to different places and peoples. The word can also describe routes, paths, or roads that have been used for transportation.",/ˈtrævəld/,She _____ extensively through Asia before settling down to write about her experiences.,"From 'travel' + '-ed' past tense suffix, indicating completed action of journeying or moving between places.","[""Think past tense of 'TRAVEL' - already completed journeys"", ""Remember 'experienced traveler' for someone who has visited many places"", ""Connect to 'well-traveled' for people with extensive travel experience""]","verb (past tense), adjective",1.0,1.0,2.0,1.3,,Claude,Claude,Claude,Claude
travels,2025,2025 Words of Champion _1_.pdf,Three Bee,"Third person singular present tense of 'travel,' or plural noun referring to journeys, trips, or accounts of traveling experiences. As a verb, describes someone's current action of moving between places. As a noun, refers to multiple journeys or the collective experiences of traveling. Travel literature often titled 'Travels in...' documents authors' experiences in different regions. The word encompasses both the physical act of movement and the cultural, educational, or recreational experiences gained through visiting different places.",/ˈtrævəlz/,The explorer published a book about her _____ through the Amazon rainforest.,"From 'travel' + '-s' third person singular or plural suffix, indicating multiple journeys or current traveling action.","[""Think 'multiple TRIPS' or 'currently traveling' - journeys or present action"", ""Remember 'travel books' often called 'Travels in [place]'"", ""Connect to 'adventures' for exciting travel experiences""]","verb (third person singular), noun (plural)",1.0,1.0,1.0,1.3,,Claude,Claude,Claude,Claude
traverse,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"To travel across, over, or through something; to move from one side to the other of a space or area. Can describe physical movement across landscapes, rooms, or obstacles, as well as metaphorical movement through time periods, topics, or concepts. Mountain climbing uses traverse to describe moving horizontally across rock faces or slopes. Legal contexts may involve traversing arguments or evidence. The word emphasizes crossing or spanning distances, boundaries, or subjects rather than simply moving in straight lines or staying within familiar territories.",/trəˈvɜrs/,The hikers needed three days to _____ the difficult mountain terrain safely.,"From Old French 'traverser,' from Latin 'transversus' (turned across), from 'trans-' (across) + 'vertere' (to turn).","[""Think 'CROSS over or through' - moving across obstacles or areas"", ""Remember 'TRAVERSE' sounds like 'travel across' for crossing movement"", ""Connect to 'bridge' for crossing over barriers or gaps""]","verb, noun",1.0,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
treachery,2025,2025 Words of Champion _1_.pdf,Three Bee,"Betrayal of trust or confidence; deceitful or disloyal behavior that violates commitments, relationships, or allegiances. The term implies deliberate deception and violation of trust, often involving secret actions that harm those who trusted the perpetrator. Historical contexts describe political treachery such as betraying military secrets or switching sides during conflicts. Personal treachery involves betraying friends, family members, or romantic partners through deceit or disloyalty. The word carries strong moral condemnation, suggesting behavior that violates fundamental social and ethical bonds.",/ˈtrɛtʃəri/,The spy's _____ was discovered when classified documents were found in his possession.,"From Old French 'trecherie,' from 'trecher' (to deceive), related to 'trick' and betrayal.","[""Think 'BETRAYAL of trust' - deliberate deception and disloyalty"", ""Remember 'TREACHERY' sounds like 'teacher' but means betrayer"", ""Connect to 'treason' for similar betrayal of loyalty or allegiance""]",noun,1.0,3.0,1.0,1.8,,Claude,Claude,Claude,Claude
treadle,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"A lever or pedal operated by foot pressure to drive machinery, particularly spinning wheels, sewing machines, pottery wheels, or other mechanical devices. Traditional treadles convert foot motion into rotational power for various crafts and manufacturing processes. Antique sewing machines often featured treadle operation before electric motors became common. The mechanism typically involves a foot pedal connected to a flywheel or belt system that transfers human power to machine operation. Modern exercise equipment sometimes incorporates treadle-like mechanisms for foot-powered operation.",/ˈtrɛdəl/,The seamstress pressed the _____ steadily to keep her antique sewing machine running smoothly.,"From Old English 'tredan' (to tread, step) + '-le' (diminutive), meaning 'small stepping device.'","[""Think 'foot PEDAL for machines' - lever operated by stepping motion"", ""Remember 'TREAD-LE' = tread + little for small stepping device"", ""Connect to 'sewing machine' for traditional foot-powered operation""]",noun,1.0,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
treadmill,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"An exercise machine with a moving belt that allows users to walk or run in place; historically, a device where people or animals walked on a large wheel to generate power. Modern treadmills are popular fitness equipment found in gyms and homes, featuring adjustable speeds, inclines, and monitoring systems. The original treadmill was a punishment device in prisons where inmates walked on large wheels to power mills or other machinery. Metaphorically, describes monotonous, repetitive activities that seem to lead nowhere, suggesting being trapped in unproductive cycles.",/ˈtrɛdˌmɪl/,She ran five miles on the _____ while watching the morning news program.,"From 'tread' (to step) + 'mill' (grinding device), originally referring to mills powered by treading motion.","[""Think 'running MACHINE' - exercise equipment for walking/running in place"", ""Remember 'TREAD-MILL' = stepping + grinding machine"", ""Connect to 'gym equipment' for modern cardiovascular exercise""]",noun,1.2,3.0,1.0,1.3,,Claude,Claude,Claude,Claude
treasury,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"A place or building where treasure or valuable items are stored; the government department responsible for financial and monetary policy; the funds or revenue of a state, institution, or organization. Modern treasuries manage public finances, collect taxes, issue currency, and oversee economic policy. Corporate treasuries handle company finances, investments, and cash management. Historical treasuries stored precious metals, jewels, and valuable artifacts in secure locations. The term encompasses both physical storage facilities and organizational departments responsible for financial management and oversight.",/ˈtrɛʒəri/,The Secretary of the _____ announced new economic policies to address inflation concerns.,"From Old French 'tresorie,' from 'tresor' (treasure), from Latin 'thesaurus' (storehouse, treasure).","[""Think 'TREASURE storage' - place where valuable items or money are kept"", ""Remember 'government finances' for national financial management department"", ""Connect to 'bank vault' for secure storage of valuable assets""]",noun,1.0,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
treatise,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A formal written work that deals systematically and thoroughly with a particular subject; a scholarly or academic essay that examines a topic in detail. Treatises typically present comprehensive analysis, evidence, and arguments about specific subjects, ranging from scientific theories to philosophical concepts to legal principles. Academic treatises contribute to scholarly knowledge and often influence policy or practice in their respective fields. Famous treatises include works on political philosophy, scientific discoveries, and religious doctrine. The format emphasizes thorough investigation and systematic presentation of ideas.",/ˈtritɪs/,The professor published a comprehensive _____ on environmental law that became required reading in universities.,"From Old French 'traitis,' from 'traitier' (to treat, handle), from Latin 'tractare' (to handle, discuss).","[""Think 'TREAT-ISE' - systematic treatment of a subject in writing"", ""Remember 'scholarly paper' for formal academic written work"", ""Connect to 'thesis' for similar formal written examination of topics""]",noun,1.0,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
