word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,pronunciation_source,etymology,etymology_source,language_origins,example_sentence,example_sentence_source,memory_tip,phonetic_complexity,frequency_complexity,morphological_complexity,etymological_complexity,final_difficulty_rating,difficulty_justification,audio_file_path,image_file_path,last_updated
getting,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Getting is the present participle of ""get,"" meaning the process of obtaining, acquiring, receiving, or becoming something. It can refer to physical acquisition (getting an object), achievement (getting a job), or change of state (getting tired). Getting emphasizes the ongoing process or action of obtaining rather than the completed result.",verb (present participle),GET-ing,Claude,"From ""get"" (from Old Norse ""geta"" meaning ""to obtain, reach"") plus the present participle suffix ""-ing.""",Claude,Old Norse,She was _______ better at playing piano with each practice session.,Claude,"Remember ""GETTING"" - in the process of GETting something, actively acquiring or becoming.",0.1,0.5,0.3,0.5,,,,,2024-08-20
ghana,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Ghana is a West African country known for its rich cultural heritage, historical significance in the slave trade, and natural resources including gold and cocoa. The modern nation takes its name from the ancient Ghana Empire, though geographically they are different. Ghana was the first African colony to gain independence from European rule in 1957 and is known for its democratic stability.",proper noun,GAH-nah,Claude,"Named after the ancient Ghana Empire, from Soninke ""Ghana"" meaning ""warrior king,"" though modern Ghana is geographically distinct from the ancient empire.",Claude,Soninke (West African language),The delegation from _______ shared insights about sustainable cocoa farming practices.,Claude,"Remember ""GHANA"" - West African nation that GAined independence first, named after ancient empire meaning warrior king.",0.3,0.5,0.0,0.5,,,,,2024-08-20
ghastly,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Ghastly describes something extremely unpleasant, horrifying, or shocking, often to the point of causing fear or revulsion. It can refer to appearances that are deathly pale or frightening, or to situations that are appalling or terrible. The word emphasizes both physical revulsion and moral shock, suggesting something that disturbs on multiple levels.","adjective, adverb",GAST-lee,Claude,"From ""ghast"" (to frighten, from Old English ""gāstan"") plus ""-ly,"" originally meaning ""ghost-like"" or ""terrifying.""",Claude,Old English,The accident scene was so _______ that many witnesses needed counseling.,Claude,"Remember ""GHASTLY"" - so frightening it makes you GASP, like seeing a GHOST, absolutely terrible.",0.3,0.5,0.3,0.30000000000000004,,,,,2024-08-20
ghostly,2025,2025 Words of Champion _1_.pdf,Three Bee,"Ghostly describes something resembling or characteristic of a ghost; spectral, eerie, or supernatural in appearance or quality. It can refer to pale, translucent appearances, mysterious sounds, or anything that seems to come from beyond the physical world. Ghostly suggests an otherworldly quality that may be beautiful, frightening, or simply mysterious.","adjective, adverb",GOHST-lee,Claude,"From ""ghost"" (from Old English ""gāst"" meaning ""spirit, soul"") plus the suffix ""-ly.""",Claude,Old English,The _______ figure appeared in the moonlight and then vanished without a trace.,Claude,"Remember ""GHOSTLY"" - like a GHOST, pale and mysterious, having supernatural or spooky qualities.",0.3,0.5,0.3,0.30000000000000004,,,,,2024-08-20
giallolino,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Giallolino is an Italian term referring to a pale yellow color or a specific type of yellow pigment used in art and painting. In Italian, ""giallo"" means yellow, and ""giallolino"" indicates a lighter, more delicate shade of yellow. This term appears in art history and color terminology, particularly in discussions of Renaissance and classical painting techniques.",noun,jah-loh-LEE-noh,Claude,"From Italian ""giallo"" (yellow) plus the diminutive suffix ""-lino,"" meaning ""little yellow"" or ""pale yellow.""",Claude,Italian,The Renaissance painter used _______ pigment to create subtle highlights in the portrait.,Claude,"Remember ""GIALLOLINO"" - Italian for pale yellow, like a gentle GLOW that's LIght and NOble in color.",0.1,0.8,0.0,0.5,,,,,2024-08-20
giant,2020,2020 Words_of_the_Champions.pdf,One Bee,"A giant is an extremely large person, creature, or thing, often of mythological or fairy tale origin, or something of extraordinary size compared to normal examples of its kind. In literature and mythology, giants are typically portrayed as enormous humanoid beings with great strength. Metaphorically, giant describes anything remarkably large, powerful, or influential in its field.","noun, adjective",JY-ant,Claude,"From Old French ""geant,"" from Latin ""gigas,"" from Greek ""gigas"" meaning ""giant, one of the mythological race of giants.""",Claude,"Old French, Latin, Greek",The technology company grew from a startup to a _______ in the industry within just five years.,Claude,"Remember ""GIANT"" - something so big it's GIgantic, enormous like mythological giants in fairy tales.",0.0,0.5,0.0,0.8999999999999999,,,,,2024-08-20
gibbous,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Gibbous describes the moon when it appears more than half but less than fully illuminated, creating a bulging, rounded shape. This lunar phase occurs between the first quarter and full moon (waxing gibbous) or between full moon and third quarter (waning gibbous). The term can also describe anything having a hump-like or protuberant shape.",adjective,GIB-us,Claude,"From Latin ""gibbosus"" meaning ""hump-backed,"" from ""gibba"" (hump), referring to the bulging appearance of the partially illuminated moon.",Claude,Latin,"The _______ moon cast a bright glow over the landscape, nearly full but not quite.",Claude,"Remember ""GIBBOUS"" - the moon with a GIB (bulge), more than half full and looking like it has a hump.",0.1,0.5,0.3,0.7,,,,,2024-08-20
giddily,2025,2025 Words of Champion _1_.pdf,Three Bee,"Giddily is an adverb meaning in a giddy manner, characterized by lightheaded excitement, dizziness, or frivolous behavior. It describes actions performed with a sense of spinning or disorientation, whether from physical causes or overwhelming excitement. Giddily suggests behavior that is carefree, excited, or slightly reckless due to joy or intoxication.",adverb,GID-ih-lee,Claude,"From ""giddy"" (from Old English ""gydig"" meaning ""possessed by a god, mad"") plus the adverbial suffix ""-ly.""",Claude,Old English,The children laughed _______ as they spun around on the playground merry-go-round.,Claude,"Remember ""GIDDILY"" - acting in a GIDDY way with GLEE, spinning around with excitement and joy.",0.1,0.5,0.3,0.30000000000000004,,,,,2024-08-20
gift,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"A gift is something given voluntarily without payment in return, as a present or token of appreciation, love, or friendship. Gifts can also refer to natural talents or abilities that someone possesses. The act of giving gifts represents generosity, thoughtfulness, and social bonding, playing important roles in relationships and cultural traditions across societies.","noun, verb",GIFT,Claude,"From Old Norse ""gift"" meaning ""gift, good luck,"" related to ""gefa"" (to give), ultimately from the same root as ""give.""",Claude,Old Norse,Her _______ for music became apparent when she started composing songs at age five.,Claude,"Remember ""GIFT"" - something GIven FreeT (freely), either a present or natural talent you're born with.",0.0,0.3,0.0,0.5,,,,,2024-08-20
giggle,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Giggle means to laugh in a light, silly, or nervous manner, typically with repeated short bursts of laughter that are higher in pitch than normal laughter. Giggling often indicates amusement, embarrassment, or nervous energy, and is commonly associated with children or situations involving mild awkwardness or silliness.","verb, noun",GIG-ul,Claude,"Probably imitative, representing the sound of light laughter, possibly related to Middle English ""giglen"" or Dutch ""giggelen.""",Claude,English (imitative),The students couldn't help but _______ when their teacher mispronounced the foreign word.,Claude,"Remember ""GIGGLE"" - a GIGantic little laugh, light and bubbly like ""gig-gig-gig"" sounds.",0.1,0.5,0.0,0.4,,,,,2024-08-20
gilded,2021,2021_Printable_Words of the Champions.pdf,One Bee,"Gilded means covered with a thin layer of gold or gold leaf, or having a golden appearance. The word can also describe something made to appear more attractive or valuable than it actually is, often with deceptive intent. ""Gilded"" suggests superficial beauty or wealth that may hide inferior substance underneath.","adjective, verb (past tense)",GIL-did,Claude,"Past participle of ""gild,"" from Old English ""gyldan"" meaning ""to cover with gold,"" related to ""gold.""",Claude,Old English,The ornate _______ frame made the simple painting look much more valuable.,Claude,"Remember ""GILDED"" - covered with GOLD to look fancy, making something appear more valuable than it is.",0.0,0.5,0.3,0.30000000000000004,,,,,2024-08-20
gilgamesh,2024,2024 Words of the Champions.pdf,Three Bee,"Gilgamesh refers to the legendary king of Uruk in ancient Mesopotamia and the hero of one of the world's oldest known pieces of literature, the Epic of Gilgamesh. This ancient Sumerian and Babylonian epic tells the story of Gilgamesh's adventures and his quest for immortality. The epic is considered a foundational work of world literature, exploring themes of friendship, mortality, and the human condition.",proper noun,GIL-gah-mesh,Claude,"From Akkadian ""Gilgameš,"" possibly meaning ""the ancestor is a hero"" or related to Sumerian divine names.",Claude,"Akkadian, Sumerian",Students studied the Epic of _______ to understand ancient Mesopotamian literature and culture.,Claude,"Remember ""GILGAMESH"" - the ancient king whose epic story is a GILded (golden) GAME of heroic adventures and MESH of human emotions.",0.0,0.8,0.0,0.5,,,,,2024-08-20
gimbaled,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Gimbaled (or gimballed) describes something that is mounted on gimbals, which are pivoted supports that allow rotation around multiple axes, keeping an object level despite movement of its support. This system is used in ships' compasses, cameras, gyroscopes, and spacecraft to maintain stability and orientation regardless of external motion.",adjective,GIM-buld,Claude,"From ""gimbal"" (from Old French ""gemel"" meaning ""twin,"" referring to the paired rings) plus the past participle suffix ""-ed.""",Claude,Old French,The _______ camera mount kept the shot steady even as the ship rocked in heavy seas.,Claude,"Remember ""GIMBALED"" - mounted on GYM-like BALanced rings that keep things steady despite movement.",0.3,0.8,0.3,0.5,,,,,2024-08-20
gimballed,2021; 2022; 2023,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Gimballed is the British spelling of ""gimbaled,"" describing something mounted on gimbals - pivoted supports that allow free rotation around multiple axes to maintain stability. This mounting system is essential in navigation equipment, scientific instruments, and stabilization systems where maintaining level orientation is critical despite external movement.",adjective,GIM-buld,Claude,"British spelling of ""gimbaled,"" from ""gimbal"" plus ""-ed,"" where gimbal comes from Old French ""gemel"" (twin).",Claude,Old French,The _______ gyroscope maintained its orientation perfectly despite the aircraft's maneuvers.,Claude,"Remember ""GIMBALLED"" - British spelling for GYM-BALanced mounting that keeps instruments level and stable.",0.4,0.8,0.3,0.5,,,,,2024-08-20
ginger,2020,2020 Words_of_the_Champions.pdf,One Bee,"Ginger is a flowering plant whose rhizome (underground stem) is widely used as a spice and herbal medicine, known for its hot, pungent flavor and aromatic qualities. Fresh ginger root is used in cooking worldwide, while dried ginger powder is a common baking spice. Ginger has anti-inflammatory properties and is used to treat nausea and digestive issues.","noun, adjective",JIN-jer,Claude,"From Old English ""gingifer,"" from Medieval Latin ""gingiber,"" ultimately from Sanskrit ""srngaveram"" (horn-shaped).",Claude,"Old English, Medieval Latin, Sanskrit",The chef added fresh _______ to the stir-fry for extra flavor and heat.,Claude,"Remember ""GINGER"" - a spicy root that adds ZING to food, hot and aromatic like its reddish color suggests.",0.0,0.5,0.3,0.7,,,,,2024-08-20
gingerbread,2020,2020 Words_of_the_Champions.pdf,One Bee,"Gingerbread is a sweet baked good flavored with ginger and other spices like cinnamon, cloves, and nutmeg, often made into cookies shaped like people or houses, especially popular during Christmas. The term also refers to elaborate decorative woodwork on Victorian buildings, called ""gingerbread trim"" because of its ornate, cookie-like appearance.",noun,JIN-jer-bred,Claude,"Compound of ""ginger"" plus ""bread,"" from Middle English ""gingerbrede,"" originally a preserved ginger confection.",Claude,Middle English,The children decorated the _______ house with candy and icing for the holiday display.,Claude,"Remember ""GINGERBREAD"" - sweet bread flavored with GINGER, often shaped like little people or houses.",0.0,0.8,0.0,0.4,,,,,2024-08-20
gingivitis,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Gingivitis is inflammation of the gums (gingiva) caused by bacterial plaque buildup, characterized by red, swollen, bleeding gums. This common dental condition is the mildest form of gum disease and is typically reversible with proper oral hygiene and professional cleaning. If untreated, gingivitis can progress to more severe periodontal disease.",noun,jin-jih-VY-tis,Claude,"From Latin ""gingiva"" (gum) plus Greek suffix ""-itis"" (inflammation), literally meaning ""gum inflammation.""",Claude,"Latin, Greek",The dentist diagnosed _______ and recommended improved brushing and flossing habits.,Claude,"Remember ""GINGIVITIS"" - inflammation (-itis) of the GINGIVa (gums), making gums red and swollen.",0.0,0.8,0.0,0.8999999999999999,,,,,2024-08-20
ginglymus,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Ginglymus is an anatomical term for a hinge joint that allows movement in only one plane, like the elbow or knee joint. These joints permit flexion and extension but not rotation or side-to-side movement. The term is used in medical and anatomical contexts to describe this specific type of synovial joint structure.",noun,GING-lih-mus,Claude,"From Greek ""ginglymos"" meaning ""hinge,"" referring to the hinge-like movement of these joints.",Claude,Greek,"The knee is an example of a _______ joint, allowing bending and straightening but not rotation.",Claude,"Remember ""GINGLYMUS"" - a HINGE joint that GINGerly moves in one direction, like your elbow bending.",0.0,0.8,0.0,0.7,,,,,2024-08-20
gippsland,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Gippsland is a region in southeastern Victoria, Australia, known for its diverse landscapes including forests, lakes, and agricultural areas. The region was named after Sir George Gipps, an early Governor of New South Wales. Gippsland is famous for its natural beauty, dairy farming, and tourist attractions including the Gippsland Lakes.",proper noun,GIPS-land,Claude,"Named after Sir George Gipps (1791-1847), Governor of New South Wales, plus ""land.""",Claude,English (named after British colonial governor),The tourists planned to explore the scenic lakes and forests of _______.,Claude,"Remember ""GIPPSLAND"" - Australian region named after Governor GIPPS, a LAND of lakes and agriculture.",0.4,0.8,0.0,0.4,,,,,2024-08-20
giraffe,2025,2025 Words of Champion _1_.pdf,Three Bee,"A giraffe is the world's tallest mammal, native to Africa, characterized by its extremely long neck, legs, and distinctive spotted coat pattern. These herbivorous animals use their height to reach acacia leaves high in trees that other animals cannot access. Giraffes have unique cardiovascular adaptations to pump blood up their long necks to their brains.",noun,juh-RAF,Claude,"From French ""girafe,"" from Arabic ""zarāfah,"" possibly from an African language describing this distinctive animal.",Claude,"French, Arabic",The _______ gracefully stretched its neck to reach the highest branches of the acacia tree.,Claude,"Remember ""GIRAFFE"" - the tall animal with a long neck that can GRAB leaves from ABOVE, spotted and graceful.",0.1,0.5,0.0,0.7,,,,,2024-08-20
giraffes,2024,2024 Words of the Champions.pdf,Three Bee,"Giraffes is the plural form of giraffe, referring to multiple of these tall African mammals known for their extraordinary height, long necks, and distinctive spotted patterns. These herbivores live in savannas and open woodlands, traveling in loose herds and using their height advantage to spot predators and access food sources unavailable to other animals.",noun (plural),juh-RAFS,Claude,"Plural of ""giraffe,"" from French ""girafe,"" ultimately from Arabic ""zarāfah.""",Claude,"French, Arabic",The wildlife photographer captured stunning images of _______ silhouetted against the African sunset.,Claude,"Remember ""GIRAFFES"" - multiple tall animals that can GRAB leaves from ABOVE, a group of spotted long-necked mammals.",0.1,0.8,0.0,0.7,,,,,2024-08-20
girandole,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A girandole is an ornate candlestick or candelabra with multiple branches for holding several candles, often elaborately decorated and designed as a centerpiece. These decorative lighting fixtures were particularly popular in the 17th and 18th centuries and are characterized by their artistic design combining functionality with aesthetic appeal.",noun,JIR-un-dohl,Claude,"From French ""girandole,"" from Italian ""girandola"" meaning ""revolving firework,"" from ""girare"" (to turn), referring to the radiating arms.",Claude,"French, Italian",The elegant _______ held twelve candles and served as the centerpiece for the formal dining table.,Claude,"Remember ""GIRANDOLE"" - a decorative candle holder that GIRates with multiple arms, like a GRAND spinning wheel of light.",0.0,0.8,0.0,0.5,,,,,2024-08-20
gist,2023; 2024,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,Three Bee; Two Bee,"The gist is the main point, central idea, or essential meaning of something, particularly a speech, argument, or written work. It represents the core substance or most important elements, stripped of details and supporting information. Understanding the gist means grasping the fundamental message or primary significance of a communication.",noun,JIST,Claude,"From Old French ""gist"" meaning ""it lies,"" from ""gésir"" (to lie), originally a legal term meaning ""the point on which an action lies.""",Claude,Old French,"Although the lecture was complex, the _______ was that climate change requires immediate action.",Claude,"Remember ""GIST"" - the main point that you GET, the essential idea that really matters in any communication.",0.0,0.3,0.0,0.5,,,,,2024-08-20
gistgizzard,2025,2025 Words of Champion _1_.pdf,Three Bee,"Gistgizzard appears to be a combined word error where ""gist"" (main point or essential meaning) and ""gizzard"" (bird's digestive organ) were incorrectly merged during PDF processing. These are completely unrelated terms - one referring to abstract meaning and the other to anatomy. This represents a data quality issue where linguistic and biological terminology were improperly joined.",corrupted entry,JIST-GIZ-ard,Claude,"Corrupted combination of ""gist"" (Old French ""gist"") and ""gizzard"" (Middle English ""giser"").",Claude,"Old French, Middle English (corrupted)",The word _______ appears to be a parsing error combining meaning terminology with bird anatomy.,Claude,"This is a data error - remember that ""gist"" (main point) and ""gizzard"" (bird organ) should be separate.",0.1,0.8,0.0,0.4,,,,,2024-08-20
given,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Given can mean provided, granted, or assumed as a basis for argument or calculation. As an adjective, it describes something that is specified, particular, or taken as fact. Given also functions as the past participle of ""give,"" indicating something that has been provided or bestowed. The word often introduces conditions or assumptions in logical arguments.","adjective, verb (past participle), noun",GIV-en,Claude,"Past participle of ""give,"" from Old English ""giefan"" meaning ""to give, bestow,"" related to Old Norse ""gefa.""",Claude,Old English,"Under the _______ circumstances, we had no choice but to postpone the event.",Claude,"Remember ""GIVEN"" - something that's already been GIVen or assumed, a fact you can count on.",0.0,0.5,0.0,0.30000000000000004,,,,,2024-08-20
giza,2020,2020 Words_of_the_Champions.pdf,One Bee,"Giza is a city in Egypt, part of Greater Cairo, famous for the Giza pyramid complex including the Great Pyramid of Giza, one of the Seven Wonders of the Ancient World. The site also features the Great Sphinx and other ancient monuments from the Old Kingdom period. Giza represents one of the most important archaeological sites in the world.",proper noun,GEE-zah,Claude,"From Arabic ""al-Jīzah,"" possibly meaning ""the sycamore"" or related to ancient Egyptian place names.",Claude,"Arabic, ancient Egyptian",Tourists from around the world visit _______ to see the ancient pyramids and Sphinx.,Claude,"Remember ""GIZA"" - where the Great pyramids stand, an ancient site that makes you GAZe in wonder.",0.0,0.3,0.0,0.7,,,,,2024-08-20
