word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
credence,"Belief in or acceptance of something as true; the quality of being trusted and believed in. Credence involves giving mental assent to claims, statements, or ideas based on evidence, authority, or personal judgment. It represents the foundation of trust and acceptance.",noun,KREE-duhns (/ˈkriːdəns/),"From Latin ""credentia,"" from ""credere"" (to believe)","Think ""cred (believe) + ence"" - the state of believing or trusting",None,Latin,The witness's consistent story lent _____ to her testimony.,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
credit,"Recognition or acknowledgment of merit; a system allowing deferred payment; to attribute something to someone; trust in someone's ability to pay. Credit encompasses financial trust, academic recognition, and attribution of achievement or responsibility.","noun, verb",KRED-it (/ˈkrɛdɪt/),"From Latin ""creditum,"" from ""credere"" (to believe, trust)","Think ""cred (believe) + it"" - believing someone will pay it back",None,Latin,She received full _____ for developing the innovative teaching method.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
credulity,A tendency to be too ready to believe things; gullibility or excessive willingness to accept claims without sufficient evidence. Credulity represents a cognitive bias toward acceptance rather than skeptical evaluation. It can make individuals vulnerable to deception or misinformation.,noun,kruh-DOO-li-tee (/krəˈduːləti/),"From Latin ""credulitas,"" from ""credulus"" (too ready to believe)","Think ""cred (believe) + ulous (full of)"" - being too full of belief",None,Latin,His _____ made him an easy target for online scams and false claims.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
creeks,"Plural of creek; small streams or waterways, typically smaller than rivers; narrow inlets or bays. Creeks serve as natural drainage systems, wildlife habitats, and recreational areas. They often connect larger water bodies or provide seasonal water flow.",noun (plural),KREEKS (/kriːks/),"Plural of Middle English ""creke,"" from Old Norse ""kriki"" (nook)","Think of small streams that ""creak"" quietly as water flows over rocks",None,Old Norse,The hiking trail crossed several shallow _____ on its way to the summit.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
creel,"A wicker basket used by anglers to hold caught fish; a framework or structure used in fishing or textile production. Creels keep fish fresh and alive during fishing expeditions. In textile manufacturing, creels hold yarn or thread for weaving processes.",noun,KREEL (/kriːl/),"From Middle English ""crele,"" from Old French ""creil"" (gridiron)","Think ""creek + eel"" - a basket for holding fish like eels from creeks",None,Old French,The fly fisherman carried his daily catch in a traditional wicker _____.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,2.5,,Claude,Claude,Claude,Claude
creelboniface,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""creel"" (fishing basket) + ""boniface"" (innkeeper or jolly host). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""creel"" and ""boniface""",creel + boniface (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,3.5,1.5,2.0,,Claude,Claude,Claude,Claude
creosote,"A dark, oily liquid obtained from coal tar or wood tar, used as a wood preservative and disinfectant; a shrub native to desert regions of southwestern North America. Industrial creosote protects railway ties and telephone poles from decay, while creosote plants are adapted to arid environments.",noun,KREE-uh-soht (/ˈkriəˌsoʊt/),"From Greek ""kreas"" (flesh) + ""soter"" (preserver)","Think ""cre (create) + osote"" - creates protection by preserving wood",None,Greek,The railroad treated wooden ties with _____ to prevent rot and insect damage.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
crepuscular,"Active during twilight hours (dawn and dusk); relating to or resembling twilight. Many animals are crepuscular, becoming active when light levels are low but not completely dark. This behavior helps them avoid both diurnal and nocturnal predators while taking advantage of optimal hunting conditions.",adjective,kruh-PUS-kyuh-lur (/krəˈpʌskjələr/),"From Latin ""crepusculum"" (twilight, dusk)","Think ""creep + uscular"" - animals that creep out during twilight",None,Latin,"Rabbits are _____ animals, most active during dawn and dusk hours.",2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.3,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
crescendo,"A gradual increase in loudness or intensity, especially in music; the climax or peak of such an increase. Crescendos create dramatic effect by building tension and excitement. The term applies to both musical dynamics and metaphorical increases in any activity or emotion.","noun, verb",kruh-SHEN-doh (/krəˈʃɛndoʊ/),"Italian, meaning ""growing,"" from Latin ""crescere"" (to grow)","Think ""cre (grow) + scendo"" - growing or ascending in volume",None,Italian/Latin,The symphony built to a powerful _____ before ending in sudden silence.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.3,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
crescive,"Growing or increasing gradually; having the quality of growth or development. This formal term describes processes that expand, develop, or intensify over time. Crescive changes occur through natural progression rather than sudden transformation.",adjective,KRES-iv (/ˈkrɛsɪv/),"From Latin ""crescere"" (to grow) + suffix ""-ive""","Think ""cres (grow) + -ive"" - having the quality of growing",None,Latin,The _____ influence of social media changed communication patterns gradually.,2020; 2021; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.3,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
cress,"Any of various small, peppery-tasting plants of the mustard family, often used in salads or as garnish. Watercress, garden cress, and winter cress are common varieties. These plants grow quickly and provide sharp, spicy flavors that complement milder ingredients.",noun,KRES (/krɛs/),"From Old English ""cresse,"" related to German ""Kresse""","Think ""cres (grow) + s"" - fast-growing spicy salad plants",None,Old English,The chef garnished the soup with fresh water _____ for added flavor.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,2.0,1.0,2.5,,Claude,Claude,Claude,Claude
cretaceous,"Relating to the third and final period of the Mesozoic Era (145-66 million years ago), characterized by chalk deposits and ending with mass extinction. The Cretaceous period saw the dominance of dinosaurs, flowering plants, and warm global climates before the asteroid impact that ended the dinosaur age.","adjective, noun",kruh-TAY-shus (/krəˈteɪʃəs/),"From Latin ""cretaceus,"" from ""creta"" (chalk)","Think ""creta (chalk) + ceous"" - the period that left lots of chalk deposits",None,Latin,The _____ period ended with the extinction of non-avian dinosaurs.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
crevices,"Plural of crevice; narrow openings or cracks, especially in rock or ice; small gaps or fissures. Crevices form through natural weathering, geological activity, or structural stress. They provide shelter for small organisms and can present challenges for climbers or explorers.",noun (plural),KREV-uh-siz (/ˈkrɛvəsɪz/),"Plural of Old French ""crevace,"" from ""crever"" (to break)","Think ""crev (crack) + ices"" - cracks or openings like in ice",None,Old French,Small wildflowers grew in the rocky _____ along the mountain trail.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
crew,"A group of people working together, especially on a ship, aircraft, or film production; the sport of rowing with multiple rowers; to serve as a crew member. Crews collaborate to accomplish complex tasks requiring coordination and specialized skills.","noun, verb",KROO (/kruː/),"From Old French ""creue,"" meaning ""increase, reinforcement""","Think ""grew"" - a group that grew together to work as a team",None,Old French,The film _____ worked sixteen hours to complete the challenging scene.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,1.5,1.0,2.5,,Claude,Claude,Claude,Claude
cribbage,"A card game for two to four players, typically played with a special board having holes for keeping score with pegs. Cribbage involves creating combinations of cards that total fifteen or form pairs, runs, and flushes. The game combines strategy with chance and has been popular for centuries.",noun,KRIB-ij (/ˈkrɪbɪdʒ/),"From ""crib"" (the extra hand of cards) + suffix ""-age""","Think ""crib + age"" - a game that's been around for ages using a crib of cards",None,English,"They played _____ every evening, using the wooden board passed down through generations.",2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
cribble,To sift or screen through a coarse sieve; to perforate with holes; riddled with holes like a sieve. This process separates materials by size or removes impurities. Cribbling creates regular patterns of holes or filters substances through screening.,"verb, adjective",KRIB-ul (/ˈkrɪbəl/),"From ""crib"" (sieve) + suffix ""-le"" (diminutive)","Think ""crib + ble"" - like a crib but with holes for sifting",None,English,The miners used a screen to _____ the ore and separate valuable metals.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
cribo,"A large, non-venomous snake native to Central and South America, also known as an indigo snake; these powerful constrictors can grow over eight feet long. Cribos are excellent climbers and swimmers, feeding on various prey including other snakes, mammals, and birds.",noun,KREE-boh (/ˈkriboʊ/),"Spanish/Portuguese, possibly from indigenous Central American languages","Think ""crib + o"" - a snake so big it could fill a crib",None,Spanish/Portuguese,The zoo's _____ snake was an impressive eight-foot-long specimen from Costa Rica.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,2.5,,Claude,Claude,Claude,Claude
cricket,"A small jumping insect known for the chirping sound males make; a bat-and-ball sport played between two teams of eleven players. Cricket insects produce their characteristic sound by rubbing their wings together, while cricket the sport involves complex rules and can last for days.",noun,KRIK-it (/ˈkrɪkɪt/),"From Old French ""criquet,"" imitative of the insect's sound","Think ""crick + et"" - the sound they make is like a ""crick"" sound",None,Old French,The summer evening was filled with the gentle chirping of _____ in the grass.,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
criminal,"A person who has committed a crime; relating to crime or its punishment. Criminal behavior violates laws and social norms, resulting in legal consequences. The criminal justice system addresses both punishment and rehabilitation of offenders.","noun, adjective",KRIM-uh-nul (/ˈkrɪmənəl/),"From Latin ""criminalis,"" from ""crimen"" (crime, accusation)","Think ""crime + inal"" - relating to or involving crime",None,Latin,The detective worked tirelessly to solve the _____ case.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
cringed,"Past tense of cringe; drew back or recoiled in fear, embarrassment, or distaste; showed servile deference. Cringing represents both physical recoiling from unpleasant stimuli and emotional responses to awkward or painful situations.",verb (past tense),KRINJD (/krɪndʒd/),"From Old English ""cringan"" (to yield, fall in battle) + past tense ""-ed""","Think ""crin (like grin) + ged"" - opposite of grinning, pulling back in discomfort",None,Old English,She _____ when she heard the fingernails scraping across the chalkboard.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,2.5,1.5,2.0,,Claude,Claude,Claude,Claude
crinoline,"A stiff fabric made of horsehair and cotton or linen; a hoop skirt or petticoat made with this fabric, worn to extend women's skirts in the 19th century. Crinolines created the distinctive bell-shaped silhouette fashionable in Victorian times.",noun,KRIN-uh-lin (/ˈkrɪnəlɪn/),"French, from ""crin"" (horsehair) + ""lin"" (linen)","Think ""crin (horsehair) + line"" - horsehair fabric that creates lines/shape",None,French,The museum displayed Victorian dresses with elaborate _____ underskirts.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
crisp,"Firm and brittle; fresh and sharp in quality; clear and decisive; a thin, crispy snack food. Crisp describes textures, weather conditions, communication styles, and food preparations that are clean, sharp, or well-defined.","adjective, noun, verb",KRISP (/krɪsp/),"From Old English ""crisp,"" from Latin ""crispus"" (curled)","Think of fresh lettuce or crackers - firm, fresh, and making a snapping sound",None,Latin,The autumn morning air was _____ and invigorating.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
criteria,"Plural of criterion; standards or principles by which something is judged, evaluated, or decided. Criteria provide objective measures for assessment, selection, or comparison. They establish consistent frameworks for making decisions or evaluations.",noun (plural),krahy-TEER-ee-uh (/kraɪˈtɪriə/),"Plural of Greek ""kriterion,"" from ""krites"" (judge)","Think ""crit (judge) + eria"" - standards used for judging or evaluating",None,Greek,The scholarship committee established clear _____ for selecting recipients.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
crith,"A unit of mass used for gases, equal to the mass of one liter of hydrogen gas at standard temperature and pressure (approximately 0.0899 grams). This specialized scientific unit allows precise measurement of gaseous substances in chemistry and physics.",noun,KRITH (/krɪθ/),"From Greek ""krithos"" (barley grain), referring to a small unit of measurement","Think ""crit (small) + h"" - a very small unit for measuring gas mass",None,Greek,The chemist measured the gas sample in _____ to ensure precise calculations.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
critters,"Informal term for creatures or animals, especially small or wild ones; living beings, often used affectionately or colloquially. This folksy term encompasses various animals from insects to mammals, typically referring to creatures in natural settings.",noun (plural),KRIT-urz (/ˈkrɪtərz/),"Dialect variation of ""creatures""","Think ""crit (small) + ters"" - small creatures or animals",None,English dialect,The forest was full of various _____ scurrying about in the underbrush.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
critturs,"Dialectal or archaic spelling of ""critters""; creatures or animals, especially as spoken in rural or regional dialects. This variant represents older or regional pronunciation patterns in American English, particularly in rural or frontier contexts.",noun (plural),KRIT-urz (/ˈkrɪtərz/),"Dialectal variation of ""creatures""","Think ""crit + turs"" - old-fashioned way of saying creatures","Critters, Creatures",English dialect,The old farmer spoke of the _____ that lived in the woods behind his property.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
crockerygauze,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""crockery"" (dishes and pottery) + ""gauze"" (thin medical fabric). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""crockery"" and ""gauze""",crockery + gauze (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,3.5,1.5,2.0,,Claude,Claude,Claude,Claude
crocodile,"A large, predatory reptile with a long snout, powerful jaws, and armored skin, found in tropical waters worldwide. Crocodiles are ancient creatures that have survived virtually unchanged for millions of years. They are apex predators in their aquatic environments.",noun,KROK-uh-dyl (/ˈkrɒkəˌdaɪl/),"From Greek ""krokodeilos,"" meaning ""pebble worm""","Think ""crock + o + dile"" - like a crock (pot) but dangerous, in the style of Nile",None,Greek,"The massive _____ basked motionless on the riverbank, waiting for prey.",2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
crokinole,"A Canadian dexterity board game similar to carrom, played by flicking wooden discs across a circular board to land in scoring areas while knocking opponents' pieces off. The game requires skill, strategy, and precise finger control.",noun,KROH-ki-nohl (/ˈkroʊkɪˌnoʊl/),"Possibly from French ""croquignole"" (flick) or Indigenous Canadian languages","Think ""crok (like crock) + i + nole"" - flicking discs in a crock-shaped board",None,Canadian (possibly French),The family gathered around the _____ board for their weekly tournament.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
cronies,"Close friends or companions, especially those involved in politics or business together; associates who may engage in mutual favoritism or questionable practices. The term often implies relationships based on mutual benefit rather than genuine friendship.",noun (plural),KROH-neez (/ˈkroʊniːz/),"From Greek ""chronios"" (long-lasting), originally Cambridge slang for old friend","Think ""chron (time) + ies"" - people you've known for a long time",None,Greek,The mayor was accused of giving city contracts to his political _____.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
crookedly,In a crooked manner; not straight or aligned; dishonestly or unfairly. This adverb describes both physical deviation from straightness and metaphorical deviation from honest or proper behavior.,adverb,KROOK-id-lee (/ˈkrʊkɪdli/),"From ""crooked"" + adverbial suffix ""-ly""","Think ""crooked + -ly"" - in a bent, twisted, or dishonest manner",None,English,The picture hung _____ on the wall after the earthquake.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.0,1.5,2.0,,Claude,Claude,Claude,Claude
crops,"Plural of crop; plants grown for food, fiber, or other economic purposes; the harvest of such plants; to cut or trim short. Crops represent agricultural production essential for human survival and economic activity.","noun (plural), verb",KROPS (/krɒps/),"Plural of Old English ""crop"" (sprout, harvest)","Think of plants that are ""cropped"" or harvested from fields",None,Old English,The drought severely affected this year's corn and soybean _____.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.3,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
croquembouche,"A French pastry dessert consisting of choux pastry balls (profiteroles) bound together with caramel and often formed into a cone shape. This elaborate dessert is traditionally served at weddings and special celebrations, requiring considerable skill to construct properly.",noun,krok-ahm-BOOSH (/ˌkrɒkɑmˈbuʃ/),"French, meaning ""crunch in the mouth,"" from ""croquer"" (to crunch) + ""en bouche"" (in mouth)","Think ""crock + em + bouche (mouth)"" - crunches in your mouth",None,French,The wedding _____ towered elegantly above the dessert table.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.5,3.5,1.5,2.5,,Claude,Claude,Claude,Claude
