word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
daubster,A poor or unskilled painter; someone who daubs paint clumsily rather than creating art.,The art critic dismissed him as a mere _____ rather than a true artist.,Three Bee,,,,,2.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 2.90),noun,DAWB-ster (emphasis on first syllable),"From ""daub"" (to smear paint) + ""-ster"" (agent suffix)",Claude,"Think ""daub-ster"" - someone who daubs paint messily","poor painter, amateur artist",English compound,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
daughter,A female offspring; a woman or girl in relation to her parents.,The proud father walked his _____ down the aisle.,One Bee,,,,,4.0,1.0,2.0,1.3,4-factor weighted model (overall_score: 2.21),noun,DAW-ter (emphasis on first syllable),"From Old English ""dohtor"", related to Germanic roots",Claude,"Think ""daw-ter"" - sounds like ""water"" but starts with ""d""",female child,"Old English, Germanic",Claude,Scripps National Spelling Bee,One Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
dauntlessly,In a fearless and determined manner; showing courage and persistence despite difficulties.,The explorer _____ continued through the dangerous terrain.,One Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),adverb,DAWNT-lis-lee (emphasis on first syllable),"From ""dauntless"" (fearless) + ""-ly"", where ""daunt"" comes from Old French",Claude,"Think ""daunt-less-ly"" - acting without being daunted","fearlessly, boldly",Old French,Claude,Scripps National Spelling Bee,One Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
davenport,A large sofa or couch; a type of writing desk with drawers and compartments.,The antique _____ was the centerpiece of the living room.,Three Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),noun,DAV-uhn-pawrt (emphasis on first syllable),"Named after Captain Davenport, who first commissioned this style of furniture",Claude,"Think ""Dave-n-port"" - Dave's furniture at the port","sofa, couch",English (proper name),Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
dawdle,To waste time; to move slowly and aimlessly; to delay unnecessarily.,Don't _____ on your way to school or you'll be late.,One Bee,,,,,2.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.40),verb,DAW-duhl (emphasis on first syllable),"Of uncertain origin, possibly related to ""daddle"" (to walk unsteadily)",Claude,"Think ""dawdle"" rhymes with ""waddle"" - moving slowly","delay, procrastinate",Unknown origin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
dazzle,To blind temporarily with bright light; to impress deeply; to amaze or astonish.,The diamond necklace would _____ everyone at the gala.,Three Bee,,,,,2.0,3.0,1.0,1.3,4-factor weighted model (overall_score: 1.86),"verb, noun",DAZ-uhl (emphasis on first syllable),"From Middle English ""dasen"" meaning ""to daze""",Claude,"Think ""daze-le"" - to put someone in a daze with brightness","amaze, blind",Middle English,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
deadpan,Having or showing no emotion; delivered in an expressionless manner.,The comedian delivered his jokes with perfect _____ timing.,Three Bee,,,,,1.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 2.35),"adjective, adverb, noun",DED-pan (emphasis on first syllable),"From ""dead"" + ""pan"" (face), meaning a face without expression",Claude,"Think ""dead-pan"" - a face as lifeless as a dead pan","expressionless, stoic",English compound,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
deal,To distribute; to trade or conduct business; an agreement or bargain; a large amount.,The business partners shook hands to seal the _____.,Three Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"verb, noun",DEEL (emphasis on first syllable),"From Old English ""dǣlan"" meaning ""to divide, share""",Claude,"Think ""deal"" - dividing up cards or making agreements","bargain, agreement",Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
dean,A senior official in a college or university; the head of a faculty or academic department.,The _____ of students addressed the graduation ceremony.,One Bee,,,,,1.0,2.0,1.0,2.6,4-factor weighted model (overall_score: 1.57),noun,DEEN (emphasis on first syllable),"From Old French ""deien"", from Latin ""decanus"" meaning ""chief of ten""",Claude,"Think ""dean"" rhymes with ""seen"" - the authority figure who is seen","academic head, administrator",Latin via Old French,Claude,Scripps National Spelling Bee,One Bee; Two Bee,2.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
dear,Much loved; precious; expensive; used as a term of endearment.,The grandmother held her _____ grandchild close.,Three Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"adjective, noun, interjection",DEER (emphasis on first syllable),"From Old English ""deore"" meaning ""precious, valuable""",Claude,"Think ""dear"" like a deer - precious and beloved","beloved, precious",Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
death,The permanent ending of all life functions; the state of being dead; the end of something.,The _____ of the old oak tree saddened the entire neighborhood.,Three Bee,,,,,2.0,1.0,2.0,1.3,4-factor weighted model (overall_score: 1.61),noun,DETH (emphasis on first syllable),"From Old English ""deað"", related to ""dead""",Claude,"Think ""death"" - the final breath","demise, end",Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
deathin,"[INCOMPLETE/CORRUPTED WORD] This appears to be an incomplete or corrupted word, possibly a data extraction error.",[ERROR - This incomplete word should not appear in spelling bee materials],Three Bee,,,,,2.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 2.65),error - incomplete word,[PRONUNCIATION ERROR - INCOMPLETE WORD],[ETYMOLOGY ERROR - INCOMPLETE WORD],Claude,This appears to be a data error - possibly incomplete extraction,ERROR - incomplete word,ERROR - incomplete word,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
debilitate,To make weak or feeble; to impair the strength or energy of someone or something.,The long illness would _____ his immune system.,One Bee,,,,,3.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.86),verb,dih-BIL-uh-tayt (emphasis on second syllable),"From Latin ""debilitatus"", past participle of ""debilitare"" meaning ""to weaken""",Claude,"Think ""de-bil-itate"" - to remove (de) ability (bil)","weaken, enfeeble",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
debit,An entry recording money owed or withdrawn from an account; to remove money from an account.,The bank will _____ your account for the monthly fee.,Two Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),"noun, verb",DEB-it (emphasis on first syllable),"From Latin ""debitum"" meaning ""debt, what is owed""",Claude,"Think ""debt-it"" - it creates debt when money is withdrawn","withdrawal, charge",Latin,Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
debita,"Latin plural of ""debitum"" meaning debts or things owed; used in legal or financial contexts.",The legal document listed all the _____ owed by the estate.,Three Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),noun (Latin plural),DEB-ih-tah (emphasis on first syllable),"From Latin ""debita"", plural of ""debitum"" meaning ""debt""",Claude,"Think ""debt-a"" - multiple debts in Latin",debts (English),Latin,Claude,Scripps National Spelling Bee,Three Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
debitum,Latin term meaning debt or obligation; what is owed; used in legal and financial terminology.,The contract specified the _____ to be paid within thirty days.,Three Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),noun (Latin),DEB-ih-tuhm (emphasis on first syllable),"From Latin ""debitum"", past participle of ""debere"" meaning ""to owe""",Claude,"Think ""debt-um"" - the Latin word for debt",debt (English),Latin,Claude,Scripps National Spelling Bee,Three Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
debris,Scattered fragments or remains; rubble from something destroyed; scattered waste material.,The tornado left _____ scattered across the entire neighborhood.,One Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),noun,duh-BREE (emphasis on second syllable),"From French ""débris"", from ""débriser"" meaning ""to break apart""",Claude,"Think ""de-bris"" - broken pieces (bris means to break)","rubble, wreckage",French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
debt,Money owed to another person or organization; an obligation or liability.,She worked hard to pay off her student loan _____.,Three Bee,,,,,1.0,1.0,1.0,2.6,4-factor weighted model (overall_score: 1.32),noun,"DET (emphasis on first syllable, silent ""b"")","From Old French ""dete"", from Latin ""debitum"" meaning ""thing owed""",Claude,"Remember the silent ""b"" - ""debt"" sounds like ""det""","obligation, liability",Latin via Old French,Claude,Scripps National Spelling Bee,Three Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
debunk,To expose the falseness or hollowness of something; to discredit or disprove.,The scientist worked to _____ the popular myth.,One Bee,,,,,2.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 2.65),verb,dih-BUHNGK (emphasis on second syllable),"From ""de-"" (reverse) + ""bunk"" (nonsense), coined in the 1920s",Claude,"Think ""de-bunk"" - to remove the bunk (nonsense)","disprove, discredit",Modern English compound,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2023, 2024, 2025)",2025-08-19
debutante,A young woman making her formal entrance into society; a young woman having her debut.,The _____ wore a beautiful white gown to the cotillion ball.,Three Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),noun,DEB-yoo-tahnt (emphasis on first syllable),"From French ""débutante"", feminine of ""débutant"" meaning ""beginner""",Claude,"Think ""debut-ante"" - a young woman (ante means woman) making her debut",deb,French,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
decade,A period of ten years; any group or series of ten.,The 1980s was a _____ known for distinctive music and fashion.,One Bee,,,,,3.0,3.0,2.0,2.6,4-factor weighted model (overall_score: 2.67),noun,DEK-ayd (emphasis on first syllable),"From Latin ""decas"", from Greek ""dekas"" meaning ""group of ten""",Claude,"Think ""deca-de"" - ""deca"" means ten",ten-year period,Greek via Latin,Claude,Scripps National Spelling Bee,One Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
decades,Plural of decade; multiple periods of ten years.,It took _____ for the forest to recover from the fire.,One Bee,,,,,3.0,3.0,2.0,2.6,4-factor weighted model (overall_score: 2.67),noun (plural),DEK-aydz (emphasis on first syllable),"Plural of ""decade"", from Greek ""dekas"" meaning ""group of ten""",Claude,"Think ""deca-des"" - multiple groups of ten years",ten-year periods,Greek via Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2022, 2023, 2024)",2025-08-19
decastich,A poem or stanza consisting of ten lines; a literary composition of ten verses.,The poet composed a beautiful _____ for the anniversary celebration.,One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,DEK-uh-stik (emphasis on first syllable),"From Greek ""deka"" (ten) + ""stichos"" (line, verse)",Claude,"Think ""deca-stich"" - ten (deca) lines (stich) of poetry",ten-line poem,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
deceitful,Dishonest and fraudulent; intended to deceive; characterized by deception.,The _____ salesman misled customers about the product's quality.,Three Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),adjective,dih-SEET-fuhl (emphasis on second syllable),"From ""deceit"" (from Latin ""deceptus"") + ""-ful"" (full of)",Claude,"Think ""deceit-ful"" - full of deceit","dishonest, fraudulent",Latin,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2023, 2024, 2025)",2025-08-19
deceitfulcinderella,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""deceitful"" (dishonest) + ""cinderella"" (fairy tale character).",[ERROR - This combined word should not appear in spelling bee materials],Two Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""deceitful"" and ""cinderella""",deceitful + cinderella (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
deceleron,An aircraft control surface that functions as both an aileron and a speed brake; used to reduce speed.,The pilot deployed the _____ to slow the aircraft for landing.,Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),noun,dee-SEL-uh-ron (emphasis on second syllable),"From ""decelerate"" + ""aileron"" (aircraft control surface)",Claude,"Think ""decel-eron"" - an aileron that decelerates the aircraft",speed brake,Modern English compound,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
december,The twelfth and final month of the year in the Gregorian calendar.,The family always gathered for the holidays in _____.,One Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),noun,dih-SEM-ber (emphasis on second syllable),"From Latin ""december"", from ""decem"" meaning ""ten"" (originally the 10th month)",Claude,"Think ""decem-ber"" - originally the tenth (decem) month",Dec.,Latin,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
decennial,Occurring every ten years; relating to a ten-year period; lasting for ten years.,The _____ census provides important demographic information.,One Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),"adjective, noun",dih-SEN-ee-uhl (emphasis on second syllable),"From Latin ""decennium"", from ""decem"" (ten) + ""annus"" (year)",Claude,"Think ""decem-nial"" - ten (decem) years (annual)","ten-year, decadal",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
deceptively,In a way that gives a false or misleading impression; contrary to appearance.,The task looked _____ simple but was actually quite complex.,Two Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),adverb,dih-SEP-tiv-lee (emphasis on second syllable),"From ""deceptive"" (from Latin ""deceptus"") + ""-ly""",Claude,"Think ""deception-ly"" - in a manner involving deception",misleadingly,Latin,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
dechlorinate,To remove chlorine from water or other substances; to eliminate chlorine compounds.,The water treatment plant will _____ the tap water before distribution.,One Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),verb,dee-KLAWR-uh-nayt (emphasis on second syllable),"From ""de-"" (remove) + ""chlorinate"" (add chlorine)",Claude,"Think ""de-chlorinate"" - to remove (de) chlorine",remove chlorine,Modern English compound,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022)",2025-08-19
decibels,Units of measurement for the intensity of sound; a logarithmic scale for sound levels.,The concert reached dangerous levels of over 120 _____.,Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),noun (plural),DES-uh-belz (emphasis on first syllable),"Named after Alexander Graham Bell + ""deci-"" (one-tenth)",Claude,"Think ""deci-bells"" - one-tenth of a bell unit of sound",dB,Named after Alexander Graham Bell,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
decide,To make a choice or reach a conclusion; to settle a question or dispute.,It's time to _____ which college to attend.,Two Bee,,,,,3.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.61),verb,dih-SAHYD (emphasis on second syllable),"From Latin ""decidere"", from ""de-"" (off) + ""caedere"" (to cut)",Claude,"Think ""de-cide"" - to cut (cide) away options","choose, determine",Latin,Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
decided,Having made a firm decision; clear and definite; determined.,She had a _____ advantage in the competition.,Three Bee,,,,,3.0,3.0,3.0,2.3,4-factor weighted model (overall_score: 2.86),"adjective, verb (past tense)",dih-SAHY-did (emphasis on second syllable),"Past tense of ""decide"", from Latin ""decidere""",Claude,"Think ""de-cided"" - already cut away the other options","determined, resolved",Latin,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
deciduous,Shedding leaves annually; falling off at maturity; temporary rather than permanent.,The _____ trees created a colorful carpet of fallen leaves.,One Bee,,,,,3.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.11),adjective,dih-SID-yoo-uhs (emphasis on second syllable),"From Latin ""deciduus"", from ""decidere"" meaning ""to fall off""",Claude,"Think ""de-cide-uous"" - trees that decide to drop their leaves",leaf-shedding,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
decimal,Relating to or based on the number ten; expressed in the scale of tens.,The _____ system uses ten as its base number.,Two Bee,,,,,4.0,3.0,3.0,2.3,4-factor weighted model (overall_score: 3.16),"adjective, noun",DES-uh-muhl (emphasis on first syllable),"From Latin ""decimalis"", from ""decimus"" meaning ""tenth""",Claude,"Think ""deci-mal"" - relating to tenths (deci)",base-ten,Latin,Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
decimation,The killing of a large proportion of a group; severe reduction in numbers; widespread destruction.,The disease caused the _____ of the bird population.,Three Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),noun,des-uh-MAY-shuhn (emphasis on third syllable),"From Latin ""decimatio"", originally meaning killing every tenth soldier",Claude,"Think ""decim-ation"" - originally killing every tenth (decim) person","destruction, slaughter",Latin,Claude,Scripps National Spelling Bee,Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
decision,A conclusion or resolution reached after consideration; the action of deciding.,The committee reached a unanimous _____ on the proposal.,One Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),noun,dih-SIZH-uhn (emphasis on second syllable),"From Latin ""decisio"", from ""decidere"" meaning ""to decide""",Claude,"Think ""de-cision"" - the result of cutting (cision) away options","choice, determination",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2025)",2025-08-19
decisions,Plural of decision; multiple conclusions or choices made after consideration.,The manager had to make several important _____ today.,Three Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),noun (plural),dih-SIZH-uhnz (emphasis on second syllable),"Plural of ""decision"", from Latin ""decisio""",Claude,"Think ""de-cisions"" - multiple choices that cut away options","choices, determinations",Latin,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
declamatory,Characterized by rhetorical speech; having the style of formal public speaking; pompous in expression.,The politician's _____ speech stirred the crowd's emotions.,One Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),adjective,dih-KLAM-uh-tawr-ee (emphasis on second syllable),"From Latin ""declamatorius"", from ""declamare"" meaning ""to speak rhetorically""",Claude,"Think ""de-claim-atory"" - claiming something in a dramatic way","rhetorical, oratorical",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
declaration,A formal or explicit statement; an announcement or proclamation; a document stating facts.,The _____ of Independence was signed in 1776.,Two Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),noun,dek-luh-RAY-shuhn (emphasis on third syllable),"From Latin ""declaratio"", from ""declarare"" meaning ""to make clear""",Claude,"Think ""de-clare-ation"" - the act of making something clear","statement, proclamation",Latin,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
