word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transcription_score,frequency_score,morphological_score,etymology_score,final_difficulty,definition_source,pronunciation_source,etymology_source,example_sentence_source,memory_tip_source,audio_file,difficulty_level,difficulty_source,years,source_files,source_difficulties,scripps_difficulty
goosander,"Goosander is a large duck species, also known as the common merganser in North America, characterized by its fish-eating habits and distinctive saw-toothed bill designed for catching slippery prey. These waterbirds have streamlined bodies, webbed feet, and are excellent divers and swimmers. Male goosanders display striking plumage with dark green heads, white bodies, and black markings during breeding season, while females have reddish-brown crested heads and gray bodies. They inhabit freshwater lakes, rivers, and coastal waters across northern regions of Europe, Asia, and North America, where they hunt fish underwater using their specialized serrated bills.",noun,GOO-san-der,"From Middle English, possibly from ""goose"" + ""gander,"" referring to its large size among waterfowl.",Middle English,The wildlife photographer waited patiently by the lake until a male _______ emerged from the water with a fish in its distinctive saw-toothed bill.,"Remember ""GOOSANDER"" - GOOSe + gANDER, think of a large duck that's like a cross between a goose and male duck.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gorgon,"Gorgon refers to one of three monstrous sisters from Greek mythology - Medusa, Stheno, and Euryale - who had snakes for hair and whose gaze could turn people to stone. Medusa was the most famous and the only mortal among them, eventually killed by the hero Perseus. In broader usage, gorgon can describe any terrifying or repulsive woman, though this use is considered offensive. The term has also been adopted in biology to name certain corals and other organisms. In art and literature, gorgons represent the power of the feminine divine in its most fearsome aspect and serve as symbols of protection against evil.",noun,GOR-gon,"From Greek ""gorgos"" meaning ""fierce, terrible, grim.""",Ancient Greek,"The ancient temple was decorated with carvings of a _______ head, believed to protect the sacred space from evil spirits.","Remember ""GORGON"" - think GORgeous but Gone wrong, turned into a monster with snakes for hair who turns people to stone.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gorilla,"Gorilla is the largest living primate, native to the forests of central and eastern Africa. These powerful, intelligent apes are primarily terrestrial and herbivorous, living in social groups led by a dominant silverback male. Gorillas are characterized by their massive size, with males weighing up to 400 pounds, their distinctive sagittal crest (bony ridge on top of the skull), and their gentle nature despite their imposing appearance. They are critically important for forest ecosystems as seed dispersers and are unfortunately endangered due to habitat loss, poaching, and disease. Gorillas demonstrate complex social behaviors, use tools, and have been observed showing empathy and grief.",noun,guh-RIL-uh,"From Greek ""gorillai,"" used by Hanno the Navigator around 500 BCE to describe a tribe of hairy people, later applied to the ape.",Ancient Greek,The massive silverback _______ beat his chest and stood protectively in front of his family group as the researchers observed from a distance.,"Remember ""GORILLA"" - GORgeous but RILLa (really) big and strong, the largest primate in the world.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gorp,"Gorp is trail mix, a combination of nuts, dried fruits, and often chocolate or other energy-rich foods carried by hikers, campers, and outdoor enthusiasts for quick energy and nutrition. The acronym traditionally stands for ""Good Old Raisins and Peanuts,"" though modern versions include various ingredients like almonds, cashews, dried cranberries, M&Ms, or granola pieces. Gorp provides a portable, non-perishable source of protein, healthy fats, and carbohydrates ideal for sustained energy during physical activities. The mixture offers a balance of quick-release sugars from dried fruit and longer-lasting energy from nuts and seeds.",noun,GORP,"Acronym for ""Good Old Raisins and Peanuts,"" popularized by outdoor enthusiasts in the mid-20th century.",Modern American English (acronym),"Before starting the long hike, I packed plenty of _______ in my backpack to keep my energy levels up throughout the day.","Remember ""GORP"" - Good Old Raisins and Peanuts, the perfect snack to GO uP mountains and trails.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gosling,"Gosling is a young goose, typically under one year of age. These juvenile waterfowl are characterized by their fluffy down feathers, smaller size compared to adult geese, and their tendency to follow their parents closely in a behavior called imprinting. Goslings are born with their eyes open and are able to walk, swim, and feed themselves shortly after hatching, though they remain under parental protection for several months. They develop their adult plumage gradually and learn important survival skills like migration patterns and foraging techniques from their parents and flock members.",noun,GOZ-ling,"From Middle English ""gosling,"" from ""goose"" + the diminutive suffix ""-ling"" meaning ""small"" or ""young.""",Middle English,The proud mother goose led her six fluffy _______ across the pond to the safety of the reeds on the far shore.,"Remember ""GOSLING"" - GOose + ling (little), like duckLING, it's a little goose that follows its parents around.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gossamer,"Gossamer refers to extremely fine, delicate material resembling spider's silk, often seen as filmy cobwebs floating in the air or covering grass on dewy mornings. By extension, it describes anything that is sheer, light, and delicate, such as fabric, film, or even abstract concepts like gossamer dreams or gossamer threads of memory. The word evokes images of ethereal, almost transparent quality that seems to barely exist in the physical world. In literature, gossamer often symbolizes fragility, beauty, and the ephemeral nature of certain experiences or emotions.","noun, adjective",GOS-uh-mer,"From Middle English ""gossomer,"" possibly from ""goose"" + ""summer,"" referring to the time when geese were eaten and spider webs were most visible.",Middle English,"The morning dew revealed hundreds of _______ spider webs stretched between the garden plants, glistening like tiny jewels.","Remember ""GOSSAMER"" - GOSSy (like gossipy, light talk) + sumMER (when you see fine spider webs in dewy mornings).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gossip,"Gossip refers to casual conversation or reports about other people's private affairs, often involving unverified information, rumors, or speculation about personal matters. While gossip can serve social functions like bonding within groups and sharing important information, it can also be harmful when it spreads false information or invades privacy. As a verb, to gossip means to engage in such conversation. Historically, the term has gender associations, as gossip was often associated with women's social networks, though people of all genders engage in gossip. The practice exists in virtually all human cultures and can range from harmless social chatter to malicious rumor-spreading.","noun, verb",GOS-ip,"From Old English ""godsibb"" meaning ""godparent,"" which evolved to mean ""close friend"" and then ""person who spreads news.""",Old English,"The office _______ spread quickly through the break room, though no one was sure how much of it was actually true.","Remember ""GOSSIP"" - GOSSy talking about SIP (small bits) of information about other people's private lives.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gotcha,"Gotcha is an informal exclamation meaning ""I got you"" or ""I caught you,"" used when someone has been tricked, caught in a mistake, or surprised. It can express triumph when solving a problem, catching someone in an error, or successfully playing a prank. The term is also used to acknowledge understanding (""I get it"") or to confirm receipt of information. In journalism and politics, a ""gotcha"" question is designed to catch someone off-guard or force them into an embarrassing admission. The word represents the satisfaction of achieving a small victory or moment of cleverness.","interjection, noun",GOT-chuh,"Informal contraction of ""got you,"" popularized in American English in the mid-20th century.",Modern American English,"""______!"" shouted my sister when she caught me trying to sneak cookies from the jar before dinner.","Remember ""GOTCHA"" - GOT you, CHAught you! The sound you make when you catch someone doing something sneaky.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gothamite,"Gothamite refers to a resident or native of New York City, derived from ""Gotham,"" a nickname for the city that dates back to the early 19th century. The term was popularized by writer Washington Irving, who used ""Gotham"" to refer to New York City in reference to the English village of Gotham, known for its allegedly foolish inhabitants. In modern usage, Gothamite can also refer to fictional residents of Gotham City, the fictional setting of Batman comics and movies. The term carries connotations of urban sophistication, street smarts, and the unique culture and attitude associated with New York City life.",noun,GOH-thuh-myt,"From ""Gotham"" (nickname for New York City, used by Washington Irving) + ""-ite"" suffix denoting inhabitant.",American English,"As a lifelong _______, she could navigate the subway system with her eyes closed and knew all the best late-night food spots.","Remember ""GOTHAMITE"" - GOTHAm + ite (inhabitant), someone from Gotham City (New York), like Batman's city residents.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gothic,"Gothic originally referred to the architectural style that emerged in medieval Europe, characterized by pointed arches, ribbed vaults, and flying buttresses, as seen in great cathedrals. The term has expanded to describe a broader aesthetic emphasizing darkness, mystery, and the macabre. Gothic literature features elements like haunted castles, supernatural events, and psychological horror. Gothic can also describe the Germanic tribes called Goths, their language, or their culture. In modern usage, gothic describes fashion, music, and subculture that embraces dark, romantic, and sometimes morbid themes, often featuring black clothing, dramatic makeup, and medieval-inspired aesthetics.","adjective, noun",GOTH-ik,"From Latin ""Gothicus,"" relating to the Goths, a Germanic tribe; later applied to medieval architecture.","Latin, Germanic",The cathedral's _______ architecture featured soaring pointed arches and intricate stone carvings that seemed to reach toward heaven.,"Remember ""GOTHIC"" - GOTHs were Germanic tribes, and Gothic style is dark, GOTHy architecture and culture.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gouda,"Gouda is a Dutch cheese named after the city of Gouda in the Netherlands, known for its sweet, nutty flavor that develops complexity with age. Young Gouda is mild and creamy with a smooth, pale yellow interior, while aged Gouda becomes harder, more crumbly, and develops caramel-like flavors with crystalline protein deposits. The cheese is made from cow's milk and traditionally has a wax coating for protection during aging. Gouda is one of the most popular cheeses worldwide and comes in various ages, from young (4 weeks) to very old (over 2 years), with each stage offering distinct taste and texture characteristics.",noun,KHOW-duh (Dutch) or GOO-duh (English),"Named after Gouda, a city in the Netherlands where the cheese was traditionally traded.",Dutch,The cheese board featured a selection of _______ ranging from young and creamy to aged and crystalline with complex caramel notes.,"Remember ""GOUDA"" - GOoD chAeese from Holland, it GOUges into your memory with its delicious nutty flavor.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gouge,"Gouge has several meanings: as a verb, it means to scoop or dig out material, often creating a hole or groove, or to overcharge someone excessively. As a noun, it refers to a chisel with a curved blade used for cutting grooves or holes in wood, or the groove or hole itself. In colloquial usage, to gouge someone means to charge an unfairly high price, especially taking advantage of circumstances. The word can also describe any action that creates a deep cut, scratch, or indentation in a surface through force or pressure.","verb, noun",GOWJ,"From Old French ""gouge,"" possibly from Late Latin ""gubia,"" referring to a type of chisel.","Old French, Latin",The woodcarver used a sharp _______ to create decorative grooves in the oak panel for the cabinet door.,"Remember ""GOUGE"" - GOUGe sounds like ""gauge"" - both involve making measurements or marks, gouging cuts grooves in wood.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gourd,"Gourd refers to the hard-shelled fruit of various climbing or trailing plants in the cucumber family, often used for containers, utensils, or decorative purposes after drying. These fruits come in many shapes and sizes, from bottle-shaped forms to round or elongated varieties. When fresh, some gourds are edible, but many are grown specifically for their usefulness after the flesh dries and the shell hardens. Historically, gourds have been used worldwide for water containers, musical instruments, bowls, and storage vessels. Common types include bottle gourds, dipper gourds, and ornamental gourds used for autumn decorations.",noun,GOORD,"From Middle English, from Old French ""gourde,"" from Latin ""cucurbita.""","Latin, Old French",The farmer harvested the dried _______ and carefully cleaned out the interior to make water containers for the upcoming camping season.,"Remember ""GOURD"" - GOURmet Dried fruit that becomes a hard container, like a natural GORDon (container) for liquids.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grab,"Grab means to take hold of something quickly, suddenly, or roughly with the hands. It implies swift, often impulsive action to seize or capture something, whether physical objects, opportunities, or abstract concepts like attention. Grab can suggest urgency, eagerness, or lack of ceremony in the taking action. The word can be used literally for physical grasping or figuratively for seizing chances, understanding concepts quickly, or attracting interest. As a noun, grab refers to the act of grasping or an attempt to seize something, often used in phrases like ""up for grabs"" meaning available to anyone.","verb, noun",GRAB,"From Middle Dutch ""grabben"" or Middle Low German ""grabben,"" meaning ""to grab, seize.""","Middle Dutch, Germanic",She had to _______ her hat before the strong wind could blow it away into the busy street.,"Remember ""GRAB"" - GRAsping something Briskly, like a crab GRABs with its claws quickly and tightly.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grace,"Grace encompasses multiple related meanings: elegant movement or bearing, divine blessing or favor, a period of delay or clemency, and unmerited kindness or goodwill. In religious contexts, grace refers to God's love and mercy freely given to humanity. In social contexts, grace describes refined, effortless elegance in manner or movement. Grace can also mean a brief prayer of thanks before meals, or the quality of being gracious and forgiving in difficult situations. The concept implies beauty, dignity, and moral virtue, whether referring to physical movement, spiritual blessing, or character traits.","noun, verb",GRAYS,"From Old French ""grace,"" from Latin ""gratia"" meaning ""favor, charm, thanks.""","Latin, Old French",The ballerina moved across the stage with such _______ that she seemed to float rather than dance.,"Remember ""GRACE"" - GReat ACE, like having great skill and elegance, or receiving God's blessing like getting an ace in cards.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
graduate,"Graduate refers to a person who has successfully completed a course of study at a school, college, or university and received a diploma or degree. As a verb, to graduate means to complete educational requirements and receive a degree or diploma, or to progress systematically through stages or levels. The term can also describe moving from one level or stage to another more generally, such as graduating from basic to advanced skills. In measuring instruments, graduate means to mark with degrees or other divisions to enable measurement. The word implies achievement, completion, and advancement to a higher level.","noun, verb, adjective","GRAD-yoo-it (noun), GRAD-yoo-ayt (verb)","From Medieval Latin ""graduatus,"" from ""gradus"" meaning ""step, degree.""",Latin,"After four years of hard work, she was proud to _______ with honors and begin her career in engineering.","Remember ""GRADUATE"" - you take GRADual steps to graDUATE, moving step by step through school to earn your degree.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
graham,"Graham refers to whole wheat flour or products made from it, named after Sylvester Graham, a 19th-century American dietary reformer who advocated for whole grain consumption. Graham flour is coarsely ground whole wheat that retains all parts of the wheat kernel, including the bran and germ, making it more nutritious than refined white flour. The term is most commonly associated with graham crackers, a sweet biscuit made from graham flour that was originally promoted as a health food. Graham's dietary philosophy emphasized simple, natural foods and influenced the development of health food movements in America.","adjective, noun",GRAM (or GRAY-um),"Named after Sylvester Graham (1794-1851), American dietary reformer who promoted whole grain consumption.",American English (named after person),"The recipe called for _______ flour to make wholesome, nutritious bread with a hearty, slightly coarse texture.","Remember ""GRAHAM"" - think GRAin HAM-burger, made with whole grain flour, or GRAHam crackers for s'mores.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grammarian,"Grammarian is a person who studies, teaches, or is expert in grammar - the system of rules governing language structure, including syntax, morphology, and phonology. Grammarians analyze how languages work, document grammatical rules, and often prescribe correct usage. They may work as linguists, teachers, editors, or language consultants, helping others understand and apply the principles that govern how words combine to form meaningful sentences. Historical grammarians have contributed to our understanding of language evolution and standardization, while modern grammarians continue to study both traditional rules and evolving language patterns in contemporary usage.",noun,gruh-MARE-ee-uhn,"From ""grammar"" (from Greek ""grammatike"" meaning ""art of letters"") + ""-ian"" suffix denoting a person associated with.","Greek, Latin",The experienced _______ spent hours analyzing the sentence structure and explaining why the passive voice was appropriate in that context.,"Remember ""GRAMMARIAN"" - GRAMMAR + IAN (like librarian), a person who is an expert in GRAMMatical rules and language.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grand,"Grand means large and impressive in scale, extent, or intensity, often suggesting magnificence, dignity, or ambition. It describes something that inspires awe through its size, beauty, or importance, such as grand architecture, grand gestures, or grand plans. Grand can also mean most important or principal, as in ""grand prize"" or ""grand finale."" In informal usage, grand can mean excellent or wonderful. The word often carries connotations of formality, ceremony, and high status, whether describing physical spaces, events, or abstract concepts like grand ideas or grand traditions.","adjective, noun",GRAND,"From Old French ""grand,"" from Latin ""grandis"" meaning ""big, great, full-grown.""","Latin, Old French","The orchestra performed in the _______ hall, where the soaring ceiling and ornate decorations matched the magnificence of the music.","Remember ""GRAND"" - think GRANDparents who are great and important, or a GRAND piano that's large and impressive.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grande,"Grande is Spanish, Italian, and Portuguese for ""large"" or ""great,"" commonly encountered in English in various borrowed phrases and contexts. In coffee shop terminology, ""grande"" typically refers to a medium-large size drink. The word appears in many place names, titles, and expressions that have entered English usage, such as ""Rio Grande"" (great river) or in describing something as having grandeur or importance in Romance language contexts. The pronunciation and usage may vary depending on whether it's being used in its original language context or as an adopted English term.",adjective (Spanish/Italian/Portuguese),GRAHN-day (Spanish/Italian) or GRAN-deh,"From Spanish/Italian/Portuguese ""grande,"" from Latin ""grandis"" meaning ""big, great.""","Spanish, Italian, Portuguese, Latin","She ordered a _______ latte at the coffee shop, needing the extra caffeine to get through her busy afternoon.","Remember ""GRANDE"" - GRAN + DE (of), meaning great or large in Spanish, like at coffee shops where grande is bigger than small.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grandeur,"Grandeur refers to impressive magnificence, especially in appearance, style, or manner that inspires admiration or awe. It describes the quality of being grand, splendid, or imposing, whether in physical structures like palaces and cathedrals, natural phenomena like mountain ranges and canyons, or abstract concepts like the grandeur of classical music or literature. Grandeur suggests not just size but also dignity, nobility, and sublime beauty that elevates the human spirit. The word often implies a combination of scale, beauty, and significance that creates a sense of majesty or reverence.",noun,GRAN-jer or gran-DYOOR,"From French ""grandeur,"" from ""grand"" meaning ""great,"" from Latin ""grandis.""","French, Latin","Standing at the rim of the Grand Canyon, visitors are struck by the sheer _______ of the natural landscape stretching endlessly before them.","Remember ""GRANDEUR"" - GRAND + eur (like in ""entrepreneur""), the quality of being GRAND and impressive in scale.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grandeurgraphologist,"This appears to be a combined word error where ""grandeur"" (magnificence, splendor) has been incorrectly merged with ""graphologist"" (one who analyzes handwriting). A graphologist is a person who practices graphology, the study of handwriting to analyze personality characteristics, emotional states, or other personal traits. This combination likely resulted from a PDF parsing error where two separate words were inadvertently joined together. The correct terms would be ""grandeur"" referring to impressive magnificence, and ""graphologist"" referring to someone who analyzes handwriting patterns for personality insights.",combined word error,GRAN-jer-graf-OL-uh-jist,"Error: ""grandeur"" (French, from Latin ""grandis"") + ""graphologist"" (Greek ""graphos"" writing + ""logos"" study)",Combined word error,"This appears to be a PDF parsing error combining ""grandeur"" and ""graphologist"" - the _______ should be treated as two separate words.","Remember ""GRANDEURGRAPHOLOGIST"" - this is a combined word error, separate into GRANDEUR (magnificence) + GRAPHOLOGIST (handwriting analyst).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grandeurottoman,"This appears to be a combined word error where ""grandeur"" (magnificence, splendor) has been incorrectly merged with ""ottoman"" (a low upholstered seat or the historical Ottoman Empire). An ottoman can refer to a piece of furniture used as a footstool or extra seating, typically upholstered and sometimes used for storage. It can also refer to the historical Ottoman Empire or anything related to it. This combination likely resulted from a PDF parsing error where two separate words were inadvertently joined together. The correct terms would be ""grandeur"" referring to impressive magnificence, and ""ottoman"" referring to either the furniture piece or historical empire.",combined word error,GRAN-jer-OT-uh-muhn,"Error: ""grandeur"" (French, from Latin ""grandis"") + ""ottoman"" (from Ottoman Empire, Turkish)",Combined word error,"This appears to be a PDF parsing error combining ""grandeur"" and ""ottoman"" - the _______ should be treated as two separate words.","Remember ""GRANDEUROTTOMAN"" - this is a combined word error, separate into GRANDEUR (magnificence) + OTTOMAN (footstool or empire).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grandi,"Grandi is an Italian word meaning ""great"" or ""large"" (plural form), or it could be part of Italian surnames or place names. In English contexts, it might appear in borrowed phrases from Italian, in names, or in specialized terminology. As a standalone word in English dictionaries, it's less common unless referring to specific Italian cultural, historical, or linguistic contexts. The word might also appear as part of compound terms or in academic discussions about Italian language or culture. Its usage in English would typically require understanding of its Italian origins and context.","adjective (Italian), proper noun",GRAHN-dee,"From Italian ""grandi,"" plural of ""grande,"" from Latin ""grandis"" meaning ""big, great.""","Italian, Latin","The art historian discussed the _______ palazzi of Venice, referring to the great palaces that line the Grand Canal.","Remember ""GRANDI"" - GRANDly in Italian, meaning great or large things (plural), like saying ""the GRAND ones.""",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
