word,definition,pronunciation,pronunciation_audio_url,example_sentence,etymology,etymology_source,memory_tip,fun_fact,difficulty_level,source_difficulty,source,source_url
chalcolithic,"Relating to a prehistoric period when both stone and copper tools were used, also called the Copper Age.",/ˌkælkoʊˈlɪθɪk/,,The _____ period marked humanity's transition from the Stone Age to the Bronze Age.,From Greek khalkos 'copper' + lithos 'stone' + -ic,Claude,Remember CHALCOLITHIC: Copper Hardware And Lithic Combined Old Learning In Technology Historical Innovation Culture - copper-stone age.,The Chalcolithic period began around 4500 BCE in some regions and represents humanity's first use of metal tools.,Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chalet,"A wooden house with overhanging eaves, typically found in mountainous regions, especially the Alps.",/ʃæˈleɪ/,,The cozy mountain _____ offered stunning views of the snow-covered peaks.,"From French chalet, from Swiss French chalets 'herdsman's hut'",Claude,Remember CHALET: Charming House And Lodge Excellent Together - Alpine mountain house.,"Traditional chalets were designed with wide, overhanging roofs to shed heavy snow loads common in Alpine regions.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chalice,"A ceremonial cup or goblet, especially one used in religious rituals for wine or communion.",/ˈtʃælɪs/,,The ornate golden _____ was passed among the congregants during the communion service.,"From Old French chalice, from Latin calix 'cup'",Claude,Remember CHALICE: Ceremonial Holy And Liturgical Important Cup Elegant - religious goblet.,"The Holy Grail, sought by medieval knights, was said to be the chalice used at the Last Supper.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chalk,A soft white limestone used for writing on blackboards; a powdery substance used for marking.,/tʃɔk/,,The teacher used white _____ to write the equations on the blackboard.,"From Old English cealc, from Latin calx 'limestone'",Claude,Remember CHALK: Classroom Hardware And Learning Kit - white writing material.,The White Cliffs of Dover are made of chalk formed from ancient marine organisms over millions of years.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
challenge,A demanding task or situation that tests someone's abilities; to question or dispute something.,/ˈtʃælɪndʒ/,,The mountain climb presented a significant _____ that required careful preparation and skill.,"From Old French chalenge, from Latin calumnia 'false accusation'",Claude,Remember CHALLENGE: Confronting Hard And Lengthy Learning Events Needing Great Effort - demanding task.,The word originally meant 'false accusation' but evolved to mean 'summons to a contest' and then 'difficult task.',Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chamberlain,A senior official in charge of managing a royal or noble household; a treasurer or steward.,/ˈtʃeɪmbərlɪn/,,The _____ oversaw all aspects of the castle's daily operations and royal ceremonies.,"From Old French chamberlenc, from chamber + -lain (Germanic origin)",Claude,Remember CHAMBERLAIN: Chamber Attendant Managing Household Estate Requirements Leading And In Nobility - royal household manager.,"Neville Chamberlain, the British Prime Minister known for appeasement before WWII, came from a family of political chamberlains.",Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
chambray,"A lightweight fabric with colored warp threads and white filling threads, creating a mottled appearance.",/ˈʃæmbreɪ/,,Her blue _____ shirt had a subtle texture that looked sophisticated yet casual.,"From Cambrai, a city in France where the fabric was originally made",Claude,Remember CHAMBRAY: Colored Haberdashery And Material Bringing Rich Authentic Yarn - textured cotton fabric.,"Chambray is often confused with denim, but chambray uses different colored threads while denim uses the same color throughout.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
champignon,"A small edible mushroom, especially the common button mushroom used in cooking.",/ˌʃæmpɪˈnjɑn/,,The chef sautéed fresh _____ mushrooms with garlic and herbs for the pasta dish.,"From French champignon, from Late Latin campio 'mushroom'",Claude,Remember CHAMPIGNON: Culinary Harvested And Marvelous Prepared In Gourmet Nutrition Offering Nourishment - edible mushroom.,Champignon mushrooms are one of the most cultivated mushrooms worldwide and can be grown year-round indoors.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
championship,A competition to determine the best in a particular sport or activity; the position of being a champion.,/ˈtʃæmpiənˌʃɪp/,,The team trained for months to prepare for the national _____.,From champion + -ship,Claude,Remember CHAMPIONSHIP: Competitive Heroes And Masters Prove Individual Outstanding Notable Skills Having Incredible Performance - top competition.,The first modern championship format was developed for chess in the 19th century and became the model for many sports.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
champs,Short for champions; winners of a competition or contest; also means 'to bite or chew noisily.',/tʃæmps/,,The defending _____ returned to compete for another title in the annual tournament.,From champion (shortened) or from champ 'to bite',Claude,Remember CHAMPS: Champions Holding And Maintaining Premier Status - winners or chewing action.,The phrase 'champing at the bit' comes from horses chewing on their bits when eager to move forward.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chancellor,A senior government official; the head of a university; a high-ranking judicial officer.,/ˈtʃænsələr/,,The university _____ addressed the graduating class during the commencement ceremony.,"From Old French chancelier, from Late Latin cancellarius 'doorkeeper'",Claude,Remember CHANCELLOR: Chief Administrator Notably Controlling Educational Leadership Or Responsibility - high government or university official.,"The German Chancellor is the head of government, while the British Chancellor of the Exchequer manages the nation's finances.",Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chances,Plural of chance; opportunities or possibilities; the likelihood of something happening.,/ˈtʃænsɪz/,,There are good _____ that the weather will improve by tomorrow afternoon.,"From chance + -s, from Old French cheance 'falling out'",Claude,Remember CHANCES: Circumstances Having And Naturally Creating Expected Situations - opportunities or probabilities.,"The phrase 'taking chances' originally referred to gambling, where outcomes depend on random events.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
chandleries,Shops that sell equipment and supplies for ships; businesses dealing in candles and related goods.,/ˈtʃændləriz/,,"The harbor was lined with _____ selling rope, anchors, and other maritime supplies.","From chandler + -ies, from Old French chandelier 'candle maker'",Claude,Remember CHANDLERIES: Candle Hardware And Nautical Dealers Likely Equipment Retailers In Emergent Supplies - maritime supply shops.,Traditional chandleries evolved from candle-making shops to become essential suppliers for sailing ships and boats.,Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
change,To make or become different; to replace something with something else; coins of small denomination.,/tʃeɪndʒ/,,The company decided to _____ its marketing strategy to reach younger customers.,"From Old French changier, from Latin cambiare 'to exchange'",Claude,Remember CHANGE: Converting Habits And New Growth Eventually - to alter or modify.,The phrase 'change of heart' dates back to biblical times and originally meant a spiritual transformation.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
changes,Third person singular of change; modifications or alterations; different forms or versions.,/ˈtʃeɪndʒɪz/,,The new software _____ improved the system's efficiency and user experience.,From change + -s,Claude,Remember CHANGES: Converting Habits And New Growth Eventually Systematically - modifications or alterations.,David Bowie's song 'Changes' became an anthem for embracing personal transformation and growth.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
changing,Present participle of change; in the process of becoming different; modifying or altering.,/ˈtʃeɪndʒɪŋ/,,The _____ seasons brought new colors to the landscape every few months.,From change + -ing,Claude,Remember CHANGING: Converting Habits And New Growth In Natural Gradations - in process of becoming different.,"Climate change refers to long-term shifts in global weather patterns, primarily caused by human activities.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
channel,A waterway connecting two larger bodies of water; a television or radio frequency; a means of communication.,/ˈtʃænəl/,,The narrow _____ between the islands required careful navigation due to strong currents.,"From Old French chanel, from Latin canalis 'pipe, groove'",Claude,Remember CHANNEL: Connecting Harbors And Natural Networks Establishing Links - waterway or communication path.,The English Channel is only 21 miles wide at its narrowest point between England and France.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chanoyu,The Japanese tea ceremony; a traditional ritual of preparing and serving tea with emphasis on aesthetics and mindfulness.,/ˈtʃɑnoʊju/,,The master taught the subtle movements and philosophy behind the art of _____.,"From Japanese chanoyu, from cha 'tea' + no 'of' + yu 'hot water'",Claude,Remember CHANOYU: Ceremonial Harmony And Natural Oriental Yielding Understanding - Japanese tea ceremony.,"Chanoyu emphasizes four principles: harmony, respect, purity, and tranquility, reflecting Zen Buddhist philosophy.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chanteuse,"A female singer, especially one who performs in nightclubs or cabarets with a sophisticated style.",/ʃænˈtuz/,,The elegant _____ captivated the audience with her sultry voice and graceful stage presence.,"From French chanteuse, feminine of chanteur 'singer'",Claude,Remember CHANTEUSE: Captivating Harmonious And Notable Talented Entertaining Unique Singer Elegant - female nightclub singer.,Famous chanteuses like Édith Piaf and Billie Holiday helped define the sophisticated cabaret singing style.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chantilly,"A type of delicate lace; whipped cream sweetened and flavored, often used in desserts.",/ʃænˈtɪli/,,The wedding dress featured intricate _____ lace that had been handmade by French artisans.,"Named after Chantilly, France, where the lace was originally made",Claude,Remember CHANTILLY: Charming Harmonious And Notable Textiles In Lovely Lacy Yearning - delicate French lace.,Chantilly lace reached its peak popularity in the 18th and 19th centuries and was favored by European royalty.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chaotic,In a state of complete confusion or disorder; unpredictable and uncontrolled.,/keɪˈɑtɪk/,,The _____ traffic during rush hour made it nearly impossible to arrive on time.,"From Greek khaotikos, from khaos 'void, chasm'",Claude,Remember CHAOTIC: Completely Hectic And Obviously Totally Irregular Confusion - completely disordered.,Chaos theory studies how small changes in initial conditions can lead to dramatically different outcomes in complex systems.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chaperonage,"The act or practice of chaperoning; supervision of young people by an older, responsible person.",/ˈʃæpəroʊnɪdʒ/,,The school dance required proper _____ to ensure appropriate behavior among students.,"From chaperone + -age, from French chaperon 'hood'",Claude,Remember CHAPERONAGE: Careful Handling And Protection Ensuring Respectful Oversight Nurturing And Guiding Everyone - supervision of young people.,"The term originally referred to a hood worn by women, then to an older woman who accompanied younger ones for protection.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chaplain,"A clergyman attached to a chapel, military unit, institution, or private household for religious services.",/ˈtʃæplɪn/,,The military _____ provided spiritual comfort and guidance to soldiers during deployment.,"From Old French chapelain, from Medieval Latin cappellanus",Claude,Remember CHAPLAIN: Clerical Helper And Pastor Leading And Inspiring Naturally - institutional clergyman.,Military chaplains are non-combatants protected under the Geneva Conventions and serve soldiers of all faiths.,Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
characteristic,"A distinguishing feature or quality; typical of a particular person, place, or thing.",/ˌkærɪktəˈrɪstɪk/,,Her optimistic outlook was a defining _____ that everyone admired.,"From Greek kharaktēristikos, from kharaktēr 'character'",Claude,Remember CHARACTERISTIC: Common Habits And Recognizable Attributes Created Through Everyone's Routine Interactions Shaping Their Individual Character - distinguishing feature.,"In mathematics, characteristic functions help define probability distributions and are fundamental to statistical analysis.",Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
characterized,Past tense of characterize; described the distinctive features of; marked by particular qualities.,/ˈkærɪktəˌraɪzd/,,The period was _____ by rapid technological advancement and social change.,"From characterize + -d, from Greek kharaktēr",Claude,Remember CHARACTERIZED: Common Habits And Recognizable Attributes Created Through Everyone's Routine Interactions Systematically Establishing Distinguishing features - described distinctive features.,"Historical periods are often characterized by their dominant technologies, like the Stone Age, Bronze Age, and Information Age.",Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
charade,A word-guessing game using gestures; an absurd pretense intended to hide the truth.,/ʃəˈreɪd/,,The elaborate apology was just a _____ to avoid taking real responsibility.,"From French charade, from Provençal charrado 'chat, chatter'",Claude,Remember CHARADE: Concealing Habits And Reality And Deceptive Entertainment - guessing game or pretense.,The party game charades became popular in 18th-century France and spread throughout Europe as salon entertainment.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
charcuterie,The art of preparing and preserving meat products; a shop selling such products; an assortment of cured meats.,/ʃɑrˈkutəri/,,"The _____ board featured an elegant selection of cured meats, cheeses, and artisanal crackers.","From French charcuterie, from chair 'flesh' + cuit 'cooked'",Claude,Remember CHARCUTERIE: Carefully Handled And Refined Cuisine Using Traditional European Restaurant Including Excellence - cured meat preparation.,Traditional charcuterie techniques were developed before refrigeration as ways to preserve meat for long periods.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
charge,To rush forward in attack; to demand payment; to fill with electrical energy; an accusation or responsibility.,/tʃɑrdʒ/,,The cavalry prepared to _____ across the battlefield at dawn.,"From Old French chargier, from Late Latin carricare 'to load'",Claude,Remember CHARGE: Cavalry Horses And Riders Galloping Everywhere - to rush forward or load with energy.,The famous Charge of the Light Brigade during the Crimean War became a symbol of courage in the face of overwhelming odds.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
charioteer,"A person who drives a chariot, especially in ancient warfare or racing competitions.",/ˌtʃæriəˈtɪr/,,The skilled _____ guided his horses through the tight turns of the Roman circus.,"From chariot + -eer, from Old French chariot",Claude,Remember CHARIOTEER: Chariot Handler And Racer In Olympic Tournaments Expertly Executing Racing - chariot driver.,"Chariot racing was one of the most popular sports in ancient Rome, with successful charioteers becoming celebrities.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
charismatic,Having a compelling charm that inspires devotion in others; possessing a divinely conferred power or talent.,/ˌkærɪzˈmætɪk/,,The _____ speaker captivated the audience with his passionate delivery and compelling message.,"From Greek kharismatikos, from kharisma 'divine gift'",Claude,Remember CHARISMATIC: Compelling Harmony And Radiance Inspiring Strong Magnetic Appeal Together In Character - having compelling charm.,The term was popularized by sociologist Max Weber to describe leaders who inspire through personal magnetism rather than traditional authority.,Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
charitable,Generous in giving help to those in need; showing kindness and tolerance toward others.,/ˈtʃærɪtəbəl/,,Her _____ nature led her to volunteer at the local food bank every weekend.,"From charity + -able, from Latin caritas 'love, affection'",Claude,Remember CHARITABLE: Caring Habits And Regularly Inspiring Thoughtful And Benevolent Loving Everyone - generous and kind.,The modern concept of charitable organizations as tax-exempt entities developed in the 19th century in Britain and America.,Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
charon,"In Greek mythology, the ferryman who carries souls of the dead across the river Styx to Hades.",/ˈkɛrən/,,"According to ancient myth, _____ required payment of a coin to transport souls to the underworld.","From Greek Kharōn, possibly meaning 'fierce brightness'",Claude,Remember CHARON: Crossing Hades And River Of No return - mythological ferryman.,The tradition of placing coins on the eyes of the dead comes from the practice of paying Charon for passage to the afterlife.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
charred,Burned or scorched to create a blackened surface; partially burned or carbonized.,/tʃɑrd/,,The _____ remains of the wooden beam showed how intense the fire had been.,"From char + -ed, of uncertain origin, possibly from charcoal",Claude,Remember CHARRED: Carbonized Heated And Reduced Remains Eventually Darkened - burned and blackened.,"Charring food creates the Maillard reaction, which produces complex flavors and aromas prized in cooking.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chart,A map or graph showing information; to plan or map out a course of action.,/tʃɑrt/,,The navigation _____ showed all the underwater hazards in the coastal waters.,"From Old French charte, from Latin charta 'paper, map'",Claude,Remember CHART: Careful Helpful And Recorded Territory - map or graph.,"Sea charts have been essential for navigation for centuries, with the oldest known chart dating back to the 13th century.",Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
chase,To pursue someone or something in order to catch them; to follow rapidly or persistently.,/tʃeɪs/,,The dog began to _____ the ball across the yard as soon as it was thrown.,"From Old French chacier, from Latin captare 'to catch'",Claude,Remember CHASE: Catch Hurrying And Speeding Everywhere - to pursue rapidly.,The phrase 'wild goose chase' comes from a 16th-century horse racing game where riders followed a lead horse in formation.,Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
chasm,"A deep crack or opening in the earth's surface; a profound difference between people, viewpoints, or situations.",/ˈkæzəm/,,The earthquake created a wide _____ that split the road completely in half.,"From Greek khasma, from khainein 'to gape, yawn'",Claude,Remember CHASM: Crack Having And Splitting Material - deep opening or gap.,"The Grand Canyon is one of the world's most famous chasms, carved by the Colorado River over millions of years.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
chastise,To rebuke or reprimand severely; to punish or discipline someone for wrongdoing.,/tʃæˈstaɪz/,,The teacher chose to _____ the student privately rather than embarrass him in front of the class.,"From Old French chastier, from Latin castigare 'to correct'",Claude,Remember CHASTISE: Correcting Habits And Stopping Trouble In Serious Education - to rebuke severely.,"The word originally implied correction for improvement, reflecting the educational purpose of discipline in medieval times.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
