word,source_difficulty,source_year,page_number,source_file
fragile,One Bee,2020,6,2020 Words_of_the_Champions.pdf
galaxy,One Bee,2020,6,2020 Words_of_the_Champions.pdf
complaint,One Bee,2020,6,2020 Words_of_the_Champions.pdf
curries,One Bee,2020,6,2020 Words_of_the_Champions.pdf
tennis,One Bee,2020,6,2020 Words_of_the_Champions.pdf
grumbling,One Bee,2020,6,2020 Words_of_the_Champions.pdf
garlic,One Bee,2020,6,2020 Words_of_the_Champions.pdf
hula,One Bee,2020,6,2020 Words_of_the_Champions.pdf
reactionary,One Bee,2020,6,2020 Words_of_the_Champions.pdf
muscular,One Bee,2020,6,2020 Words_of_the_Champions.pdf
drizzle,One Bee,2020,6,2020 Words_of_the_Champions.pdf
accurate,One Bee,2020,6,2020 Words_of_the_Champions.pdf
studio,One Bee,2020,6,2020 Words_of_the_Champions.pdf
illusionist,One Bee,2020,6,2020 Words_of_the_Champions.pdf
genetic,One Bee,2020,6,2020 Words_of_the_Champions.pdf
levity,One Bee,2020,6,2020 Words_of_the_Champions.pdf
moisture,One Bee,2020,6,2020 Words_of_the_Champions.pdf
toughness,One Bee,2020,6,2020 Words_of_the_Champions.pdf
tasteless,One Bee,2020,6,2020 Words_of_the_Champions.pdf
astute,One Bee,2020,6,2020 Words_of_the_Champions.pdf
turtle,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pinkerton,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fortune,One Bee,2020,6,2020 Words_of_the_Champions.pdf
sluggardbedlam,One Bee,2020,6,2020 Words_of_the_Champions.pdf
shortfall,One Bee,2020,6,2020 Words_of_the_Champions.pdf
cowlick,One Bee,2020,6,2020 Words_of_the_Champions.pdf
opinionated,One Bee,2020,6,2020 Words_of_the_Champions.pdf
slogan,One Bee,2020,6,2020 Words_of_the_Champions.pdf
triumphant,One Bee,2020,6,2020 Words_of_the_Champions.pdf
parenthetic,One Bee,2020,6,2020 Words_of_the_Champions.pdf
listener,One Bee,2020,6,2020 Words_of_the_Champions.pdf
guardian,One Bee,2020,6,2020 Words_of_the_Champions.pdf
dwindled,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fraught,One Bee,2020,6,2020 Words_of_the_Champions.pdf
sturdy,One Bee,2020,6,2020 Words_of_the_Champions.pdf
treadmill,One Bee,2020,6,2020 Words_of_the_Champions.pdf
originate,One Bee,2020,6,2020 Words_of_the_Champions.pdf
forfend,One Bee,2020,6,2020 Words_of_the_Champions.pdf
forefend,One Bee,2020,6,2020 Words_of_the_Champions.pdf
eavesdrop,One Bee,2020,6,2020 Words_of_the_Champions.pdf
january,One Bee,2020,6,2020 Words_of_the_Champions.pdf
scruple,One Bee,2020,6,2020 Words_of_the_Champions.pdf
moxie,One Bee,2020,6,2020 Words_of_the_Champions.pdf
winnow,One Bee,2020,6,2020 Words_of_the_Champions.pdf
incentive,One Bee,2020,6,2020 Words_of_the_Champions.pdf
admirer,One Bee,2020,6,2020 Words_of_the_Champions.pdf
emotional,One Bee,2020,6,2020 Words_of_the_Champions.pdf
chia,One Bee,2020,6,2020 Words_of_the_Champions.pdf
raspberry,One Bee,2020,6,2020 Words_of_the_Champions.pdf
bogus,One Bee,2020,6,2020 Words_of_the_Champions.pdf
recoup,One Bee,2020,6,2020 Words_of_the_Champions.pdf
bookworm,One Bee,2020,6,2020 Words_of_the_Champions.pdf
veteran,One Bee,2020,6,2020 Words_of_the_Champions.pdf
erase,One Bee,2020,6,2020 Words_of_the_Champions.pdf
handcuffs,One Bee,2020,6,2020 Words_of_the_Champions.pdf
spinal,One Bee,2020,6,2020 Words_of_the_Champions.pdf
demolitiongargantuan,One Bee,2020,6,2020 Words_of_the_Champions.pdf
salsa,One Bee,2020,6,2020 Words_of_the_Champions.pdf
chaotic,One Bee,2020,6,2020 Words_of_the_Champions.pdf
shrimp,One Bee,2020,6,2020 Words_of_the_Champions.pdf
mandate,One Bee,2020,6,2020 Words_of_the_Champions.pdf
turret,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pigeon,One Bee,2020,6,2020 Words_of_the_Champions.pdf
satellite,One Bee,2020,6,2020 Words_of_the_Champions.pdf
parasite,One Bee,2020,6,2020 Words_of_the_Champions.pdf
favorite,One Bee,2020,6,2020 Words_of_the_Champions.pdf
favourite,One Bee,2020,6,2020 Words_of_the_Champions.pdf
cascade,One Bee,2020,6,2020 Words_of_the_Champions.pdf
dandelion,One Bee,2020,6,2020 Words_of_the_Champions.pdf
famous,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pristine,One Bee,2020,6,2020 Words_of_the_Champions.pdf
golden,One Bee,2020,6,2020 Words_of_the_Champions.pdf
modesty,One Bee,2020,6,2020 Words_of_the_Champions.pdf
amphibian,One Bee,2020,6,2020 Words_of_the_Champions.pdf
jealousy,One Bee,2020,6,2020 Words_of_the_Champions.pdf
remedial,One Bee,2020,6,2020 Words_of_the_Champions.pdf
vouch,One Bee,2020,6,2020 Words_of_the_Champions.pdf
trivia,One Bee,2020,6,2020 Words_of_the_Champions.pdf
shoulder,One Bee,2020,6,2020 Words_of_the_Champions.pdf
zebra,One Bee,2020,6,2020 Words_of_the_Champions.pdf
butterscotch,One Bee,2020,6,2020 Words_of_the_Champions.pdf
apron,One Bee,2020,6,2020 Words_of_the_Champions.pdf
beagle,One Bee,2020,6,2020 Words_of_the_Champions.pdf
kidney,One Bee,2020,6,2020 Words_of_the_Champions.pdf
wistful,One Bee,2020,6,2020 Words_of_the_Champions.pdf
raven,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fructose,One Bee,2020,6,2020 Words_of_the_Champions.pdf
amazon,One Bee,2020,6,2020 Words_of_the_Champions.pdf
companion,One Bee,2020,6,2020 Words_of_the_Champions.pdf
panoramagimmick,One Bee,2020,6,2020 Words_of_the_Champions.pdf
flannel,One Bee,2020,6,2020 Words_of_the_Champions.pdf
cucumber,One Bee,2020,6,2020 Words_of_the_Champions.pdf
mcmansion,One Bee,2020,6,2020 Words_of_the_Champions.pdf
janitor,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lionize,One Bee,2020,6,2020 Words_of_the_Champions.pdf
headdress,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fragrance,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pear,One Bee,2020,6,2020 Words_of_the_Champions.pdf
system,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pedigree,One Bee,2020,6,2020 Words_of_the_Champions.pdf
empty,One Bee,2020,6,2020 Words_of_the_Champions.pdf
amulet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
guess,One Bee,2020,6,2020 Words_of_the_Champions.pdf
magician,One Bee,2020,6,2020 Words_of_the_Champions.pdf
carrot,One Bee,2020,6,2020 Words_of_the_Champions.pdf
meteor,One Bee,2020,6,2020 Words_of_the_Champions.pdf
distraught,One Bee,2020,6,2020 Words_of_the_Champions.pdf
freight,One Bee,2020,6,2020 Words_of_the_Champions.pdf
blemish,One Bee,2020,6,2020 Words_of_the_Champions.pdf
crumpet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
blizzard,One Bee,2020,6,2020 Words_of_the_Champions.pdf
squirm,One Bee,2020,6,2020 Words_of_the_Champions.pdf
harmonious,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lawyer,One Bee,2020,6,2020 Words_of_the_Champions.pdf
valiant,One Bee,2020,6,2020 Words_of_the_Champions.pdf
purse,One Bee,2020,6,2020 Words_of_the_Champions.pdf
raisin,One Bee,2020,6,2020 Words_of_the_Champions.pdf
trumpet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
bias,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lettuce,One Bee,2020,6,2020 Words_of_the_Champions.pdf
shamrock,One Bee,2020,6,2020 Words_of_the_Champions.pdf
americanamonopolize,One Bee,2020,6,2020 Words_of_the_Champions.pdf
marathon,One Bee,2020,6,2020 Words_of_the_Champions.pdf
omission,One Bee,2020,6,2020 Words_of_the_Champions.pdf
newbie,One Bee,2020,6,2020 Words_of_the_Champions.pdf
spreadsheet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
badger,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fortification,One Bee,2020,6,2020 Words_of_the_Champions.pdf
hydra,One Bee,2020,6,2020 Words_of_the_Champions.pdf
grouse,One Bee,2020,6,2020 Words_of_the_Champions.pdf
manta,One Bee,2020,6,2020 Words_of_the_Champions.pdf
astonish,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fashionista,One Bee,2020,6,2020 Words_of_the_Champions.pdf
stubble,One Bee,2020,6,2020 Words_of_the_Champions.pdf
genius,One Bee,2020,6,2020 Words_of_the_Champions.pdf
nuance,One Bee,2020,6,2020 Words_of_the_Champions.pdf
stencil,One Bee,2020,6,2020 Words_of_the_Champions.pdf
penguin,One Bee,2020,6,2020 Words_of_the_Champions.pdf
freckle,One Bee,2020,6,2020 Words_of_the_Champions.pdf
blooper,One Bee,2020,6,2020 Words_of_the_Champions.pdf
misconception,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lambkin,One Bee,2020,6,2020 Words_of_the_Champions.pdf
chowder,One Bee,2020,6,2020 Words_of_the_Champions.pdf
sunflower,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lambasted,One Bee,2020,6,2020 Words_of_the_Champions.pdf
volumetric,One Bee,2020,6,2020 Words_of_the_Champions.pdf
flattery,One Bee,2020,6,2020 Words_of_the_Champions.pdf
simmer,One Bee,2020,6,2020 Words_of_the_Champions.pdf
whisk,One Bee,2020,6,2020 Words_of_the_Champions.pdf
bathtub,One Bee,2020,6,2020 Words_of_the_Champions.pdf
fantastically,One Bee,2020,6,2020 Words_of_the_Champions.pdf
failure,One Bee,2020,6,2020 Words_of_the_Champions.pdf
tolerable,One Bee,2020,6,2020 Words_of_the_Champions.pdf
mosquitotarget,One Bee,2020,6,2020 Words_of_the_Champions.pdf
angora,One Bee,2020,6,2020 Words_of_the_Champions.pdf
snippet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
ascribe,One Bee,2020,6,2020 Words_of_the_Champions.pdf
hodgepodge,One Bee,2020,6,2020 Words_of_the_Champions.pdf
verbiage,One Bee,2020,6,2020 Words_of_the_Champions.pdf
nephew,One Bee,2020,6,2020 Words_of_the_Champions.pdf
imbibe,One Bee,2020,6,2020 Words_of_the_Champions.pdf
savvy,One Bee,2020,6,2020 Words_of_the_Champions.pdf
reckon,One Bee,2020,6,2020 Words_of_the_Champions.pdf
boorish,One Bee,2020,6,2020 Words_of_the_Champions.pdf
tarmac,One Bee,2020,6,2020 Words_of_the_Champions.pdf
iteration,One Bee,2020,6,2020 Words_of_the_Champions.pdf
nurture,One Bee,2020,6,2020 Words_of_the_Champions.pdf
volcano,One Bee,2020,6,2020 Words_of_the_Champions.pdf
forensics,One Bee,2020,6,2020 Words_of_the_Champions.pdf
miraculous,One Bee,2020,6,2020 Words_of_the_Champions.pdf
trendy,One Bee,2020,6,2020 Words_of_the_Champions.pdf
permafrost,One Bee,2020,6,2020 Words_of_the_Champions.pdf
iceberg,One Bee,2020,6,2020 Words_of_the_Champions.pdf
cactus,One Bee,2020,6,2020 Words_of_the_Champions.pdf
nationalism,One Bee,2020,6,2020 Words_of_the_Champions.pdf
leeway,One Bee,2020,6,2020 Words_of_the_Champions.pdf
pilferer,One Bee,2020,6,2020 Words_of_the_Champions.pdf
rollicking,One Bee,2020,6,2020 Words_of_the_Champions.pdf
quart,One Bee,2020,6,2020 Words_of_the_Champions.pdf
lactose,One Bee,2020,6,2020 Words_of_the_Champions.pdf
domineering,One Bee,2020,6,2020 Words_of_the_Champions.pdf
onion,One Bee,2020,6,2020 Words_of_the_Champions.pdf
abandon,One Bee,2020,6,2020 Words_of_the_Champions.pdf
jamboree,One Bee,2020,6,2020 Words_of_the_Champions.pdf
junior,One Bee,2020,6,2020 Words_of_the_Champions.pdf
hamlet,One Bee,2020,6,2020 Words_of_the_Champions.pdf
spellingthawed,One Bee,2020,7,2020 Words_of_the_Champions.pdf
uncle,One Bee,2020,7,2020 Words_of_the_Champions.pdf
dawdle,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mogul,One Bee,2020,7,2020 Words_of_the_Champions.pdf
troll,One Bee,2020,7,2020 Words_of_the_Champions.pdf
kindred,One Bee,2020,7,2020 Words_of_the_Champions.pdf
tantrum,One Bee,2020,7,2020 Words_of_the_Champions.pdf
science,One Bee,2020,7,2020 Words_of_the_Champions.pdf
cement,One Bee,2020,7,2020 Words_of_the_Champions.pdf
venomous,One Bee,2020,7,2020 Words_of_the_Champions.pdf
plaintiff,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mayhem,One Bee,2020,7,2020 Words_of_the_Champions.pdf
thicket,One Bee,2020,7,2020 Words_of_the_Champions.pdf
gymnastics,One Bee,2020,7,2020 Words_of_the_Champions.pdf
island,One Bee,2020,7,2020 Words_of_the_Champions.pdf
peacenik,One Bee,2020,7,2020 Words_of_the_Champions.pdf
ounce,One Bee,2020,7,2020 Words_of_the_Champions.pdf
memorandum,One Bee,2020,7,2020 Words_of_the_Champions.pdf
bother,One Bee,2020,7,2020 Words_of_the_Champions.pdf
missile,One Bee,2020,7,2020 Words_of_the_Champions.pdf
munchkin,One Bee,2020,7,2020 Words_of_the_Champions.pdf
banana,One Bee,2020,7,2020 Words_of_the_Champions.pdf
furnace,One Bee,2020,7,2020 Words_of_the_Champions.pdf
foothills,One Bee,2020,7,2020 Words_of_the_Champions.pdf
tongue,One Bee,2020,7,2020 Words_of_the_Champions.pdf
caterpillar,One Bee,2020,7,2020 Words_of_the_Champions.pdf
wasp,One Bee,2020,7,2020 Words_of_the_Champions.pdf
kudos,One Bee,2020,7,2020 Words_of_the_Champions.pdf
alpha,One Bee,2020,7,2020 Words_of_the_Champions.pdf
shebang,One Bee,2020,7,2020 Words_of_the_Champions.pdf
tibia,One Bee,2020,7,2020 Words_of_the_Champions.pdf
hazelnut,One Bee,2020,7,2020 Words_of_the_Champions.pdf
votive,One Bee,2020,7,2020 Words_of_the_Champions.pdf
lanternmince,One Bee,2020,7,2020 Words_of_the_Champions.pdf
bubbly,One Bee,2020,7,2020 Words_of_the_Champions.pdf
graham,One Bee,2020,7,2020 Words_of_the_Champions.pdf
headlong,One Bee,2020,7,2020 Words_of_the_Champions.pdf
timber,One Bee,2020,7,2020 Words_of_the_Champions.pdf
medallion,One Bee,2020,7,2020 Words_of_the_Champions.pdf
maximum,One Bee,2020,7,2020 Words_of_the_Champions.pdf
clover,One Bee,2020,7,2020 Words_of_the_Champions.pdf
casino,One Bee,2020,7,2020 Words_of_the_Champions.pdf
distinctive,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mister,One Bee,2020,7,2020 Words_of_the_Champions.pdf
warning,One Bee,2020,7,2020 Words_of_the_Champions.pdf
useful,One Bee,2020,7,2020 Words_of_the_Champions.pdf
difficult,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mischief,One Bee,2020,7,2020 Words_of_the_Champions.pdf
talent,One Bee,2020,7,2020 Words_of_the_Champions.pdf
kiwi,One Bee,2020,7,2020 Words_of_the_Champions.pdf
publish,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mutter,One Bee,2020,7,2020 Words_of_the_Champions.pdf
sedentary,One Bee,2020,7,2020 Words_of_the_Champions.pdf
divine,One Bee,2020,7,2020 Words_of_the_Champions.pdf
lexicon,One Bee,2020,7,2020 Words_of_the_Champions.pdf
bristle,One Bee,2020,7,2020 Words_of_the_Champions.pdf
daresay,One Bee,2020,7,2020 Words_of_the_Champions.pdf
owlishly,One Bee,2020,7,2020 Words_of_the_Champions.pdf
criminal,One Bee,2020,7,2020 Words_of_the_Champions.pdf
recipient,One Bee,2020,7,2020 Words_of_the_Champions.pdf
strong,One Bee,2020,7,2020 Words_of_the_Champions.pdf
canteen,One Bee,2020,7,2020 Words_of_the_Champions.pdf
aviation,One Bee,2020,7,2020 Words_of_the_Champions.pdf
lucky,One Bee,2020,7,2020 Words_of_the_Champions.pdf
rocket,One Bee,2020,7,2020 Words_of_the_Champions.pdf
reflect,One Bee,2020,7,2020 Words_of_the_Champions.pdf
scentpuzzles,One Bee,2020,7,2020 Words_of_the_Champions.pdf
scumble,One Bee,2020,7,2020 Words_of_the_Champions.pdf
extinct,One Bee,2020,7,2020 Words_of_the_Champions.pdf
jersey,One Bee,2020,7,2020 Words_of_the_Champions.pdf
trapezoid,One Bee,2020,7,2020 Words_of_the_Champions.pdf
dillydally,One Bee,2020,7,2020 Words_of_the_Champions.pdf
haggle,One Bee,2020,7,2020 Words_of_the_Champions.pdf
sword,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mastiff,One Bee,2020,7,2020 Words_of_the_Champions.pdf
cooperate,One Bee,2020,7,2020 Words_of_the_Champions.pdf
merchandise,One Bee,2020,7,2020 Words_of_the_Champions.pdf
gauntlet,One Bee,2020,7,2020 Words_of_the_Champions.pdf
apology,One Bee,2020,7,2020 Words_of_the_Champions.pdf
carnival,One Bee,2020,7,2020 Words_of_the_Champions.pdf
buffoonery,One Bee,2020,7,2020 Words_of_the_Champions.pdf
intellectual,One Bee,2020,7,2020 Words_of_the_Champions.pdf
tickled,One Bee,2020,7,2020 Words_of_the_Champions.pdf
domino,One Bee,2020,7,2020 Words_of_the_Champions.pdf
ignite,One Bee,2020,7,2020 Words_of_the_Champions.pdf
legacy,One Bee,2020,7,2020 Words_of_the_Champions.pdf
splurge,One Bee,2020,7,2020 Words_of_the_Champions.pdf
neigh,One Bee,2020,7,2020 Words_of_the_Champions.pdf
cabbage,One Bee,2020,7,2020 Words_of_the_Champions.pdf
erode,One Bee,2020,7,2020 Words_of_the_Champions.pdf
formalize,One Bee,2020,7,2020 Words_of_the_Champions.pdf
formalise,One Bee,2020,7,2020 Words_of_the_Champions.pdf
anyway,One Bee,2020,7,2020 Words_of_the_Champions.pdf
isolation,One Bee,2020,7,2020 Words_of_the_Champions.pdf
measly,One Bee,2020,7,2020 Words_of_the_Champions.pdf
apprehensive,One Bee,2020,7,2020 Words_of_the_Champions.pdf
zither,One Bee,2020,7,2020 Words_of_the_Champions.pdf
whiff,One Bee,2020,7,2020 Words_of_the_Champions.pdf
organic,One Bee,2020,7,2020 Words_of_the_Champions.pdf
mugwumpdollars,One Bee,2020,7,2020 Words_of_the_Champions.pdf
hospitality,One Bee,2020,7,2020 Words_of_the_Champions.pdf
necklace,One Bee,2020,7,2020 Words_of_the_Champions.pdf
explanation,One Bee,2020,7,2020 Words_of_the_Champions.pdf
thimblerig,One Bee,2020,7,2020 Words_of_the_Champions.pdf
landmark,One Bee,2020,7,2020 Words_of_the_Champions.pdf
peerless,One Bee,2020,7,2020 Words_of_the_Champions.pdf
flute,One Bee,2020,7,2020 Words_of_the_Champions.pdf
skateboard,One Bee,2020,7,2020 Words_of_the_Champions.pdf
manifesto,One Bee,2020,7,2020 Words_of_the_Champions.pdf
imitative,One Bee,2020,7,2020 Words_of_the_Champions.pdf
famished,One Bee,2020,7,2020 Words_of_the_Champions.pdf
ecotourism,One Bee,2020,7,2020 Words_of_the_Champions.pdf
cancel,One Bee,2020,7,2020 Words_of_the_Champions.pdf
flooey,One Bee,2020,7,2020 Words_of_the_Champions.pdf
ginger,One Bee,2020,7,2020 Words_of_the_Champions.pdf
lifetime,One Bee,2020,7,2020 Words_of_the_Champions.pdf
integrity,One Bee,2020,7,2020 Words_of_the_Champions.pdf
arcade,One Bee,2020,7,2020 Words_of_the_Champions.pdf
manufacture,One Bee,2020,7,2020 Words_of_the_Champions.pdf
