word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bouclé,A yarn with loops creating a bumpy texture; fabric made from such yarn (with accent),/ˈbukəl/,From French bouclé meaning 'curled' or 'buckled',"BOUCLÉ: Beautiful Outstanding - Unique fabric, Curly Looped texture, Everyone recognizes textured fabric","The _____ jacket had an elegant, textured appearance.",Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
boudin,A spicy Cajun sausage made with rice and pork,/ˈbudɪn/,"From French boudin meaning 'blood sausage', from Latin botellus 'sausage'","BOUDIN: Bold Outstanding - Unique spicy sausage, Delicious Ingredient, Never bland flavor",The Cajun restaurant served authentic _____ with rice and vegetables.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
bouffant,"A hairstyle with hair puffed out; having a puffy, voluminous shape",/buˈfɑnt/,"From French bouffant meaning 'puffing' or 'swelling', from bouffer 'to puff'","BOUFFANT: Big Outstanding - Unique hairstyle, Fluffy Fashionable style, Fluffy And Never flat, Totally voluminous hairstyle",Her _____ hairstyle was perfectly styled for the 1960s themed party.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
bough,A main branch of a tree,/baʊ/,From Old English bog meaning 'arm' or 'shoulder' (of a tree),"BOUGH: Big Outstanding - Usually Growing from tree trunk, Heavy tree branch",The heavy _____ broke under the weight of the snow.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
bouillon,"A clear broth made from meat, fish, or vegetables",/ˈbuljən/,"From French bouillon, from bouillir meaning 'to boil'","BOUILLON: Basic Outstanding - Usually in soup, Liquid broth, Liquid Ingredient, Obviously for cooking, Never solid food",She added the chicken _____ to enhance the soup's flavor.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
boulevardier,A wealthy man about town; a frequenter of fashionable places,/ˌbuləvɑrˈdir/,"From French boulevardier, from boulevard + -ier suffix","BOULEVARDIER: Big Outstanding - Urban sophisticated person, Lives Elegantly, Very wealthy And Really cultured, Dressed like gentleman, Impressive social figure, Everyone Recognizes wealthy lifestyle",The well-dressed _____ was seen at all the finest restaurants in the city.,Claude,Claude,Claude,,Intermediate,2.4,4.0,1.3,2.0,False
bounce,To spring back after hitting a surface; to move in a lively manner,/baʊns/,From Middle English bunsen meaning 'to beat' or 'to thump',"BOUNCE: Basic Operation - Usually springs back, Never staying down, Coming back up, Everyone knows this motion",The basketball began to _____ rapidly on the gymnasium floor.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
bounding,Moving with leaping strides; jumping with energy,/ˈbaʊndɪŋ/,"From bound + -ing, where bound comes from Old French bondir 'to leap'","BOUNDING: Bold Outstanding - Usually energetic movement, Never slow motion, Definitely enthusiastic, Incredibly energetic motion, Never Getting tired",The excited dog came _____ across the field toward its owner.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
bountiful,Abundant and copious; generous in giving,/ˈbaʊntɪfəl/,"From bounty + -ful, where bounty comes from Old French bonte 'goodness'","BOUNTIFUL: Beautiful Outstanding - Usually Numerous abundant things, Totally Incredible abundance, Filled with generous gifts, Usually Large amounts","The harvest was _____ this year, providing food for the entire community.",Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,3.5,False
bouquet,An arrangement of flowers; a distinctive scent or flavor,/buˈkeɪ/,From French bouquet meaning 'little wood' or 'cluster',"BOUQUET: Beautiful Outstanding - Usually collected flowers, Quality fragrant arrangement, Usually Elegant flower arrangement, Together flowers",He presented her with a _____ of red roses for their anniversary.,Claude,Claude,Claude,,Intermediate,3.0,3.0,1.0,2.0,False
bourgeois,Of or relating to the middle class; conventional or materialistic,/bʊrˈʒwɑ/,"From French bourgeois meaning 'townsman', from bourg 'town'","BOURGEOIS: Basic Organization - Usually wealthy people, Really Generating wealth, Everyone Obviously comfortable lifestyle, Interested in material things, Some wealthy people",The novel criticized the _____ values of 19th-century society.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.0,2.0,False
boutade,A sudden outburst or whim; a creative inspiration,/buˈtɑd/,From French boutade meaning 'sudden start' or 'whim',"BOUTADE: Bold Outstanding - Unexpected sudden idea, Totally Amazing creative impulse, Definitely Explosive creative energy",The artist's latest painting was inspired by a sudden _____.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
boutonniere,A flower or small bouquet worn on a man's lapel,/ˌbutənˈjɛr/,From French boutonnière meaning 'buttonhole',"BOUTONNIERE: Beautiful Outstanding - Usually formal decoration, Traditionally On men's jacket, Obviously Nice elegant accessory, Nice flower on lapel, Including Elegant formal wear, Everyone Recognizes wedding accessory",The groom wore a white rose _____ that matched the bride's bouquet.,Claude,Claude,Claude,,Intermediate,2.2,4.0,1.0,2.0,False
bovines,Cattle or other members of the ox family; cows and bulls,/ˈboʊvaɪnz/,"From Latin bovinus meaning 'of cattle', from bos 'cow'","BOVINES: Big Outstanding - Very Important farm animals, Including cattle, Never wild animals, Everyone knows farm animals, Something cattle",The pasture was filled with grazing _____ enjoying the warm sunshine.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bowie,A large hunting knife with a curved blade; associated with Jim Bowie,/ˈboʊi/,"Named after James Bowie, American pioneer and soldier","BOWIE: Big Outstanding - Weapon for cutting, Important Equipment",The frontiersman carried a sharp _____ knife on his belt.,Claude,Claude,Claude,,Beginner,1.5,2.5,1.0,3.0,False
bowl,A round container for food; to play bowling; a stadium,/boʊl/,From Old English bolla meaning 'cup' or 'bowl',"BOWL: Basic Object - Wide container, Liquids fit inside",She filled the ceramic _____ with fresh fruit.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
bowlerphantom,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bowsprit,A spar projecting from the front of a ship's bow,/ˈboʊsprɪt/,"From Middle Dutch boechspriet, from boech 'bow' + spriet 'pole'","BOWSPRIT: Big Outstanding - Water ship equipment, Sailing Perfectly positioned, Really Important sailing equipment, Incredibly Tactical ship part",The ship's _____ cut through the waves as it sailed into the harbor.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bowyer,A person who makes bows for archery,/ˈboʊjər/,From bow + -yer suffix (meaning 'one who works with'),"BOWYER: Basic Outstanding - Worker making archery equipment, Year-round craftsman, Everyone Recognizes bow maker",The skilled _____ crafted custom bows for the archery competition.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
boxer,A person who fights with fists as a sport; a breed of dog,/ˈbɑksər/,"From box (to fight) + -er, where box comes from Middle English","BOXER: Bold Outstanding - athlete, eXcellent fighter, Everyone Recognizes fighting sport",The professional _____ trained for hours every day preparing for the championship.,Claude,Claude,Claude,,Intermediate,2.0,2.5,1.3,3.5,False
boycott,To refuse to buy from or deal with as a form of protest,/ˈbɔɪkɑt/,"Named after Charles Boycott, Irish land agent who was ostracized in 1880","BOYCOTT: Basic Operation - You refuse to support, Completely avoiding business, Obviously Taking a stand, Together protesting",Consumers decided to _____ the company until it changed its labor practices.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,5.0,False
boycottcalzone,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bozzetto,A small clay or wax model for a sculpture; a preliminary sketch,/boˈtsɛtoʊ/,"From Italian bozzetto meaning 'small sketch', from bozza 'rough draft'","BOZZETTO: Beautiful Outstanding - Zestful artistic work, Zestful Early art model, Testing art ideas, Talented artist's model, Outstanding sculpture preparation",The sculptor created a detailed _____ before beginning work on the full-sized statue.,Claude,Claude,Claude,,Beginner,2.0,3.0,1.0,2.0,False
brac,"A fragment or piece, especially of pottery or stone",/bræk/,From Old Norse brǫk meaning 'debris' or 'fragments',"BRAC: Basic Remaining - Archaeological artifact, Collected by archaeologists",The archaeologist carefully catalogued each _____ found at the ancient site.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
brachiopods,"Marine animals with two shells, resembling but unrelated to clams",/ˈbreɪkiəˌpɑdz/,"From Greek brachion 'arm' + pous 'foot', referring to their feeding apparatus","BRACHIOPODS: Basic Really - Ancient sea creatures, Commonly Having shells, Including Ocean fossils, Obviously Prehistoric sea life, Diverse Sea creatures",The paleontologist discovered well-preserved _____ fossils in the limestone.,Claude,Claude,Claude,,Intermediate,1.2,4.0,1.0,2.0,False
brackish,"Water that is somewhat salty, between fresh and salt water",/ˈbrækɪʃ/,From Dutch brak meaning 'salty' + -ish suffix,"BRACKISH: Basic Really - And slightly salty water, Carefully mixing salt with fresh water, Keeping some salt taste, Including Some Halite minerals",The estuary contained _____ water where the river met the sea.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
braeburn,A variety of apple with red and yellow skin and crisp flesh,/ˈbreɪbərn/,Named after Braeburn Orchard in New Zealand where it was first grown,"BRAEBURN: Beautiful Red - Apple variety, Everyone likes crispy fruit, Beautiful colorful apple, Usually eaten fresh, Really Nice fruit",The _____ apples were perfect for making a crisp autumn pie.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
braggart,A person who boasts about their achievements or possessions,/ˈbræɡərt/,From brag + -art suffix (meaning 'one who does excessively'),"BRAGGART: Bad Rude - Always Grossly boasting, Getting everyone's Attention, Really annoying behavior, Totally showing off",The _____ constantly told stories about his supposed accomplishments.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
braids,Hair arranged in interwoven strands; decorative cords,/breɪdz/,From Old English bregdan meaning 'to weave' or 'to intertwine',"BRAIDS: Beautiful Rope - Always Interwoven hair, Decorative hair Style",She wore her long hair in intricate _____ for the cultural celebration.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
braille,A system of raised dots that allows blind people to read by touch,/breɪl/,"Named after Louis Braille, who invented the system in 1824","BRAILLE: Basic Reading - Always Important for blind people, Lets everyone read by touch, Learning Everything by touch",The library had an extensive collection of books printed in _____.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.0,False
braillevignette,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
brain,"The organ that controls thought, memory, and body functions",/breɪn/,"From Old English brægen, from Proto-Germanic bragnjan","BRAIN: Basic Really - Amazing Intelligence center, Never stops working",The human _____ contains approximately 86 billion neurons.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
brambles,"Prickly shrubs, especially wild blackberry bushes",/ˈbræmbəlz/,"From Old English bræmbel, related to broom (the plant)","BRAMBLES: Basic Really - Always thorny plants, Making walking difficult, Blocking paths Everywhere, Lots of thorns, Everyone avoids sharp plants, Something prickly",The children picked berries carefully to avoid the sharp _____.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,3.5,False
branch,A part of a tree that grows from the trunk; a division of an organization,/bræntʃ/,"From Old French branche, from Late Latin branca meaning 'paw'","BRANCH: Basic Really - Always Naturally growing from tree, Connecting Hanging leaves",The bird built its nest on a sturdy _____ of the oak tree.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
brand,A particular make of product; to mark with a hot iron,/brænd/,From Old English brand meaning 'fire' or 'torch',"BRAND: Basic Recognition - Always Noticeable company mark, Distinguishing products",The company's _____ became synonymous with quality and reliability.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
