word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
copy,"An identical or similar reproduction of something original; to make such a reproduction; to imitate or duplicate. Copying can involve physical reproduction, behavioral imitation, or digital duplication. The term encompasses both the action of replicating and the resulting duplicate product.","noun, verb",KOP-ee (/ˈkɒpi/),"From Latin ""copia,"" meaning ""abundance, transcript""",Think of making an identical version of something - a duplicate,None,Latin,Please make a _____ of this document for the meeting.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,1.5,1.0,3.5,,Claude,Claude,Claude,Claude
coqui,"A small tree frog native to Puerto Rico, famous for its distinctive two-note call that sounds like ""ko-KEE."" These tiny frogs are important symbols of Puerto Rican culture and ecology. Coquí frogs are nocturnal and play crucial roles in their ecosystem, though introduced populations in other locations can become invasive.",noun,koh-KEE (/koʊˈki/),"Taíno (indigenous Caribbean language), onomatopoeia of the frog's call","Think of the sound ""ko-KEE"" that these Puerto Rican frogs make",Coquí (with accent),Taíno,The _____ frogs filled the Puerto Rican night with their melodic calls.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
coquiwith,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""coqui"" (Puerto Rican tree frog) + ""with"" (preposition). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""coqui"" and ""with""",coqui + with (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,3.0,1.0,2.0,,Claude,Claude,Claude,Claude
coracle,"A small, round boat traditionally made from a wooden frame covered with waterproof material like animal hide or canvas. Coracles are lightweight, portable vessels used for fishing and river transport, particularly in Wales and Ireland. These ancient boat designs demonstrate ingenious solutions for water navigation using available materials.",noun,KOR-uh-kul (/ˈkɒrəkəl/),"From Welsh ""corwgl,"" meaning ""small round boat""","Think of a ""cor(e)"" shaped like a circle - a round Welsh boat",None,Welsh,The fisherman paddled his traditional _____ across the calm Welsh river.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
coralline,"Resembling, containing, or relating to coral; composed of or containing the calcium carbonate structures created by coral organisms. Coralline can describe marine algae that deposit calcium carbonate, geological formations made from ancient coral reefs, or anything having the characteristics of coral.",adjective,KOR-uh-lyn (/ˈkɒrəlaɪn/),"From Latin ""corallinus,"" from ""corallum"" (coral)","Think ""coral + -ine"" - having the nature or characteristics of coral",None,Latin,The _____ limestone formed from ancient coral reefs millions of years ago.,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
corda,"A musical term meaning ""string"" in Italian, used in musical notation to indicate string instruments or specific string techniques. In organ music, ""una corda"" instructs to use one string (soft pedal on piano). The term appears in various musical contexts relating to stringed instruments and their performance techniques.",noun,KOR-dah (/ˈkɔrdə/),"Italian, meaning ""string,"" from Latin ""chorda"" (string, cord)","Think ""cord"" - musical strings are cords that vibrate to make sound",None,Italian/Latin,"The musical score indicated ""una _____"" for the delicate piano passage.",2022; 2023; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
cordaunchristened,"[COMBINED WORD ERROR] This appears to be multiple words incorrectly joined: ""corda"" (musical string) + ""unchristened"" (not baptized). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""corda"" and ""unchristened""",corda + unchristened (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.5,2.5,2.0,,Claude,Claude,Claude,Claude
cordillera,"An extensive mountain range or system of parallel mountain chains, especially in the Americas. Cordilleras are major geological features formed by tectonic activity, creating long chains of peaks and valleys. Notable examples include the American Cordillera extending from Alaska to Chile and various cordilleras in Asia.",noun,kor-dil-YEH-rah (/ˌkɔrdɪlˈjɛrə/),"Spanish, meaning ""mountain range,"" from ""cordilla"" (little cord) + augmentative ""-era""","Think ""cord + hill"" - mountains connected like a cord or rope",None,Spanish,"The Andes form the longest _____ in the world, stretching along South America's western coast.",2020; 2022; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
cordillerazazen,"[COMBINED WORD ERROR] This appears to be words incorrectly joined: ""cordillera"" (mountain range) + ""zazen"" (Zen meditation). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""cordillera"" and ""zazen""",cordillera + zazen (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,3.5,1.5,2.0,,Claude,Claude,Claude,Claude
corduroy,"A durable cotton fabric with a distinctive ribbed or ridged surface created by cut pile arranged in parallel lines. Corduroy is commonly used for clothing, upholstery, and other textile applications. The fabric's characteristic texture comes from extra weft threads that are cut to create the raised pile pattern.",noun,KOR-duh-roy (/ˈkɔrdərɔɪ/),"Possibly from French ""corde du roi"" (cord of the king) or English ""cord"" + obsolete ""duroy""","Think of ""cord"" texture - the ribbed fabric feels like parallel cords",None,French/English (uncertain),The professor wore his favorite _____ jacket with leather elbow patches.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
core,"The central, innermost, or most essential part of something; the heart or nucleus around which other parts are assembled. Core can refer to physical centers (Earth's core), abstract concepts (core beliefs), or essential components (core curriculum). The term emphasizes fundamental importance and centrality.","noun, verb, adjective",KOHR (/kɔr/),"From Old French ""cuer,"" from Latin ""cor"" (heart)","Think of the ""heart"" of something - the most central and important part",None,Old French/Latin,The _____ values of honesty and integrity guided her decisions.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,1.5,1.0,3.5,,Claude,Claude,Claude,Claude
corgi,"A short-legged herding dog breed originally from Wales, characterized by a long body, pointed ears, and fox-like face. Corgis were traditionally used for herding cattle and sheep. The two main varieties are Pembroke Welsh Corgi and Cardigan Welsh Corgi, both known for their intelligence and loyalty.",noun,KOR-gee (/ˈkɔrgi/),"Welsh, possibly from ""cor"" (dwarf) + ""ci"" (dog)","Think of a short dog - ""cor"" (dwarf) + ""gi"" (dog) from Welsh",None,Welsh,The energetic _____ herded the sheep with remarkable skill despite its short legs.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
coriander,"An aromatic herb and spice from the cilantro plant (Coriandrum sativum), where the leaves are called cilantro and the seeds are called coriander. The seeds have a warm, nutty flavor used in cooking worldwide, while the leaves provide a fresh, citrusy taste. Both parts are essential ingredients in many cuisines.",noun,kor-ee-AN-dur (/ˌkɔriˈændər/),"From Old French ""coriandre,"" from Latin ""coriandrum,"" from Greek ""koriannon""",Think of the spice that comes from cilantro seeds - aromatic and flavorful,None,Greek/Latin,The recipe called for ground _____ seeds to add warmth to the curry.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
corinthian,"Relating to Corinth, an ancient Greek city; describing the most ornate of the three classical orders of Greek architecture, characterized by elaborate acanthus leaf decorations on column capitals. Corinthian style represents the height of classical architectural refinement and decorative complexity.","adjective, noun",kuh-RIN-thee-uhn (/kəˈrɪnθiən/),"From Latin ""Corinthius,"" relating to the Greek city of Corinth",Think of elaborate Greek columns with fancy decorative leaves at the top,None,Latin/Greek,The _____ columns of the courthouse featured intricate acanthus leaf carvings.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
corkscrew,"A device for removing corks from wine bottles, typically consisting of a pointed spiral metal piece and a handle; something twisted in a spiral shape like the motion or path resembling such a tool. Corkscrews enable access to wine while preserving cork integrity.","noun, adjective, verb",KORK-skroo (/ˈkɔrkskru/),"From ""cork"" (bottle stopper) + ""screw"" (spiral fastener)",Think of screwing a spiral tool into a cork to remove it from a bottle,None,English,The sommelier used an elegant silver _____ to open the vintage wine.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.3,3.0,1.0,2.0,,Claude,Claude,Claude,Claude
corm,"A short, swollen underground plant stem that serves as a storage organ, similar to a bulb but solid throughout. Corms store nutrients and energy to support plant growth during dormant periods. Examples include gladiolus, crocus, and taro plants. Corms can be propagated by division to create new plants.",noun,KORM (/kɔrm/),"From Greek ""kormos,"" meaning ""tree trunk, log""","Think of a solid plant ""core"" underground - like a thick tree trunk but underground",None,Greek,Gardeners plant gladiolus _____ in spring for beautiful summer flowers.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,1.5,1.0,3.5,,Claude,Claude,Claude,Claude
cormorant,"A large water bird with dark plumage, a long neck, and webbed feet, known for its excellent diving and fishing abilities. Cormorants have minimal waterproofing in their feathers, allowing them to sink easily while hunting fish underwater. They are found worldwide near water bodies and are sometimes used in traditional fishing practices.",noun,KOR-muh-ruhnt (/ˈkɔrmərænt/),"From Old French ""cormarant,"" from ""corp"" (raven) + ""marenc"" (of the sea)","Think ""corp (raven) + marine"" - a dark sea bird like a sea raven",None,Old French,The _____ spread its wings to dry after diving for fish in the lake.,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
corn,"A cereal grain also known as maize, widely cultivated for food, animal feed, and industrial uses; in British English, any cereal grain including wheat, barley, or oats. Corn is a staple food crop that originated in Mexico and spread worldwide, becoming essential for global food security.",noun,KORN (/kɔrn/),"From Old English ""corn,"" meaning ""grain, seed""",Think of golden kernels on a cob - the classic American corn,Maize (scientific/British),Old English,Farmers harvested acres of _____ to feed livestock through the winter.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,1.5,1.0,2.0,,Claude,Claude,Claude,Claude
cornea,"The transparent front layer of the eye that covers the iris, pupil, and anterior chamber, providing much of the eye's focusing power. The cornea must remain clear and properly shaped for good vision. Corneal damage or irregularities can significantly impact sight, sometimes requiring transplantation or corrective surgery.",noun,KOR-nee-uh (/ˈkɔrniə/),"From Latin ""corneus,"" meaning ""horny,"" referring to its horn-like transparency","Think ""horn-like"" - the clear, protective covering of the eye",None,Latin,The eye doctor examined her _____ for scratches after the accident.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
cornel,"A type of dogwood tree (Cornus species) that produces small, edible, cherry-like fruits; the hard, dense wood from such trees. Cornel wood is prized for tool handles, walking sticks, and other applications requiring durability. The fruits are used in jams, liqueurs, and traditional medicine.",noun,KOR-nul (/ˈkɔrnəl/),"From Old French ""cornille,"" from Latin ""cornum"" (cornel cherry)","Think of ""corn"" + ""el"" - a tree that produces corn-sized fruits",None,Old French/Latin,The artisan carved the _____ wood into a beautiful walking stick.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
cornichon,"A small, tart pickle made from tiny gherkin cucumbers, typically served as an accompaniment to pâtés, charcuterie, and French cuisine. Cornichons are pickled in vinegar with herbs and spices, creating a sharp, acidic flavor that cuts through rich foods. They are a classic element of French culinary tradition.",noun,kor-ni-SHON (/ˌkɔrnɪˈʃɒn/),"French, diminutive of ""corne"" (horn), referring to the small, horn-like shape","Think ""corn + horn"" - tiny horn-shaped pickles from France",None,French,The charcuterie board included small _____ pickles alongside the rich pâté.,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
cornily,"In a corny manner; in a way that is overly sentimental, unsophisticated, or lacking in subtlety. This adverb describes behavior, speech, or artistic expression that is considered trite, cheesy, or embarrassingly earnest. The term often implies good intentions delivered with poor execution.",adverb,KOR-nuh-lee (/ˈkɔrnəli/),"From ""corny"" (overly sentimental) + adverbial suffix ""-ly""","Think ""corny + -ly"" - in a cheesy, overly sentimental manner",None,English,He _____ declared his love with outdated romantic clichés.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.5,1.5,2.0,,Claude,Claude,Claude,Claude
cornilycontraction,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""cornily"" (in a corny manner) + ""contraction"" (shortening or tightening). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""cornily"" and ""contraction""",cornily + contraction (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2021; 2022,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,1.3,3.5,2.5,2.0,,Claude,Claude,Claude,Claude
cornucopia,"A horn-shaped container overflowing with fruits, vegetables, and flowers, symbolizing abundance and prosperity; any abundant supply or great abundance of something. Also called the ""horn of plenty,"" this symbol appears in art, literature, and seasonal decorations, especially during harvest celebrations like Thanksgiving.",noun,kor-nuh-KOH-pee-uh (/ˌkɔrnəˈkoʊpiə/),"From Latin ""cornu copiae,"" meaning ""horn of plenty""","Think ""corn (horn) + copia (plenty)"" - a horn filled with plenty of good things",None,Latin,The Thanksgiving centerpiece featured a _____ overflowing with autumn harvest.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
corollary,"A proposition that follows logically from one already proved; a natural consequence or result that accompanies or parallels a main result. In mathematics and logic, corollaries extend proven theorems. In general usage, corollaries are secondary effects or conclusions that naturally flow from primary events or decisions.",noun,KOR-uh-ler-ee (/ˈkɔrəˌlɛri/),"From Latin ""corollarium,"" meaning ""money for a garland, gratuity""","Think of a ""crown"" (coroll-) of additional results following from the main one",None,Latin,A _____ of increased education funding was improved test scores across the district.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
coronation,"The ceremony of crowning a sovereign or monarch, formally investing them with regal power and authority. Coronations are elaborate state ceremonies rich with tradition, symbolism, and religious significance. They mark the official beginning of a reign and often involve oaths, religious blessings, and presentation of royal regalia.",noun,kor-uh-NAY-shun (/ˌkɔrəˈneɪʃən/),"From Latin ""coronatio,"" from ""coronare"" (to crown)","Think ""crown + -ation"" - the act of placing a crown on someone's head",None,Latin,The _____ ceremony was broadcast worldwide to millions of viewers.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.3,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
coroner,"A public official responsible for investigating deaths that occur under unusual, suspicious, or unexplained circumstances. Coroners determine cause and manner of death, often working with medical examiners, law enforcement, and forensic specialists. They may conduct inquests and issue death certificates for legal and public health purposes.",noun,KOR-uh-nur (/ˈkɔrənər/),"From Anglo-Norman ""corouner,"" from ""coroune"" (crown), originally a crown officer","Think ""crown officer"" - an official who works for the crown/government on deaths",None,Anglo-Norman,The _____ ruled that the death was accidental after examining all evidence.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.5,2.0,,Claude,Claude,Claude,Claude
corporate,"Relating to a business corporation; involving shared responsibility or unified action by a group. Corporate can describe business structures, culture, policies, or activities conducted by companies. The term emphasizes collective organization, formal business practices, and institutional rather than individual action.",adjective,KOR-pur-it (/ˈkɔrpərɪt/),"From Latin ""corporatus,"" from ""corpus"" (body) - formed into a body","Think ""corp (body) + -ate"" - formed into one body or organization",None,Latin,"The _____ headquarters housed over 2,000 employees across thirty floors.",2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
corpulent,"Having a large, bulky body; obese or very overweight. This formal term describes excessive body weight in a clinical or literary context. Corpulent suggests not just overweight but substantially heavy, often used in medical, historical, or descriptive literary contexts rather than casual conversation.",adjective,KOR-pyuh-luhnt (/ˈkɔrpjələnt/),"From Latin ""corpulentus,"" from ""corpus"" (body)","Think ""corp (body) + -ulent"" - having a very large or full body",None,Latin,The _____ gentleman struggled to fit into the airplane seat.,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
corpus,"A collection or body of written or spoken material; the main part or body of something; in anatomy, the main part of an organ or structure. Corpus can refer to literary works, legal documents, linguistic data, or physical body parts. The term emphasizes completeness and systematic organization.",noun,KOR-pus (/ˈkɔrpəs/),"Latin, meaning ""body""","Think of a ""body"" of work or knowledge - a complete collection",None,Latin,Researchers analyzed a large _____ of text to study language patterns.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
corral,"An enclosure for confining livestock, especially horses or cattle; to gather together and confine or control. Corrals are typically circular or rectangular fenced areas used in ranching and farming. The verb form means to round up, gather, or bring under control.","noun, verb",kuh-RAL (/kəˈræl/),"From Spanish ""corral,"" meaning ""yard, enclosure""",Think of cowboys corralling cattle - gathering them into an enclosed area,None,Spanish,The ranchers built a sturdy _____ to hold the wild horses.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.5,2.5,,Claude,Claude,Claude,Claude
correct,"Free from error; accurate, true, or right; conforming to established standards; to make right by removing errors or faults. Correct implies accordance with fact, truth, or proper procedure. As a verb, it means to fix, adjust, or point out mistakes.","adjective, verb",kuh-REKT (/kəˈrɛkt/),"From Latin ""correctus,"" from ""corrigere"" (to make straight)","Think ""co- (thoroughly) + rect (straight)"" - thoroughly straightened or made right",None,Latin,Please _____ any errors you find in the final draft.,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
