"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"folly","Folly refers to foolishness, lack of good sense, or an act or idea that shows a lack of wisdom or judgment. When someone engages in folly, they demonstrate poor decision-making or pursue actions that are clearly unwise or impractical. Folly can also refer to a costly ornamental building with no practical purpose, often built as a whim or fancy. The word emphasizes foolishness, impracticality, and the waste that results from poor judgment.","noun","FOL-ee","From Old French ""folie,"" from ""fol"" meaning ""foolish,"" ultimately from Latin ""follis"" meaning ""bellows"" or ""empty bag.""","Latin, Old French","Claude","Claude","Claude","Investing his entire savings in the risky venture proved to be an act of pure _______.","Claude","Remember ""FOLLY"" - foolishness that makes you FOLLY (follow) bad decisions, showing lack of wisdom.","Claude","1","4","1","3","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fomentation","Fomentation refers to the action of instigating or stirring up trouble, unrest, or rebellion, particularly through deliberate agitation or inflammatory speech. In medical contexts, fomentation describes the application of warm, moist heat to treat pain or inflammation. The word can describe both the process of stirring up discord and the therapeutic application of heat. In both uses, fomentation involves applying pressure or heat to create a desired effect.","noun","foh-men-TAY-shun","From Latin ""fomentatio,"" from ""fomentare"" meaning ""to warm"" or ""to cherish,"" from ""fomes"" (tinder, fuel).","Latin","Claude","Claude","Claude","The political activist was accused of _______ of unrest through his inflammatory speeches.","Claude","Remember ""foment-ATION"" - the ACTion of fomenting trouble, stirring up heat and agitation in situations.","Claude","1","4","3","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"fond","Fond describes having a warm liking, affection, or tender feeling toward someone or something. When someone is fond of something, they have positive emotional attachment and enjoy or appreciate it. Fond can also describe memories, hopes, or beliefs that are cherished but may be unrealistic or overly optimistic. The word emphasizes gentle affection, pleasant attachment, and positive emotional connection.","adjective","FOND","From Middle English, possibly from ""fon"" meaning ""fool,"" originally meaning ""foolishly tender,"" later developing positive connotations.","Middle English","Claude","Claude","Claude","She had _______ memories of her grandmother's homemade apple pie.","Claude","Remember ""FOND"" - having warm feelings for someone or something, like a loving BOND of affection.","Claude","1","4","1","1","","2023; 2024; 2025","2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"fondant","Fondant is a sweet, pliable sugar paste used in candy making and cake decorating, known for its smooth texture and ability to be rolled, molded, and shaped into decorative elements. This confection is made primarily from sugar, water, and often glucose or cream of tartar, creating a malleable substance that can cover cakes or be formed into intricate decorations. Fondant provides a professional, smooth finish to baked goods and allows for detailed decorative work.","noun","FON-dant","From French ""fondant,"" literally meaning ""melting,"" from ""fondre"" meaning ""to melt,"" referring to its smooth, melt-in-the-mouth quality.","French","Claude","Claude","Claude","The wedding cake was covered in white _______ and decorated with delicate sugar flowers.","Claude","Remember ""FOND-ant"" - sweet sugar paste that's so smooth and pleasant you become FOND of using it for decorating.","Claude","1","4","1","2","","2021; 2022; 2023","2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf","One Bee; Two Bee","False","False",""
"fontina","Fontina is a cow's milk cheese that originated in the Aosta Valley of Italy, characterized by a semi-soft texture and a mild, nutty flavor that becomes more complex with age. This versatile cheese has a natural rind and pale yellow interior, making it excellent for both eating and cooking. Fontina melts well, making it popular in fondues, gratins, and other cooked dishes. The cheese represents traditional Italian dairy craftsmanship and regional culinary heritage.","noun","fon-TEE-nah","Named after Mount Fontin in the Aosta Valley of Italy, where this traditional cheese originated.","Italian","Claude","Claude","Claude","The chef used aged _______ cheese in the risotto to add a rich, nutty flavor.","Claude","Remember ""fon-TINA"" - Italian cheese from a mountain area, like a FOUNTAIN of creamy, nutty flavor.","Claude","1","4","1","1","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"food","Food refers to any nutritious substance that people, animals, or plants consume to maintain life and growth. This essential requirement for survival includes natural products like fruits, vegetables, grains, and meat, as well as processed items created from these basic ingredients. Food provides the energy, nutrients, and building blocks necessary for biological functions. The concept encompasses both sustenance and cultural, social, and emotional aspects of eating and cuisine.","noun","FOOD","From Old English ""fōda,"" related to ""feed"" and similar words in Germanic languages meaning ""nourishment.""","Old English","Claude","Claude","Claude","The community garden provided fresh, healthy _______ for local families.","Claude","Remember ""FOOD"" - what we need for survival and GOOD health, nourishment that fuels our bodies and mood.","Claude","1","4","1","1","","2023; 2024; 2025","2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"foods","Foods is the plural form of food, referring to multiple types of nutritious substances consumed for nourishment and energy. This plural encompasses the variety of edible items available to humans and animals, including different categories like proteins, carbohydrates, fats, fruits, vegetables, and processed items. Foods represent the diversity of dietary options and the range of nutritious substances that support life and health across different cultures and cuisines.","noun (plural)","FOODZ","Plural form of ""food,"" from Old English ""fōda,"" representing multiple types of nourishment.","Old English","Claude","Claude","Claude","The nutritionist recommended eating a variety of _______ from all major food groups.","Claude","Remember ""FOODS"" - multiple types of nourishment, all the different edible things that are GOOD for our health and moods.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"foolishness","Foolishness is the quality of being unwise, imprudent, or lacking good judgment, characterized by actions or decisions that demonstrate poor thinking or disregard for consequences. This abstract noun describes behavior that shows lack of intelligence, common sense, or practical wisdom. Foolishness can manifest as reckless actions, poor decision-making, or failure to consider obvious risks or outcomes. The word emphasizes the absence of wisdom and the negative results that typically follow.","noun","FOOL-ish-nis","From ""foolish"" (from ""fool,"" ultimately from Latin ""follis"" meaning ""bellows"" or ""empty bag"") plus the suffix ""-ness.""","Latin","Claude","Claude","Claude","The _______ of driving without insurance became apparent when he had the accident.","Claude","Remember ""FOOLISH-ness"" - the quality of being a FOOL, showing lack of wisdom and making poor choices.","Claude","2","4","3","3","","2020; 2024","2020 Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee","False","False",""
"foosball","Foosball is a table game simulating soccer, played with miniature figures attached to rotating rods that players manipulate to strike a ball toward goal areas. Also known as table soccer or table football in some regions, this game requires hand-eye coordination, quick reflexes, and strategic thinking. Foosball tables are common in game rooms, bars, and recreational facilities, providing entertainment and competitive play. The game combines skill, strategy, and social interaction.","noun","FOOS-bawl","From German ""Fussball"" meaning ""football"" (soccer), adapted for the table version of the game.","German","Claude","Claude","Claude","The college students spent hours playing _______ in the dormitory game room.","Claude","Remember ""FOOS-ball"" - table game that's a smaller version of FOOtball (soccer), played with spinning rods and tiny players.","Claude","1","4","1","2","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"foothills","Foothills are low hills situated at the base of mountains or mountain ranges, forming the transitional zone between flat plains and higher mountain terrain. These gentle slopes and rolling hills typically mark the beginning of mountainous regions and often contain distinctive ecosystems and communities. Foothills provide scenic beauty, recreational opportunities, and often favorable conditions for agriculture and settlement. They represent the gradual rise from valley floors to mountain peaks.","noun (plural)","FOOT-hilz","Compound word combining ""foot"" (base or bottom) and ""hills,"" referring to hills at the foot of mountains.","English","Claude","Claude","Claude","The small town nestled in the _______ offered stunning views of the snow-capped mountains.","Claude","Remember ""FOOT-hills"" - hills at the FOOT of mountains, the smaller slopes that lead up to bigger peaks.","Claude","2","4","1","1","","2020; 2021; 2022; 2023; 2024","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
"foozle","Foozle means to act clumsily or incompetently, particularly to bungle or botch something through careless or awkward handling. In golf, a foozle specifically refers to a mishit shot. The word describes actions that are poorly executed due to nervousness, lack of skill, or carelessness, resulting in disappointing or embarrassing outcomes. Foozle emphasizes the bumbling, awkward nature of failed attempts at tasks that should be straightforward.","verb, noun","FOO-zul","Of uncertain origin, possibly imitative of clumsy action, first recorded in the late 19th century in golf contexts.","English (uncertain origin)","Claude","Claude","Claude","The nervous player managed to _______ his first shot, sending the ball into the rough.","Claude","Remember ""FOOZLE"" - to fumble or bungle something, like when you FIZZLE out and make a clumsy mistake.","Claude","1","4","1","1","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"foppery","Foppery refers to excessive attention to clothing, appearance, and mannerisms, particularly behavior characterized by vanity, affectation, and preoccupation with fashion and style. This noun describes the actions and attitudes of someone who is overly concerned with looking fashionable and sophisticated, often to the point of appearing ridiculous or superficial. Foppery suggests pretentious attention to appearance at the expense of substance or genuine character.","noun","FOP-er-ee","From ""fop"" (a man excessively concerned with clothes and appearance) plus the suffix ""-ery,"" from Middle English.","Middle English","Claude","Claude","Claude","His constant _______ and obsession with designer clothes made him seem shallow to his colleagues.","Claude","Remember ""FOPP-ery"" - the behavior of a fop who shops obsessively for fashion, caring more about appearance than substance.","Claude","1","4","1","1","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"forage","Forage means to search for and gather food, especially in the wild, or refers to food for animals, particularly grass and other plants that livestock eat. As a verb, forage describes the act of seeking provisions by searching through available resources. As a noun, forage refers to the food itself, especially plant material consumed by grazing animals. The word emphasizes searching, gathering, and the natural process of finding sustenance in the environment.","verb, noun","FOR-ij","From Old French ""fourrage,"" from ""fourrer"" meaning ""to fodder,"" related to ""feurre"" (straw).","Old French","Claude","Claude","Claude","The deer would _______ in the meadow during the early morning hours.","Claude","Remember ""FORAGE"" - to search FOR food in nature, like animals looking for AGE-old sources of nourishment.","Claude","1","4","1","2","","2020; 2021","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"forbid","Forbid means to prohibit, ban, or refuse to allow something, typically by exercising authority or establishing rules. When someone forbids an action, they explicitly prevent it from happening through command, law, or strong disapproval. Forbidding implies the power to enforce prohibition and often carries consequences for disobedience. The word emphasizes authority, restriction, and the active prevention of unwanted actions or behaviors.","verb","fer-BID","From Old English ""forbeodan,"" combining ""for-"" (against) and ""beodan"" (to command), meaning ""to command against.""","Old English","Claude","Claude","Claude","The school rules _______ students from using mobile phones during class time.","Claude","Remember ""for-BID"" - to command against something, like making a BID for authority to stop unwanted actions.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"forbidden","Forbidden describes something that is prohibited, banned, or not allowed, typically by law, rule, or authority. When something is forbidden, it has been explicitly declared off-limits and engaging with it may result in punishment or consequences. Forbidden items, actions, or areas are those that people are specifically told to avoid or not access. The word carries connotations of transgression, danger, or moral boundaries that should not be crossed.","adjective, verb (past participle)","fer-BID-en","Past participle of ""forbid,"" from Old English ""forbeodan,"" meaning ""commanded against.""","Old English","Claude","Claude","Claude","Access to the _______ archive required special security clearance from the government.","Claude","Remember ""for-BIDD-en"" - something that has been commanded against, HIDDEN away because it's not allowed.","Claude","1","4","1","1","","2020; 2021","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"forbivorous","Forbivorous appears to be a rare or technical term that would describe organisms that feed on plants or plant material, similar to herbivorous but potentially with more specific botanical implications. This term might be used in scientific contexts to describe feeding behavior that focuses specifically on certain types of plant matter or plant structures. The word combines Latin roots related to plant feeding and consumption patterns.","adjective","for-BIV-or-us","Appears to combine Latin roots ""forb-"" (related to plants or herbs) and ""-vorous"" (feeding on), meaning ""plant-eating.""","Latin","Claude","Claude","Claude","The _______ insects specialized in consuming the tender leaves of flowering plants.","Claude","Remember ""forb-VOROUS"" - creatures that are voracious about eating FORBs (plants), specialized plant-eaters.","Claude","1","4","3","3","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"force","Force can refer to physical strength, energy, or power used to cause motion or change, or to the act of compelling someone to do something against their will. In physics, force is any influence that causes an object to undergo acceleration, and is measured in units like newtons. Force can also describe military units, police departments, or any organized group with power. The word emphasizes strength, compulsion, influence, and the ability to cause change or movement.","noun, verb","FORS","From Old French ""force,"" from Latin ""fortis"" meaning ""strong,"" emphasizing strength and power.","Latin, Old French","Claude","Claude","Claude","The _______ of gravity pulls all objects toward the center of the Earth.","Claude","Remember ""FORCE"" - power and strength that can change things, like a powerful source of energy and influence.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"forcefully","Forcefully means in a manner that shows strength, power, or intensity, or with vigorous and determined effort. When something is done forcefully, it is executed with considerable energy, conviction, or physical strength. The adverb can describe physical actions performed with power, or verbal expressions delivered with emphasis and determination. Forcefully suggests effectiveness through strength, intensity, and unwavering commitment.","adverb","FORS-ful-ee","From ""forceful"" (combining ""force"" and the suffix ""-ful"") plus the adverb suffix ""-ly.""","Latin, Old French","Claude","Claude","Claude","She argued _______ for the need to address climate change in the policy meeting.","Claude","Remember ""FORCE-fully"" - doing something with full FORCE, using all your power and determination effectively.","Claude","1","4","1","3","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"forearm","The forearm is the part of the human arm between the elbow and the wrist, containing two bones (the radius and ulna) and various muscles that control hand and finger movement. This anatomical region is essential for arm function, providing leverage for lifting and manipulating objects. The forearm contains muscles that control grip strength and fine motor movements of the hand. As a verb, forearm means to prepare or equip in advance for challenges or difficulties.","noun, verb","FOR-arm","Compound word from ""fore"" (before, in front) and ""arm,"" referring to the front part of the arm.","Old English","Claude","Claude","Claude","The tennis player strengthened her _______ muscles to improve her backhand swing.","Claude","Remember ""FORE-arm"" - the part of your arm that comes beFORE your hand, or to ARM yourself beFOREhand.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"forearms","Forearms is the plural form of forearm, referring to both the left and right parts of the arms between the elbows and wrists. These anatomical structures contain the muscles and bones necessary for complex hand and finger movements, grip strength, and arm rotation. Forearms are crucial for sports, manual labor, and daily activities requiring hand coordination. The word can also refer to multiple instances of preparing or equipping in advance.","noun (plural), verb","FOR-armz","Plural form of ""forearm,"" from ""fore"" (before) and ""arm.""","Old English","Claude","Claude","Claude","The rock climber's _______ were muscular from years of gripping challenging holds.","Claude","Remember ""FORE-arms"" - both arms from elbow to wrist, or arming yourself beforehand with multiple preparations.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
