word,definition,pronunciation,pronunciation_audio_url,example_sentence,etymology,etymology_source,memory_tip,fun_fact,difficulty_level,source_difficulty,source,source_url
cashier,"A person who handles payments and receipts in a store, bank, or other business establishment.",/kæˈʃɪr/,,The friendly _____ at the grocery store helped bag the groceries and wished everyone a pleasant day.,"From French caissier, from caisse 'money box'",Claude,Remember CASHIER: Customer And Store Handler In Exchange Routines - payment processor.,The first mechanical cash register was invented in 1879 by James Ritty to prevent employee theft in his saloon.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
casimir,"A type of fine, lightweight wool fabric with a twilled weave, used for making high-quality garments.",/ˈkæzɪˌmɪr/,,"The tailor chose _____ fabric for the elegant coat, appreciating its soft texture and durability.","Named after Kashmir, the region famous for fine wool textiles",Claude,Remember CASIMIR: Classic And Soft Material In Rich textures - fine wool fabric.,Casimir fabric was highly prized in 18th and 19th century Europe as a luxury material for formal wear.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
casino,A facility where gambling games are played; a building or room used for gambling and entertainment.,/kəˈsinoʊ/,,"The Las Vegas _____ featured slot machines, card tables, and elaborate shows for tourist entertainment.","From Italian casino, diminutive of casa 'house'",Claude,Remember CASINO: Chances And Stakes In Numbers Operations - gambling establishment.,"The first legal casino in America was opened in Nevada in 1931, leading to Las Vegas becoming the gambling capital.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cassandra,"In Greek mythology, a Trojan princess cursed to prophesy truly but never be believed; someone who predicts disaster.",/kəˈsændrə/,,The economist was dismissed as a _____ when she warned about the impending financial crisis.,"From Greek Kassandra, a mythological figure",Claude,Remember CASSANDRA: Correctly Anticipating Situations Seen As Negative Delivers Rejected Accurate predictions - unheeded prophet.,The term 'Cassandra complex' describes the psychological phenomenon of being unable to convince others of impending disaster.,Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
casserole,"A dish cooked slowly in an oven, typically containing meat and vegetables; or the deep dish used for cooking such meals.",/ˈkæsəˌroʊl/,,Grandmother's chicken and rice _____ was a family favorite during cold winter evenings.,"From French casserole, from Provençal cassa 'ladle'",Claude,Remember CASSEROLE: Cooked And Slow Simmered Excellent Recipe Over Low Eatables - baked dish.,Casseroles became popular in America during the Great Depression as a way to stretch ingredients and feed families economically.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cassock,"A full-length garment worn by clergy and church officials, typically black and reaching to the feet.",/ˈkæsək/,,The priest wore his traditional black _____ during the formal church ceremony.,"From French casaque, possibly from Turkish kazak 'vagabond'",Claude,Remember CASSOCK: Clerical And Sacred Spiritual Official Ceremonial Kostume - religious robe.,"The color of a cassock often indicates the wearer's rank: black for priests, purple for bishops, red for cardinals.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cast,To throw or hurl something; to shape metal or other material in a mold; or the actors in a play or movie.,/kæst/,,The fisherman was able to _____ his line perfectly into the center of the quiet pond.,From Old Norse kasta 'to throw',Claude,Remember CAST: Carefully Aimed Skillful Throw - to throw or shape.,"In theater, the 'cast' originally referred to the act of 'casting' actors into their roles, like casting metal into a mold.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
castalia,"In Greek mythology, a sacred spring on Mount Parnassus, sacred to Apollo and the Muses; source of poetic inspiration.",/kæˈsteɪliə/,,"The poet sought inspiration at _____, hoping the sacred waters would enhance her creative abilities.","From Greek Kastalia, the name of a mythological nymph transformed into a spring",Claude,Remember CASTALIA: Creative And Sacred Tale About Legendary Inspiring Apollo - mythological spring.,Castalia was considered the source of inspiration for the Oracle at Delphi and for poets seeking divine creativity.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
castellated,Having turrets and battlements like a castle; built with defensive architectural features resembling medieval fortifications.,/ˈkæstəˌleɪtɪd/,,The Victorian mansion featured a _____ roofline that gave it the appearance of a medieval fortress.,From Latin castellum 'fortress' + -ated,Claude,Remember CASTELLATED: Castle And Structure Themed Elaborate Luxury Lofty Architecture Together Elaborate Design - castle-like.,Many 19th-century buildings adopted castellated architecture to evoke romantic notions of medieval chivalry and nobility.,Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
castigate,To reprimand or criticize someone severely; to punish or rebuke harshly for wrongdoing.,/ˈkæstɪˌɡeɪt/,,The teacher chose to _____ the students privately rather than embarrass them in front of their classmates.,"From Latin castigatus, from castigare 'to correct, punish'",Claude,Remember CASTIGATE: Critiquing And Severely Telling Individual Groups About Their Errors - harsh criticism.,"The word originally implied correction and improvement, not just punishment, reflecting the educational purpose of discipline.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
castilian,"Relating to Castile, a historical region of Spain; or the standard form of Spanish language originating from this region.",/kæˈstɪliən/,,The language school emphasized proper _____ pronunciation to help students learn standard Spanish.,"From Castile, the historical Spanish kingdom + -ian",Claude,Remember CASTILIAN: Central And Standard Traditional Imperial Language In Authentic Notable Spanish - Spanish from Castile.,Castilian Spanish became the standard form of the language because the Kingdom of Castile unified much of Spain.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
castle,"A large fortified building or complex of buildings, typically from medieval times; a stronghold or fortress.",/ˈkæsəl/,,The ancient _____ on the hilltop had served as both a royal residence and a military fortress.,"From Old English castel, from Latin castellum 'fortress'",Claude,Remember CASTLE: Commanding And Strong Tall Landmark Establishment - fortified building.,"The largest castle in the world is Prague Castle, covering 70,000 square meters and dating back to the 9th century.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
castor,"A beaver; or castor oil, derived from castor beans and used medicinally; or a small wheel on furniture legs.",/ˈkæstər/,,"The old medicine cabinet contained a bottle of _____ oil, once commonly used as a home remedy.","From Latin castor 'beaver', from Greek kastor",Claude,Remember CASTOR: Chemical And Substance Treatment Oil Resource - beaver or medicinal oil.,Castor oil was once so commonly used as a medicine that 'taking castor oil' became synonymous with unpleasant but necessary treatment.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
casualty,A person killed or injured in a war or accident; a victim of unfortunate circumstances.,/ˈkæʒuəlti/,,The first _____ of the storm was the old oak tree that fell across the main road.,"From Medieval Latin casualitas, from casualis 'by chance'",Claude,Remember CASUALTY: Circumstance And Situation Usually Affects Life Through Yield - victim of misfortune.,"The term originally referred to any accident or chance event, before becoming specifically associated with war injuries.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catachresis,The use of a word in a way that is not correct; misuse of language or strained metaphor in rhetoric.,/ˌkætəˈkrisɪs/,,The poet's use of _____ created an intentionally jarring effect by combining incompatible metaphors.,"From Greek katachresis, from katachresthai 'to misuse'",Claude,Remember CATACHRESIS: Combining And Twisting All Commonly Held Rhetorical Expressions Strangely In Speech - misuse of language.,"Shakespeare often used catachresis deliberately to create striking poetic effects, as in 'take arms against a sea of troubles.'",Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cataclysmic,Involving or resulting in large-scale and violent upheaval; extremely disruptive or destructive.,/ˌkætəˈklɪzmɪk/,,"The asteroid impact had _____ effects on Earth's climate, leading to mass extinctions.",From Greek kataklysmos 'deluge' + -ic,Claude,Remember CATACLYSMIC: Catastrophic And Totally Altering Climate Leading Yielding Serious Massive Impact Changes - extremely destructive.,"The word originally referred to Noah's flood, but geologists now use it to describe major environmental disasters.",Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catadromous,"Describing fish that live in fresh water but migrate to the ocean to spawn, like eels.",/kəˈtædrəməs/,,The American eel is a _____ species that travels thousands of miles to breed in the Sargasso Sea.,From Greek kata 'down' + dromos 'running',Claude,Remember CATADROMOUS: Certain Aquatic Types Always Descend Rivers Ocean Migration Usually Spawning - fresh to salt water migration.,"This is the opposite of anadromous fish like salmon, which live in salt water but spawn in fresh water.",Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catalepsy,"A medical condition characterized by rigid muscles and fixed posture, often associated with psychiatric disorders.",/ˈkætəˌlɛpsi/,,The patient experienced episodes of _____ where she remained motionless for hours at a time.,"From Greek katalepsis, from katalambanein 'to seize'",Claude,Remember CATALEPSY: Condition And Total And Long Extended Physical Suspension - rigid muscle condition.,"Catalepsy was once thought to be supernatural possession, but is now understood as a neurological symptom.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catalina,A type of casual women's swimsuit; or referring to Santa Catalina Island off the California coast.,/ˌkætəˈlinə/,,"She wore a vintage-style _____ swimsuit to the beach party, complete with a modest neckline.",Named after Saint Catherine (Santa Catalina in Spanish),Claude,Remember CATALINA: Coastal And Tropical Alternative Ladies In Natural Attire - swimsuit or island name.,Catalina Island became famous as a Hollywood filming location and vacation destination in the early 20th century.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catalo,"A hybrid animal produced by crossing domestic cattle with American bison, combining traits of both species.",/ˈkætəˌloʊ/,,The rancher experimented with raising _____ to produce meat with lower fat content than traditional beef.,Blend of cattle + buffalo (bison),Claude,Remember CATALO: Cattle And Trusted Animals Living Optimally - cattle-bison hybrid.,Catalo breeding was promoted in the early 1900s as a way to combine the hardiness of bison with the docility of cattle.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catalyst,A substance that accelerates a chemical reaction without being consumed; a person or thing that precipitates change.,/ˈkætəlɪst/,,"The new CEO served as a _____ for organizational change, inspiring innovation throughout the company.","From Greek katalysis 'dissolution', from katalyein 'to loosen'",Claude,Remember CATALYST: Chemical And Transformative Agent Leading Yet Stays Unchanged - reaction accelerator.,Enzymes in living organisms are biological catalysts that speed up essential life processes by millions of times.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cataphora,A linguistic device where a pronoun or word refers to a later word or phrase in the text.,/kəˈtæfərə/,,"In the sentence 'When he arrived, John was surprised,' the pronoun 'he' is an example of _____.","From Greek kataphora, from kata 'down' + pherein 'to carry'",Claude,Remember CATAPHORA: Coming And Telling About Phrases Happening Or Referenced Ahead - forward reference.,"Cataphora is the opposite of anaphora, where a word refers back to an earlier word in the text.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catapults,Ancient siege weapons that launch projectiles; things that propel or launch something forcefully.,/ˈkætəˌpʌlts/,,The medieval army used massive _____ to hurl stones at the castle walls during the siege.,"From Greek katapeltes, from kata 'down' + pallein 'to hurl'",Claude,Remember CATAPULTS: Clever And Tactical Artillery Projectile Units Launch Through Strength - siege weapons.,"Modern aircraft carriers use steam catapults to launch planes, reaching speeds of 150 mph in just 2 seconds.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catarrh,"Inflammation of mucous membranes, especially in the nose and throat, causing congestion and discharge.",/kəˈtɑr/,,The doctor diagnosed her persistent cough and congestion as chronic _____.,"From Greek katarrhous, from kata 'down' + rhein 'to flow'",Claude,Remember CATARRH: Congestion And Thick Accumulation Restricts Respiratory Health - mucous membrane inflammation.,"The term was once used broadly for any condition involving excessive mucus production, from colds to consumption.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catastrophe,A sudden disaster or extremely unfortunate event causing great damage or suffering.,/kəˈtæstrəfi/,,The earthquake was a natural _____ that affected thousands of families in the region.,"From Greek katastrophe, from kata 'down' + strephein 'to turn'",Claude,Remember CATASTROPHE: Calamitous And Terrible And Severe Tragic Ruinous Overwhelming Painful Event - disaster.,"In ancient Greek drama, catastrophe referred to the final part of a tragedy where the plot was resolved.",Intermediate,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
catch,To capture or seize something in motion; to intercept; to become infected with something.,/kætʃ/,,The outfielder made a spectacular diving _____ to prevent the ball from reaching the fence.,"From Old French cachier 'to hunt, chase'",Claude,Remember CATCH: Capture And Take Coordinated Hand movement - to seize or intercept.,"The phrase 'catch-22' comes from Joseph Heller's novel, describing a paradoxical or inescapable situation.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catching,Contagious or infectious; likely to spread from person to person; or the act of seizing something.,/ˈkætʃɪŋ/,,"Her enthusiasm for the project was _____, inspiring everyone on the team to work harder.",From catch + -ing,Claude,Remember CATCHING: Contagious And Transmissible Characteristics Having Infectious Nature Globally - spreading or seizing.,Yawning is famously 'catching' - seeing someone yawn can trigger yawning in about 60% of people due to mirror neurons.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catechism,"A summary of religious doctrine in the form of questions and answers, used for instruction in Christian faith.",/ˈkætəˌkɪzəm/,,The children studied the _____ to prepare for their confirmation ceremony at church.,"From Greek katechismos, from katechein 'to instruct orally'",Claude,Remember CATECHISM: Church And Teaching Everyone Christian Heritage In Structured Manner - religious instruction.,"Martin Luther's Small Catechism, written in 1529, became one of the most influential religious education texts in history.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
categorically,In an absolute or unconditional manner; without exception or qualification; unambiguously.,/ˌkætəˈɡɔrɪkli/,,"The senator _____ denied any involvement in the scandal, refusing to consider alternative explanations.","From categorical + -ly, from Greek kategorikos",Claude,Remember CATEGORICALLY: Completely And Totally Explicitly Giving Obvious Responses In Clear And Logical Language Yielding - absolutely.,Immanuel Kant distinguished between 'categorical' and 'hypothetical' imperatives in his moral philosophy.,Intermediate,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
caterpillar,"The larval stage of a butterfly or moth, characterized by a segmented body and multiple legs.",/ˈkætərˌpɪlər/,,The hungry _____ munched through several leaves before beginning its transformation into a chrysalis.,"From Old French chatepelose, literally 'hairy cat'",Claude,Remember CATERPILLAR: Creature And Tiny Eating Room Preparing Important Larval Life And Reorganization - butterfly larva.,A caterpillar increases its body weight by thousands of times during its growth period before pupating.,Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cathect,"In psychoanalysis, to invest emotional energy in a person, object, or idea; to form an emotional attachment.",/kəˈθɛkt/,,The therapist explained how patients sometimes _____ their feelings onto inanimate objects during treatment.,"From Greek kathexis, from kata 'down' + hexis 'holding'",Claude,Remember CATHECT: Concentrating And Thinking Heavily Emotionally Connected To - emotional investment.,The term was introduced by Freud's translators to explain the concept of libidinal energy attachment in psychoanalytic theory.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
cathedral,"A large and important Christian church, typically the seat of a bishop; any large or impressive building.",/kəˈθidrəl/,,"The Gothic _____ took over two centuries to complete, with its soaring spires visible from miles away.","From Greek kathedra 'seat', referring to the bishop's throne",Claude,Remember CATHEDRAL: Central And Towering Holy Ecclesiastical Distinctive Religious And Liturgical building - large church.,Notre-Dame de Paris took 182 years to build and inspired Victor Hugo's famous novel 'The Hunchback of Notre-Dame.',Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
catherine,A feminine given name; also refers to various saints named Catherine in Christian tradition.,/ˈkæθərɪn/,,_____ the Great ruled Russia for 34 years and expanded the empire significantly during her reign.,"From Greek Aikaterine, possibly meaning 'pure'",Claude,Remember CATHERINE: Classic And Traditional Historical Everyone Remembers In Notable Examples - feminine name.,"Saint Catherine of Alexandria is the patron saint of philosophers, students, and universities.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
cathode,The negatively charged electrode in an electrical device; the electrode where reduction occurs in electrolysis.,/ˈkæθoʊd/,,The electronics technician replaced the damaged _____ in the vacuum tube radio.,"From Greek kathodos, from kata 'down' + hodos 'way'",Claude,Remember CATHODE: Current And Terminal Having Opposite Designation Electrically - negative electrode.,Cathode ray tubes (CRTs) were the technology behind old television and computer monitors before LCD screens.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catjang,"A type of cowpea or black-eyed pea, commonly grown in Asia and Africa as a food crop.",/ˈkætˌdʒæŋ/,,The farmer planted _____ beans as a protein-rich crop that could improve the soil's nitrogen content.,From Malay kacang 'bean',Claude,Remember CATJANG: Cultivated Asian Type Just Another Nutritious Growing bean - type of cowpea.,"Catjang beans are drought-resistant and can grow in poor soils, making them valuable in subsistence farming.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
catnap,"A short sleep taken during the day; a brief nap, typically lasting 10-30 minutes.",/ˈkætˌnæp/,,"After lunch, she took a quick _____ at her desk to recharge for the afternoon meetings.","From cat + nap, referring to cats' habit of taking short sleeps",Claude,Remember CATNAP: Comfortable And Therapeutic Napping And Peaceful rest - short sleep.,Research shows that a 20-minute catnap can improve alertness and cognitive performance without causing grogginess.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
