word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
yourself,(reflexive pronoun) Your own self (singular).,/jɔːˈsɛlf/,You must believe in ____ to succeed.,"From your + self, reflexive pronoun",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
yttriferous,,,The ____ mineral contained rare earth elements.,"From yttrium + -ferous (bearing), containing yttrium",Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yuga,"In Hindu theology, an epoch or era within a cycle of four ages: the Satya Yuga (or Krita Yuga), the Dvapara Yuga, the Treta Yuga and finally the Kali Yuga, with lengths ranging from 432,000 to 1,728,000 years.",,"According to Hindu cosmology, we live in the current ____.","From Sanskrit yuga, meaning age or cosmic cycle",Claude,Dictionary API,Dictionary API,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
yuloh,,,The sailor used a ____ to propel the boat through calm waters.,"From Chinese yu (oar) + lo (scull), type of oar",Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
yurt,"A large, round, semi-permanent tent with vertical walls and a conical roof, usually associated with Central Asia and Mongolia (where it is known as a ger).",/jɜːt/,The ____ was an important part of the story.,Etymology of yurt from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
yuzu,"A citrus fruit originating in East Asia, Citrus ichangensis x Citrus reticulata var. austera.",,The ____ was an important part of the story.,Etymology of yuzu from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zabaglione,"A custard-like dessert made with egg yolks, sugar and Marsala wine.",/ˌzæbəˈljəʊnɪ/,The ____ was an important part of the story.,Etymology of zabaglione from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
zacate,,,The ____ was an important part of the story.,Etymology of zacate from historical linguistic sources,Claude,,,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zaibatsu,"A Japanese ‘money clique’ or conglomerate; (by extension) in the United States, any large corporation.",/ˈzaɪˌbætsu/,The powerful ____ controlled much of Japanese industry.,Etymology of zaibatsu from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zamboni,,,The ____ was an important part of the story.,Etymology of zamboni from historical linguistic sources,Claude,,,Claude,2021; 2022; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zamboniblarney,,,The ____ was an important part of the story.,Etymology of zamboniblarney from historical linguistic sources,Claude,,,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
zanni,,,The ____ was an important part of the story.,Etymology of zanni from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zapateado,A dance of Mexican Indian origin characterized by a lively rhythm punctuated by the striking of the dancer's shoes.,,The ____ was an important part of the story.,Etymology of zapateado from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
zazen,A form of seated meditation in Zen Buddhism.,/zɑːˈzɛn/,The ____ was an important part of the story.,Etymology of zazen from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2021; 2024,2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee,Elementary; Advanced
zazencabochon,,,The ____ was an important part of the story.,Etymology of zazencabochon from historical linguistic sources,Claude,,,Claude,2020; 2022,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
zdarsky,,,The ____ was an important part of the story.,Etymology of zdarsky from historical linguistic sources,Claude,,,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zebra,"Any of three species of genus Equus: E. grevyi, E. quagga, or E. zebra, all with black and white stripes and native to Africa.",/ˈziːbɹə/,The ____ was an important part of the story.,Etymology of zebra from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Elementary; Intermediate
zebras,"Any of three species of genus Equus: E. grevyi, E. quagga, or E. zebra, all with black and white stripes and native to Africa.",,The ____ was an important part of the story.,Etymology of zebras from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
zeitgeist,"The spirit of the age; the taste, outlook, and spirit characteristic of a period.",/ˈtsaɪtɡaɪst/,The art movement captured the ____ of the era.,Etymology of zeitgeist from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zemi,,,The ____ was an important part of the story.,Etymology of zemi from historical linguistic sources,Claude,,,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zeppelin,"A type of large German dirigible airship of the early 20th century, designed to carry passengers or bombs.",,The ____ floated majestically across the sky.,Etymology of zeppelin from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zeus,,,The ____ was an important part of the story.,Etymology of zeus from historical linguistic sources,Claude,,,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
ziggurat,"A temple tower of the ancient Mesopotamian valley, having the form of a terraced pyramid of successively receding stories",/ˈzɪɡəˌɹæt/,The ancient ____ temple tower dominated the skyline.,Etymology of ziggurat from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
zimbabwe,,,The ____ was an important part of the story.,Etymology of zimbabwe from historical linguistic sources,Claude,,,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
zimocca,,,The ____ was an important part of the story.,Etymology of zimocca from historical linguistic sources,Claude,,,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zirconium,"A chemical element (symbol Zr) with an atomic number of 40, a strong, lustrous, grey-white transition metal mainly used as a refractory and opacifier.",/zɜːɹˈkoʊniəm/,The ____ was an important part of the story.,Etymology of zirconium from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zither,"A musical instrument consisting of a flat sounding box with numerous strings placed on a horizontal surface, played with a plectrum or fingertips.",/ˈzɪ.ðə/,The musician plucked the strings of the ____.,Etymology of zither from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zithersustain,,,The ____ was an important part of the story.,Etymology of zithersustain from historical linguistic sources,Claude,,,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
zocalo,,,The ____ was an important part of the story.,Etymology of zocalo from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zodiac,"The belt-like region of the celestial sphere approximately eight degrees north and south of the ecliptic which include the apparent path of the sun, moon, and visible planets.",/ˈzəʊ.dɪ.æk/,She studied her ____ sign in the astrology book.,Etymology of zodiac from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Elementary
zoetic,,,The ____ was an important part of the story.,Etymology of zoetic from historical linguistic sources,Claude,,,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
zoolatry,The worship of animals.,/zuːˈɒlətɹi/,The ____ was an important part of the story.,Etymology of zoolatry from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zoomed,To communicate with someone using the Zoom videoconferencing software.,,The ____ was an important part of the story.,Etymology of zoomed from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
zortzico,,,The ____ was an important part of the story.,Etymology of zortzico from historical linguistic sources,Claude,,,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zowie,An indication of astonishment or admiration.,/ˈzaʊɪ/,The ____ was an important part of the story.,Etymology of zowie from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zugzwang,A situation in which a player is forced to make a disadvantageous move.,/ˈtsuːktsvaŋ/,The ____ was an important part of the story.,Etymology of zugzwang from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zugzwangterre,,,The ____ was an important part of the story.,Etymology of zugzwangterre from historical linguistic sources,Claude,,,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
zurna,,,The ____ was an important part of the story.,Etymology of zurna from historical linguistic sources,Claude,,,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
zydeco,"A form of Louisiana Creole music, characteristically performed by accordion and washboard bands, that combines Cajun and Creole roots music with elements of African American music.",,The Louisiana ____ music featured accordion and washboard.,Etymology of zydeco from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
zygote,A fertilized egg cell.,/ˈzaɪɡəʊt/,The fertilized ____ began dividing into multiple cells.,Etymology of zygote from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2022; 2023,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
