word,definition,pronunciation,etymology,memory_tip,example_sentence,part_of_speech,source,source_difficulty,claude_difficulty,phonetic_score,frequency_score,morphological_score,etymology_score,total_score
service,"The action of helping or providing assistance to others; work performed for someone else or for a community, organization, or cause. Service encompasses a wide range of activities from professional services (medical, legal, financial) to public service (government, military, emergency response) to personal service (hospitality, retail, domestic help). The concept includes both paid employment and voluntary work performed for the benefit of others. Quality service involves meeting or exceeding customer expectations, providing value, and maintaining professional standards. In religious contexts, service refers to worship ceremonies or devotional acts. Military service involves duty to one's country. The term also applies to the maintenance and repair of equipment, vehicles, or systems. Service emphasizes contribution to others' welfare and needs.",/ˈsɜrvɪs/,"From Old French service, from Latin servitium meaning slavery or service.","Think ""SERV-ICE"" - serving others, whether in ice-cold professionalism or warm hospitality.",The restaurant was known for its excellent food and exceptional customer _____.,noun/verb,Scripps National Spelling Bee,Three Bee,,0.1,1.5,0.4,1.0,3.0
services,"Plural of service, referring to multiple forms of work performed for others, assistance provided, or systems that supply public needs. Services encompass various categories including professional services (healthcare, education, legal, financial), public services (utilities, transportation, emergency response), and personal services (hospitality, retail, entertainment). In economics, the service sector represents a major portion of modern economies, distinguished from goods-producing industries. Digital services include online platforms, software applications, and technological solutions. Religious services are organized worship gatherings or ceremonies. The term can also refer to maintenance and repair work performed on equipment, vehicles, or systems. Services emphasize meeting human needs through expertise, assistance, and support rather than through physical products.",/ˈsɜrvɪsɪz/,"Plural of service, from Old French service, from Latin servitium.","Think ""SERV-ICES"" - multiple types of service, like different flavors of assistance.","The company expanded its _____ to include consulting, training, and technical support.",noun (plural),Scripps National Spelling Bee,One Bee,,0.1,1.5,0.7,1.0,3.3
servitude,"The state of being enslaved or subject to someone in a position of authority; a condition of forced or compulsory service where personal freedom is severely restricted. Servitude can take various forms, from historical slavery and indentured labor to modern forms of human trafficking and debt bondage. The term encompasses situations where individuals are compelled to work against their will, often under threat of punishment or due to coercion. Legal servitude historically included systems where people owed labor obligations in exchange for land use or protection. In property law, servitude refers to a burden placed on land for the benefit of another property. The concept represents a fundamental violation of human rights and personal autonomy, and international law prohibits all forms of involuntary servitude. Modern anti-trafficking efforts focus on identifying and eliminating contemporary forms of servitude.",/ˈsɜrvɪˌtud/,"From Latin servitudo meaning slavery or bondage, from servus meaning slave.","Think ""SERV-ITUDE"" - an attitude of being forced to serve others without freedom.",The 13th Amendment to the Constitution abolished slavery and involuntary _____.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,2.0,0.7,1.0,3.8
sesame,"An annual flowering plant (Sesamum indicum) cultivated for its small, oil-rich seeds that are used as food and flavoring in cuisines worldwide. Sesame seeds are prized for their nutty flavor and nutritional value, containing high levels of healthy fats, protein, fiber, and minerals including calcium and magnesium. The seeds are commonly used in baking, cooking, and as garnishes, particularly in Middle Eastern, Asian, and Mediterranean cuisines. Tahini, a paste made from ground sesame seeds, is a key ingredient in hummus and other dishes. Sesame oil is valued for cooking and flavoring, particularly in Asian cuisine. The phrase ""open sesame"" from Arabian Nights folklore has made the word synonymous with magical access or passwords. Sesame cultivation dates back thousands of years and the plant is considered one of humanity's oldest oil crops.",/ˈsɛsəmi/,"From Latin sesamum, from Greek σήσαμον (sesamon), possibly from a Semitic language.","Think ""SES-A-ME"" - seeds that give me (ses-a-me) great flavor in cooking.",The bagel was topped with _____ seeds that added a nutty flavor and crunchy texture.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0.4,1.0,2.5
sesquipedalian,"Characterized by the use of long words; having many syllables or characterized by sesquipedality. The term ironically exemplifies what it describes - it is itself a long, multisyllabic word. Sesquipedalian language or writing style involves the use of unnecessarily long or complex words when simpler alternatives would suffice, often creating an impression of pomposity or pretentiousness. While extensive vocabulary can demonstrate education and precision, sesquipedalian tendencies may hinder clear communication by making text difficult to understand. In linguistics and rhetoric, the term describes a style that prioritizes impressive-sounding words over clarity and accessibility. Some academic and technical writing is necessarily sesquipedalian due to precise terminology requirements, but deliberate use of complex words for their own sake is generally discouraged in effective communication.",/ˌsɛskwɪpɪˈdeɪliən/,"From Latin sesquipedalis meaning a foot and a half long, from sesqui (one and a half) + pes (foot).","Think ""SESQUI-PEDALIAN"" - words that are one-and-a-half feet long, like this very word!",The professor's _____ lecture style made simple concepts unnecessarily difficult to understand.,adjective,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,2.0,1.2,1.0,4.3
sessile,"In biology, describing organisms that are permanently attached to a surface and cannot move from place to place, such as barnacles, corals, many plants, and certain marine animals. Sessile organisms have evolved various strategies to obtain food, reproduce, and survive without the ability to relocate, often developing specialized feeding mechanisms, reproductive systems, and defensive adaptations. Examples include sea anemones that filter food from water currents, barnacles that extend feathery appendages to capture plankton, and plants that rely on wind or animals for pollination and seed dispersal. In botany, sessile also describes plant parts that lack stalks or stems, such as leaves that attach directly to branches without petioles. The sessile lifestyle presents both advantages (energy conservation, stable environment) and challenges (limited resource access, vulnerability to local environmental changes).",/ˈsɛsaɪl/,"From Latin sessilis meaning able to sit, from sedere meaning to sit.","Think ""SESS-ILE"" - organisms that sit in one place for their whole session of life.",The _____ coral polyps could not move to escape the rising water temperatures.,adjective,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.5,0.4,1.0,3.0
seton,"A medical device consisting of a thread, wire, or tube that is passed through tissue to create and maintain an artificial opening for drainage or healing purposes. Setons are commonly used in treating certain types of abscesses, fistulas, and anal conditions where conventional surgery might cause complications. The device allows infected material to drain while keeping the pathway open, promoting healing from the inside out. In veterinary medicine, setons may be used to treat similar conditions in animals. The placement of a seton requires surgical skill and careful monitoring to ensure proper healing and prevent complications. Historical medical texts describe various types of setons made from different materials including silk, horsehair, and metal wires. Modern setons are typically made from synthetic materials designed to be biocompatible and minimize tissue reaction.",/ˈsiːtən/,"From Latin seta meaning bristle or hair, referring to the thread-like device.","Think ""SET-ON"" - a device that's set on or through tissue for medical drainage.",The surgeon placed a _____ to allow the infected area to drain properly during healing.,noun,Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,1.0,0,1.0,2.1
setondemerits,"[COMBINED WORD ERROR] This appears to be multiple words combined: ""seton"" (a medical drainage device), ""de"" (a preposition), and ""merits"" (good qualities or advantages). This combination likely resulted from a data processing error where separate dictionary entries were merged without proper spacing. The correct format should separate these as distinct words with their individual meanings and contexts.",/ˈsiːtəndɪˈmɛrɪts/,Error combination of Latin seta (seton) + Latin de + merits,"This is a combined word error - look for the separation between seton, de, and merits.",The data contained an error where _____ appeared instead of three separate words.,error,Scripps National Spelling Bee,One Bee,,0.1,2.0,1.0,1.0,4.1
sets,"Plural of set, referring to multiple groups, collections, or arrangements of related items, people, or concepts organized together according to shared characteristics or purposes. Sets can describe physical objects (a set of dishes, tools, or books), mathematical concepts (collections of numbers or elements), or abstract groupings (sets of rules, principles, or ideas). In mathematics, sets are fundamental concepts representing collections of distinct objects considered as a whole. Theater sets are constructed environments for dramatic performances. Exercise sets involve repeated sequences of physical movements. The term emphasizes organization, completeness, and the relationship between individual elements that belong together. Sets can be finite or infinite, overlapping or distinct, depending on the context and defining criteria.",/sɛts/,"Plural of set, from Old English settan meaning to place or put.","Think ""SETS"" - multiple groups that are set together for specific purposes.",The mathematics student learned about different _____ of numbers including integers and rational numbers.,noun (plural)/verb,Scripps National Spelling Bee,Three Bee,,0.1,0.5,0,0.3,0.8999999999999999
settee,"A piece of furniture designed for seating two or more people, similar to a sofa but typically smaller and more formal in design, often featuring upholstered seats and backs with wooden frames. Settees originated in the 17th century as elegant seating furniture for drawing rooms and parlors, representing a bridge between individual chairs and larger sofas. Traditional settees often feature distinctive styling with carved wooden legs, decorative upholstery, and proportions that accommodate intimate conversation while maintaining formal appearance. The design typically includes arms and a back, distinguishing it from benches, but remains more compact than full-sized sofas. Modern settees may serve various purposes including entryway seating, bedroom furniture, or accent pieces in living areas. The term reflects historical furniture terminology and remains popular in describing certain styles of compact, elegant seating.",/sɛˈti/,"Possibly a variant of settle, influenced by French furniture terminology.","Think ""SET-TEE"" - a place where you can set down for tea with a friend.",The antique _____ in the parlor was upholstered in rich velvet fabric.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0.4,0.7,2.2
settle,"To establish residence in a new place; to resolve a dispute or disagreement; to become calm or stable after a period of activity or disturbance. The word encompasses various meanings including making a home in a location, reaching agreement on contested issues, paying debts or obligations, and achieving a state of rest or equilibrium. Settling can involve physical actions (settling into a chair), emotional states (settling nerves), or social processes (settling differences). In legal contexts, settling refers to resolving disputes outside of court through negotiation and agreement. Environmental settling involves particles sinking through liquids due to gravity. The term emphasizes transition from activity to stability, from conflict to resolution, or from temporary to permanent arrangements.",/ˈsɛtəl/,"From Old English setlan meaning to place, seat, or colonize.","Think ""SET-TLE"" - to set something down until it's stable and settled.",The family decided to _____ in the small town after years of traveling.,verb,Scripps National Spelling Bee,One Bee,,0.1,1.0,0.4,0.3,1.8
seul,"A French word meaning ""alone"" or ""only,"" used in English primarily in specific contexts such as dance (particularly ballet), literature, or when describing solitary performances or activities. In ballet terminology, ""seul"" may appear in combination with other French terms to describe solo movements or positions performed by a single dancer. The word emphasizes solitude, independence, or the state of being without others. In literary or artistic contexts, seul might be used to convey a sense of isolation, contemplation, or individual expression. While primarily a French word, it occasionally appears in English texts to add nuance or cultural specificity, particularly in discussions of French culture, literature, or performance arts. The usage reflects the international nature of certain artistic vocabularies.",/sœl/,"From French seul meaning alone, from Latin solus meaning alone or only.","Think ""SOUL"" - when you're seul (alone), you're just with your soul.",The dancer performed a beautiful _____ variation that showcased her technical skill.,adjective,Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,0.5,0,1.0,1.6
seven,"The cardinal number following six and preceding eight, represented by the numeral 7. Seven has significant cultural, religious, and symbolic importance across many civilizations, appearing in contexts such as the seven days of the week, seven deadly sins, seven wonders of the ancient world, and seven colors of the rainbow. In mathematics, seven is a prime number divisible only by one and itself. The number appears frequently in folklore, mythology, and religious texts, often associated with completeness, perfection, or spiritual significance. Psychological research suggests seven is near the limit of items that can be held in short-term memory simultaneously. The concept of ""lucky seven"" appears in various gambling and cultural contexts. Seven-based systems appear in music (seven notes in major scales), literature, and numerous other fields.",/ˈsɛvən/,"From Old English seofon, related to German sieben and Latin septem.","Think ""SEV-EN"" - the number that comes after six and gives us seven days per week.",There are _____ continents on Earth according to the most common geographic classification.,number/noun,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0,1.0,2.1
seventh,"The ordinal number corresponding to the position of seven in a sequence; coming after the sixth and before the eighth in order. Seventh can refer to one of seven equal parts of a whole, as in ""one-seventh of the pie."" In music, a seventh is an interval spanning seven scale degrees, creating harmonies that add complexity and color to musical compositions. The term appears in various cultural and religious contexts, such as the seventh day of the week (traditionally a day of rest), seventh heaven (a state of bliss), or seventh-grade education. Mathematical contexts use seventh to describe position, fractions, or sequence order. The word emphasizes numerical order and fractional relationships, whether in time, space, music, or abstract concepts.",/ˈsɛvənθ/,"From seven + -th ordinal suffix, from Old English seofoða.","Think ""SEVEN-TH"" - the ordinal form of seven, showing position in sequence.","She finished in _____ place in the marathon, just missing her goal of a top-five finish.",adjective/noun,Scripps National Spelling Bee,Three Bee,,0.1,1.5,0.4,0.3,2.3
several,"More than two but not many; an indefinite number that is more than a few but less than many. Several indicates a quantity that is greater than ""a couple"" but smaller than ""many,"" typically suggesting anywhere from three to perhaps eight or ten items, depending on context. The word provides useful approximation when exact numbers are unknown, unnecessary, or deliberately vague. Several can apply to countable objects, people, time periods, or abstract concepts. In legal contexts, ""several"" can mean individual or distinct, as in ""several liability"" where each party is responsible only for their own portion. The term offers flexibility in communication, allowing speakers to indicate meaningful quantity without precision. Usage often depends on relative context - several books might mean three to five, while several people at a concert might suggest dozens.",/ˈsɛvərəl/,"From Anglo-French several, from Latin separalis meaning separate or distinct.","Think ""SEVER-AL"" - more than a few, but you could sever them into separate, countable groups.",The research team conducted _____ experiments before reaching their final conclusions.,determiner/pronoun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.5,0.4,1.0,3.0
severance,"The action of ending a connection or relationship; separation or division of something that was previously joined or united. In employment contexts, severance refers to the termination of the employment relationship, often accompanied by severance pay or benefits provided to departing employees. Severance packages may include financial compensation, continued health insurance, and other benefits to help employees transition to new employment. The term can apply to cutting physical connections (severance of cables), ending relationships (severance of diplomatic ties), or legal separation (severance of joint ownership). Medical severance involves cutting or separating anatomical structures. Legal severance may divide complex cases or separate co-defendants. The concept emphasizes the deliberate act of cutting or separating what was previously connected or unified.",/ˈsɛvərəns/,"From sever + -ance suffix, where sever comes from Latin separare meaning to separate.","Think ""SEVER-ANCE"" - the action of severing or separating connections.",The company offered a generous _____ package to employees affected by the downsizing.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,2.0,0.7,1.0,3.8
severe,"Extremely serious, harsh, or demanding; characterized by great intensity, strictness, or difficulty that may cause hardship or challenge. Severe conditions, whether weather, medical, or social, require significant attention and often specialized responses due to their intensity or potential consequences. The term describes situations that are notably more serious than normal or expected, such as severe storms, severe illnesses, or severe penalties. Severe can characterize people who are strict, demanding, or uncompromising in their approach to rules, standards, or behavior. In medical contexts, severe symptoms indicate conditions requiring immediate attention or intensive treatment. The word emphasizes the gravity, intensity, or harshness of situations that may test human endurance, patience, or capability. Severe circumstances often require extraordinary measures or responses.",/sɪˈvɪr/,"From Latin severus meaning stern, strict, or serious.","Think ""SE-VERE"" - so serious it's like a severe test of endurance.",The _____ thunderstorm caused widespread power outages and flooding.,adjective,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0.4,1.0,2.5
sewage,"Wastewater and excrement conveyed through sewers from homes, businesses, and industries to treatment facilities for processing and disposal. Sewage systems are essential infrastructure for public health, environmental protection, and urban development, removing waste materials that could otherwise contaminate water supplies and spread disease. Raw sewage contains human waste, food scraps, oils, chemicals, and other materials that require treatment to remove harmful bacteria, viruses, and pollutants before water can be safely returned to the environment. Modern sewage treatment involves physical, biological, and chemical processes to clean wastewater. Proper sewage management prevents waterborne diseases and environmental contamination. Combined sewage systems handle both wastewater and stormwater, while separate systems handle them independently. Inadequate sewage treatment remains a major global health and environmental challenge.",/ˈsuɪdʒ/,"From sew (meaning to drain) + -age suffix, related to sewer systems.","Think ""SEW-AGE"" - waste that flows through sewn-together pipe systems.",The city invested in upgrading its _____ treatment plant to meet new environmental standards.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0.4,0,1.5
sewing,"The craft or activity of joining fabrics or other materials together using stitches made with needle and thread, or with a sewing machine. Sewing encompasses a wide range of techniques from basic hand-stitching to complex machine operations, including activities such as garment construction, alterations, repairs, quilting, and decorative needlework. The practice requires understanding of fabric properties, pattern reading, measurement, cutting, and various stitching techniques. Sewing can be recreational, professional, or necessity-driven, ranging from hobby projects to fashion design and industrial textile production. Traditional sewing skills have cultural significance in many societies and are experiencing renewed interest as people seek creative outlets, sustainable fashion alternatives, and practical life skills. Modern sewing incorporates both traditional hand techniques and advanced machine technology.",/ˈsoʊɪŋ/,"From sew + -ing suffix, where sew comes from Old English seowian meaning to stitch.","Think ""SEW-ING"" - the ongoing action of sewing fabric pieces together.",Her _____ skills allowed her to create beautiful quilts and tailored clothing.,noun/verb (present participle),Scripps National Spelling Bee,Three Bee,,0.1,1.0,0.4,0.3,1.8
sfax,"A major port city in Tunisia, located on the Mediterranean coast and serving as the country's second-largest city and an important commercial and industrial center. Sfax is known for its olive oil production, fishing industry, and phosphate processing, contributing significantly to Tunisia's economy. The city features a well-preserved medina (old town) with traditional Arab architecture and has been an important trading center for centuries. Sfax serves as a gateway between Tunisia and Libya, with significant cross-border trade activities. The port handles various exports including olive oil, phosphates, and manufactured goods. The city's university and cultural institutions make it an important educational center in the region. Sfax represents a blend of traditional North African culture and modern industrial development.",/sfaks/,"From Arabic صفاقس (Safaqis), possibly from ancient Berber or Phoenician origins.","Think ""S-FAX"" - a city that might send fax messages about olive oil and trade.",The olive oil produced in _____ is considered among the finest in the Mediterranean region.,noun (proper),Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,0.5,0,1.5,2.1
sforzando,"A musical term indicating that a note or chord should be played with sudden, strong emphasis or accent, typically marked with the abbreviation ""sf"" or ""sfz"" in sheet music. Sforzando represents a dramatic dynamic effect where musicians must quickly increase volume and intensity for specific notes or passages, creating contrast and musical interest. The technique requires precise control and coordination among ensemble members to achieve the desired impact without disrupting overall musical flow. Sforzando differs from other dynamic markings by emphasizing suddenness and force rather than gradual changes. Composers use sforzando to highlight important musical moments, create tension, or add dramatic flair to compositions. The effect can be applied to individual notes, chords, or brief passages, and is common in classical, romantic, and contemporary classical music.",/sfɔrˈtsando/,"From Italian sforzando meaning forcing or straining, from sforzare meaning to force.","Think ""S-FORZ-ANDO"" - using force in music to create sudden, strong emphasis.",The orchestra executed the _____ passage with perfect timing and dramatic intensity.,adverb/adjective,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,2.0,0.7,0.7,3.5
sget,"A term that appears to be either a typographical error, a technical abbreviation, or a word from a specialized context that is not widely recognized in standard English dictionaries. Without additional context, this may represent a data entry error, a specialized technical term, or an abbreviation specific to certain fields or software systems. It could potentially be related to computer programming, where abbreviated commands or function names are common, or it might be a term from another language that has been transliterated. The unusual letter combination and lack of clear etymology suggest this may not be a standard English word. Further context would be needed to provide an accurate definition and usage explanation.",/sɡɛt/,"Etymology unclear; may be an abbreviation, error, or specialized term.",This appears to be an unclear or potentially erroneous entry requiring verification.,The meaning of _____ requires additional context to understand its proper usage.,unclear,Scripps National Spelling Bee,Three Bee,,0.1,0.5,0,0,0.6
shaanxinoun,"[COMBINED WORD ERROR] This appears to be multiple words combined: ""shaanxi"" (a province in China) and ""noun"" (a grammatical term for naming words). This combination likely resulted from a data processing error where two separate dictionary entries were merged without proper spacing. The correct format should separate these as distinct words with their individual meanings and contexts.",/ʃɑːnˈʃinaʊn/,Error combination of Chinese Shaanxi (province name) + Latin nomen (noun),This is a combined word error - look for the separation between Shaanxi and noun.,The data contained an error where _____ appeared instead of two separate words.,error,Scripps National Spelling Bee,Three Bee,,0.1,2.0,1.0,1.5,4.6
shade,"Comparative darkness and coolness caused by shelter from direct sunlight, or a color variation that is darker than the pure hue. Shade provides relief from sun exposure and heat, making outdoor spaces more comfortable during warm weather. Natural shade comes from trees, buildings, and geographical features, while artificial shade can be created with umbrellas, awnings, and structures. In art and design, shade refers to darker variations of colors created by adding black or by the absence of light. The term can also mean a slight difference or variation, as in ""shades of meaning."" Metaphorically, shade can refer to a ghost or spirit, or to subtle criticism or disdain. Window shades are coverings that control light and privacy in buildings.",/ʃeɪd/,From Old English sceadu meaning shadow or darkness.,"Think ""SHADE"" - shelter that helps you evade direct sunlight.",The large oak tree provided welcome _____ during the hot summer afternoon.,noun/verb,Scripps National Spelling Bee,One Bee,,0.1,1.0,0,0.3,1.4000000000000001
