"word","definition","example_sentence","source_difficulty","difficulty_level","difficulty_name","ai_difficulty_level","ai_difficulty_name","phonetic_transparency_score","word_frequency_score","morphology_score","etymology_score","difficulty_calculation_method","part_of_speech","pronunciation_guide","etymology","etymology_source","memory_tips","alternate_spellings","language_origin","definition_source","source_names","source_difficulties","frequency","original_source","source_access_date"
"sunrise","The daily appearance of the sun above the eastern horizon; the time when the sun rises; dawn; the colors and phenomena associated with the sun's morning appearance.","The photographer captured the beautiful _____ over the mountain lake.","Three Bee","","","","","2.0","3.0","1.0","1.5","4-factor weighted model (overall_score: 1.95)","noun","SUHN-rahyz (emphasis on first syllable)","Compound word: ""sun"" + ""rise,"" describing the sun's upward movement","Claude","Compound word: sun + rise - when the sun rises up","","English","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"sunseeker","A person who seeks out sunny places or warm climates; someone who travels to find sunshine and warmth, especially during colder months; a sun-worshipper.","As a dedicated _____, she spent every winter vacation in tropical destinations.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","1.0","1.5","4-factor weighted model (overall_score: 1.78)","noun","SUHN-see-ker (emphasis on first syllable)","Compound word: ""sun"" + ""seeker,"" one who seeks the sun","Claude","Compound word: sun + seeker - someone who seeks the sun","","English","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2021; 2022; 2023; 2024; 2025)","2025-08-19"
"sunt","Latin word meaning ""they are"" or ""there are""; the third person plural present indicative of the verb ""esse"" (to be). Used in Latin texts and legal terminology.","The Latin phrase ""_____ quod videntur"" means ""they are what they seem.""","Three Bee; Two Bee","","","","","1.0","2.5","1.0","2.0","4-factor weighted model (overall_score: 1.65)","verb (Latin)","SOONT (rhymes with ""hunt"")","From Latin ""esse"" (to be), third person plural present form","Claude","Think ""s-unt"" - they are (s for ""they"" + unt ending)","","Latin","Claude","Scripps National Spelling Bee","Three Bee; Two Bee","2.5","Scripps National Spelling Bee Words of the Champions (2023; 2024; 2025)","2025-08-19"
"superb","Excellent; of very high quality; impressive; magnificent; exceptionally good or outstanding. Used to describe something that exceeds expectations or standards.","The chef's _____ presentation of the dish impressed all the food critics.","Three Bee","","","","","1.5","3.0","1.5","2.0","4-factor weighted model (overall_score: 2.05)","adjective","soo-PERB (emphasis on second syllable)","From Latin ""superbus"" meaning ""proud"" or ""excellent,"" from ""super"" (above)","Claude","Think ""super-b"" - beyond super, it's superb!","","Latin","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"supercilious","Behaving or looking as though one thinks oneself superior to others; showing arrogant disdain; condescending; haughty. Characterized by an attitude of superiority and contempt.","His _____ attitude toward his coworkers made him unpopular in the office.","One Bee; Three Bee; Two Bee","","","","","3.0","2.0","2.0","2.0","4-factor weighted model (overall_score: 2.25)","adjective","soo-per-SIL-ee-uhs (emphasis on third syllable)","From Latin ""superciliosus,"" from ""supercilium"" (eyebrow), referring to raised eyebrows","Claude","Think ""super-cilious"" - super silly attitude of superiority","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"superficiality","The quality of being concerned only with surface aspects rather than underlying realities; lack of depth in thought, feeling, or understanding; shallowness; the state of being superficial.","The critic dismissed the novel's _____ and lack of meaningful character development.","One Bee; Three Bee; Two Bee","","","","","3.0","2.0","2.0","2.0","4-factor weighted model (overall_score: 2.25)","noun","soo-per-fish-ee-AL-i-tee (emphasis on fifth syllable)","From Latin ""superficies"" (surface) + ""-ality"" suffix indicating quality or state","Claude","Think ""super-ficial-ity"" - the quality of being only on the surface","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"superhero","A fictional character with extraordinary or superhuman powers who fights against evil and protects people; a person admired for exceptional courage, nobility, or achievements.","Every child dreams of being a _____ who can save the world from danger.","Three Bee","","","","","2.5","3.0","1.5","1.5","4-factor weighted model (overall_score: 2.20)","noun","SOO-per-hee-roh (emphasis on first syllable)","Compound word: ""super"" (above, beyond) + ""hero"" (brave person)","Claude","Compound word: super + hero - a hero with super powers","","English","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"superhuman","Having or showing exceptional ability or powers beyond normal human capacity; surpassing ordinary human capabilities; extraordinary; exceeding what is normal for humans.","The athlete showed _____ strength during the weightlifting competition.","Three Bee","","","","","2.5","3.0","1.5","1.5","4-factor weighted model (overall_score: 2.20)","adjective","soo-per-HYOO-muhn (emphasis on second syllable)","Compound word: ""super"" (above, beyond) + ""human""","Claude","Compound word: super + human - beyond normal human ability","","English","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"superintendent","A person who supervises or is in charge of an organization, institution, or building; the chief administrator of a school district; a caretaker or manager of an apartment building.","The school _____ announced new policies for the upcoming academic year.","One Bee","","","","","3.0","1.0","2.0","2.0","4-factor weighted model (overall_score: 1.95)","noun","soo-per-in-TEN-duhnt (emphasis on fourth syllable)","From Latin ""superintendere,"" from ""super"" (over) + ""intendere"" (to direct)","Claude","Think ""super-intend-ent"" - someone who super-intends (oversees)","","Latin","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2021)","2025-08-19"
"superior","Higher in rank, status, or quality; better than average; excellent; of high quality; more advanced or skilled; a person of higher rank or authority.","The new model showed _____ performance compared to its predecessor.","Three Bee","","","","","2.0","3.0","1.5","2.0","4-factor weighted model (overall_score: 2.17)","adjective, noun","soo-PEER-ee-er (emphasis on second syllable)","From Latin ""superior,"" comparative of ""superus"" meaning ""above""","Claude","Think ""super-ior"" - super quality, above others","","Latin","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"superlative","Of the highest quality or degree; excellent; in grammar, expressing the highest degree of comparison; an exaggerated or extravagant expression of praise.","The food critic used _____ language to describe the restaurant's exceptional cuisine.","One Bee; Two Bee","","","","","3.0","1.5","2.0","2.0","4-factor weighted model (overall_score: 2.10)","adjective, noun","soo-PER-luh-tiv (emphasis on second syllable)","From Latin ""superlativus,"" from ""superlatus"" meaning ""carried above""","Claude","Think ""super-lative"" - super praise, the highest level","","Latin","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023)","2025-08-19"
"superstar","A widely celebrated performer or athlete; a person who has achieved great fame and success in their field; someone who stands out exceptionally among their peers.","The young tennis player became a _____ after winning three consecutive championships.","Three Bee","","","","","2.5","3.0","1.5","1.5","4-factor weighted model (overall_score: 2.20)","noun","SOO-per-star (emphasis on first syllable)","Compound word: ""super"" (exceptional) + ""star"" (celebrity)","Claude","Compound word: super + star - a star that's super famous","","English","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"superstitious","Having or showing a belief in superstitions; characterized by irrational fear or reverence for the supernatural; believing in magical thinking or unfounded beliefs about cause and effect.","She was too _____ to walk under ladders or open umbrellas indoors.","One Bee; Three Bee; Two Bee","","","","","3.0","2.0","2.0","2.0","4-factor weighted model (overall_score: 2.25)","adjective","soo-per-STISH-uhs (emphasis on third syllable)","From Latin ""superstitiosus,"" from ""superstitio"" meaning ""excessive fear of the gods""","Claude","Think ""super-stitious"" - super worried about supernatural things","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"supervises","Third person singular present tense of supervise; watches over and directs the work or performance of others; oversees; manages; monitors to ensure proper execution.","The manager _____ a team of twenty employees in the manufacturing department.","Three Bee","","","","","2.5","3.0","1.5","2.0","4-factor weighted model (overall_score: 2.30)","verb (third person singular present)","SOO-per-vahy-ziz (emphasis on first syllable)","From Latin ""supervisus,"" from ""super"" (over) + ""videre"" (to see)","Claude","Think ""super-vises"" - super sees over everything","","Latin","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"supine","Lying face upward; lying on the back; showing a lack of initiative or will; passive; inactive; in grammar, a type of verbal noun in Latin.","The patient remained in a _____ position during the medical examination.","One Bee; Three Bee; Two Bee","","","","","1.5","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.62)","adjective, noun","soo-PAHYN (emphasis on second syllable)","From Latin ""supinus"" meaning ""bent backward"" or ""lying on one's back""","Claude","Think ""soup-ine"" - lying back like relaxing with soup","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"supper","An evening meal; dinner; the last meal of the day, typically eaten in the evening; in some regions, a light meal eaten late in the evening.","The family gathered around the table for their traditional Sunday _____.","One Bee","","","","","1.5","1.0","1.0","2.3","4-factor weighted model (overall_score: 1.39)","noun","SUH-per (emphasis on first syllable)","From Old French ""soper,"" from ""supe"" meaning ""soup,"" referring to evening soup","Claude","Think ""sup-per"" - the meal when you sup (eat) in the evening","","French","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020; 2021)","2025-08-19"
"supplicate","To ask humbly and earnestly; to petition respectfully; to make a humble, earnest request or prayer; to beseech or implore with humility.","The villagers came to _____ the king for relief from the heavy taxes.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.88)","verb","SUH-pli-kayt (emphasis on first syllable)","From Latin ""supplicatus,"" from ""supplex"" meaning ""kneeling, humble""","Claude","Think ""supply-cate"" - asking to supply something you need","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"supremacy","The state of being supreme; ultimate authority or power; the condition of being superior to others in authority, power, or status; dominance or preeminence.","The empire maintained its naval _____ for several centuries.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","1.5","2.0","4-factor weighted model (overall_score: 2.00)","noun","soo-PREM-uh-see (emphasis on second syllable)","From Latin ""supremus"" (highest) + ""-acy"" suffix indicating state or quality","Claude","Think ""supreme-acy"" - the state of being supreme","","Latin","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surcease","An end or cessation; a stop or pause; relief from something unpleasant; the action of stopping or coming to an end; archaic term for ending or conclusion.","The refugees longed for _____ from their suffering and hardship.","One Bee; Three Bee; Two Bee","","","","","2.0","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.75)","noun, verb","ser-SEES (emphasis on second syllable)","From Old French ""sursis,"" from Latin ""supersedere"" meaning ""to sit above, refrain""","Claude","Think ""sure-cease"" - sure to cease, definitely stopping","","Latin via French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surcharge","An additional charge or payment on top of the usual amount; an extra fee; to impose an additional charge; an overcharge or excessive burden.","The airline added a fuel _____ to all ticket prices during the energy crisis.","Three Bee","","","","","2.5","3.0","1.0","2.3","4-factor weighted model (overall_score: 2.23)","noun, verb","SER-chahrj (emphasis on first syllable)","From French ""surcharge,"" from ""sur"" (over) + ""charge"" (load, burden)","Claude","Think ""sur-charge"" - an extra charge over the normal charge","","French","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"sure","Confident in what one thinks or knows; having no doubt; certain; reliable; trustworthy; definitely going to happen; secure or stable.","She was _____ that she had locked the door before leaving the house.","One Bee; Three Bee; Two Bee","","","","","1.0","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.50)","adjective, adverb","SHUR (rhymes with ""pure"")","From Old French ""sur,"" from Latin ""securus"" meaning ""secure, safe""","Claude","Think of being secure in your knowledge - you're sure","","Latin via French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surefire","Certain to succeed; guaranteed to work; reliable; foolproof; bound to achieve the intended result; having a high probability of success.","His grandmother's recipe was a _____ way to impress dinner guests.","One Bee","","","","","2.0","1.0","1.0","1.5","4-factor weighted model (overall_score: 1.35)","adjective","SHUR-fahyr (emphasis on first syllable)","Compound word: ""sure"" (certain) + ""fire"" (from firearms that fire reliably)","Claude","Compound word: sure + fire - certain as a gun that fires reliably","","English","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"surety","A formal guarantee or pledge; certainty; confidence; a person who takes responsibility for another's debt or obligation; security given for the fulfillment of an undertaking.","The bank required a _____ before approving the large business loan.","One Bee; Three Bee; Two Bee","","","","","1.5","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.62)","noun","SHUR-i-tee (emphasis on first syllable)","From Old French ""sureté,"" from Latin ""securitas"" meaning ""security""","Claude","Think ""sure-ty"" - the quality of being sure, a guarantee","","Latin via French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2021; 2022; 2023; 2024; 2025)","2025-08-19"
"surface","The outside part or uppermost layer of something; the top or face of an object; to come to the top of water; to emerge; to become apparent or known.","The submarine rose to the _____ of the ocean after completing its mission.","Two Bee","","","","","2.0","2.0","1.0","2.3","4-factor weighted model (overall_score: 1.81)","noun, verb","SER-fis (emphasis on first syllable)","From French ""surface,"" from ""sur"" (above) + ""face"" (face)","Claude","Think ""sur-face"" - the face that's on top","","French","Claude","Scripps National Spelling Bee","Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2022)","2025-08-19"
"surfactant","A substance that reduces surface tension between two liquids or between a liquid and a solid; a compound that helps substances mix that normally don't combine, such as oil and water.","Soap works as a _____ to help water wash away grease and oil.","Three Bee","","","","","2.5","3.0","1.0","1.5","4-factor weighted model (overall_score: 2.08)","noun","ser-FAK-tuhnt (emphasis on second syllable)","Blend of ""surface"" + ""active"" + ""-ant"" suffix indicating agent","Claude","Think ""surf-act-ant"" - acts on surfaces to reduce tension","","English (coined term)","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"surfeit","An excessive amount of something; overabundance; the state of being fed or supplied to excess; to supply with too much; to overfeed or oversupply.","After the holidays, many people experience a _____ of rich food and sweets.","One Bee; Two Bee","","","","","2.0","1.5","1.0","2.3","4-factor weighted model (overall_score: 1.66)","noun, verb","SER-fit (emphasis on first syllable)","From Old French ""surfait,"" from ""sur"" (over) + ""fait"" (done)","Claude","Think ""surf-eit"" - surfing on too much of something","","French","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022)","2025-08-19"
"surgeon","A medical doctor who specializes in performing surgical operations; a physician trained to treat diseases, injuries, and deformities by cutting into the body and manipulating or removing organs and tissues.","The skilled _____ successfully removed the patient's appendix in a two-hour operation.","Two Bee","","","","","2.0","2.0","1.0","2.5","4-factor weighted model (overall_score: 1.85)","noun","SER-juhn (emphasis on first syllable)","From Old French ""surgien,"" from ""cirurgie"" (surgery), from Greek ""kheirourgia"" (hand-work)","Claude","Think ""surg-eon"" - one who does surgery","","Greek via French","Claude","Scripps National Spelling Bee","Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2022)","2025-08-19"
"surimi","A paste made from fish that has been deboned, washed, and pureed; processed seafood product often used to make imitation crab meat; a Japanese culinary preparation.","The California roll contained _____ instead of real crab meat.","One Bee; Three Bee; Two Bee","","","","","1.5","2.0","1.0","1.5","4-factor weighted model (overall_score: 1.53)","noun","soo-REE-mee (emphasis on second syllable)","From Japanese ""surimi,"" from ""suru"" (to grind) + ""mi"" (meat)","Claude","Think ""sure-me"" - Japanese ground fish, sure it's meat","","Japanese","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024)","2025-08-19"
