"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"firefly","A firefly is a nocturnal beetle that produces light through bioluminescence, creating a magical flickering effect in warm evening air. Also called lightning bugs, these insects generate light through a chemical reaction in their abdomens, using it primarily for mating communication. Fireflies are beloved for their enchanting displays during summer nights, often evoking childhood memories and romantic settings. Different species have distinct flashing patterns, colors, and timing that help them identify potential mates.","noun","FYR-fly","Compound word combining ""fire"" (referring to the light they produce) and ""fly"" (though they are actually beetles, not true flies).","English","Claude","Claude","Claude","Children ran through the yard with mason jars, trying to catch the magical _______ that blinked like tiny lanterns.","Claude","Remember ""FIRE-fly"" - insects that carry their own FIRE light as they FLY around on summer nights.","Claude","1","4","1","1","","2021","2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"firenze","Firenze is the Italian name for Florence, the capital city of Tuscany in central Italy, renowned for its art, architecture, and cultural heritage from the Renaissance period. The city is famous for masterpieces by Michelangelo, Leonardo da Vinci, and other great artists, as well as architectural marvels like the Duomo. Firenze was the birthplace of the Renaissance and remains a major tourist destination and cultural center. The name is used in Italian and by those who prefer the original Italian designation over the Anglicized ""Florence.""","proper noun","fee-REN-zay","From Latin ""Florentia,"" meaning ""flourishing,"" referring to the ancient Roman settlement that became the modern city.","Latin, Italian","Claude","Claude","Claude","Art students from around the world travel to _______ to study Renaissance masterpieces in their original setting.","Claude","Remember ""Fi-REN-ze"" - the Italian name for Florence, where the RENaissance flourished with amazing art and culture.","Claude","1","4","1","3","","2022","2022 Words of the Champions_low_ink_printable.pdf","Two Bee","False","False",""
"fires","Fires is the plural form of fire, referring to multiple instances of combustion or burning. This can describe literal fires such as wildfires, campfires, or house fires, or metaphorical fires representing passions, conflicts, or intense situations. As a verb, fires means to ignite, shoot, or dismiss. The word encompasses both the physical phenomenon of combustion and various figurative meanings related to energy, intensity, and action.","noun (plural), verb","FYRZ","Plural form of ""fire,"" from Old English ""fyr,"" or third person singular present tense of the verb ""to fire.""","Old English","Claude","Claude","Claude","The drought conditions led to several dangerous _______ spreading across the mountainous regions.","Claude","Remember ""FIRES"" - multiple flames burning, or when someone FIRES a gun or gets FIRED from a job.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fireworks","Fireworks are pyrotechnic devices designed to produce spectacular displays of light, color, sound, and effects for entertainment and celebration. These devices contain various chemical compounds that create different colors, patterns, and sounds when ignited and launched into the air. Fireworks are traditionally used to celebrate holidays, festivals, and special occasions like New Year's Eve, Independence Day, and weddings. The displays combine artistry with chemistry to create memorable visual and auditory experiences that bring people together in celebration.","noun (plural)","FYR-wurks","Compound word combining ""fire"" and ""works,"" referring to pyrotechnic devices that create fire-based displays.","English","Claude","Claude","Claude","The spectacular _______ display lit up the night sky with brilliant colors during the Independence Day celebration.","Claude","Remember ""FIRE-works"" - explosive devices that create beautiful FIRE displays that really WORK to amaze crowds.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"firkin","A firkin is a traditional English unit of measurement for liquids, particularly beer and ale, equal to one-fourth of a barrel or approximately 9 gallons (34 liters). This measurement was commonly used in brewing and was an important commercial standard for centuries. Firkins were also used as actual containers, typically made of wood, for storing and transporting beverages. The term remains in use today in traditional brewing contexts and historical references to liquid measurements.","noun","FUR-kin","From Middle English ""ferdekyn,"" from Middle Dutch ""vierdekijn,"" meaning ""fourth part"" (referring to one-fourth of a barrel).","Middle Dutch, Middle English","Claude","Claude","Claude","The traditional brewery still measures their ale production in _______ to maintain historical accuracy.","Claude","Remember ""FIR-kin"" - a measurement for beer, like asking ""FIRst, how much is in the keg?"" - about 9 gallons.","Claude","1","4","1","1","","2023; 2024; 2025","2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"firmament","Firmament refers to the heavens or sky, especially when viewed as a solid dome or vault arching over the earth. In biblical and ancient cosmology, the firmament was conceived as a solid barrier separating the waters above from the waters below. In literary and poetic contexts, firmament is used to describe the expanse of the sky, often with connotations of vastness, permanence, and divine creation. The word evokes the majesty and mystery of the celestial sphere.","noun","FUR-muh-ment","From Latin ""firmamentum,"" meaning ""strengthening"" or ""support,"" from ""firmare"" meaning ""to make firm,"" referring to the solid sky dome in ancient cosmology.","Latin","Claude","Claude","Claude","The ancient poet described the stars as jewels scattered across the vast _______ above.","Claude","Remember ""FIRM-ament"" - the FIRM dome of the sky, the solid-seeming heavens that form the celestial vault.","Claude","1","4","2","3","","2020; 2021","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"firmly","Firmly means in a strong, steady, or unwavering manner, with determination and resolve. When something is done firmly, it is executed with confidence, strength, and without hesitation or doubt. The adverb can describe physical actions performed with strength and stability, or mental and emotional states characterized by determination and conviction. Firmly suggests both physical solidity and moral or emotional steadfastness.","adverb","FURM-lee","From ""firm"" (from Latin ""firmus"" meaning ""strong"" or ""solid"") plus the adverb suffix ""-ly.""","Latin","Claude","Claude","Claude","She _______ believed that education was the key to creating a better future for her children.","Claude","Remember ""FIRM-ly"" - done in a FIRM manner, with solid determination and unwavering strength.","Claude","1","4","1","3","","2022","2022 Words of the Champions_low_ink_printable.pdf","Two Bee","False","False",""
"fiscal","Fiscal relates to government revenue, taxation, and public expenditure, or more broadly to financial matters and budgets. Fiscal policy involves government decisions about spending and taxation to influence economic conditions. A fiscal year is a 12-month period used for accounting and budgeting purposes, which may not align with the calendar year. The term emphasizes the financial and budgetary aspects of government operations and organizational planning.","adjective","FIS-kul","From Latin ""fiscalis,"" from ""fiscus"" meaning ""treasury"" or ""public revenue,"" originally referring to a woven basket used for holding money.","Latin","Claude","Claude","Claude","The government implemented new _______ policies to reduce the national debt and stimulate economic growth.","Claude","Remember ""FISC-al"" - relating to the FISC (treasury), about money and government financial matters.","Claude","1","4","1","3","","2020; 2022","2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf","One Bee; Two Bee","False","False",""
"fish","Fish are aquatic vertebrates with gills, fins, and scales, living in water and breathing through gills. These animals represent one of the most diverse groups of vertebrates, ranging from tiny minnows to massive sharks. As a verb, fish means to attempt to catch fish or to search for something indirectly. Fish are crucial to aquatic ecosystems and human food systems, serving both ecological and economic functions. The word also appears in many idioms and expressions.","noun, verb","FISH","From Old English ""fisc,"" related to similar words in other Germanic languages, ultimately from an Indo-European root.","Old English, Indo-European","Claude","Claude","Claude","The children were excited to _______ in the mountain lake during their summer camping trip.","Claude","Remember ""FISH"" - aquatic animals that SWISH through water, or the activity of trying to catch them.","Claude","2","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fission","Fission is the process of splitting or dividing into two or more parts. In nuclear physics, fission refers to the splitting of atomic nuclei, which releases enormous amounts of energy and is the principle behind nuclear power and atomic weapons. In biology, fission describes a form of asexual reproduction where organisms divide into two or more parts, each capable of growing into a complete organism. The word emphasizes division, separation, and the creation of multiple parts from one original entity.","noun","FISH-un","From Latin ""fissio,"" from ""fissus,"" past participle of ""findere"" meaning ""to split"" or ""to cleave.""","Latin","Claude","Claude","Claude","Nuclear _______ reactions in the power plant generate electricity for thousands of homes in the region.","Claude","Remember ""FISS-ion"" - the process of splitting apart, like a FISSURE that divides things into separate pieces.","Claude","1","4","2","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"fisticuffs","Fisticuffs refers to fighting with the fists, particularly boxing or bare-knuckle combat. The term often carries a somewhat old-fashioned or humorous connotation, suggesting either formal boxing matches or informal scuffles settled with fists rather than weapons. Fisticuffs emphasizes physical combat using only the hands and fists, representing a direct, personal form of conflict resolution. The word evokes images of traditional boxing or gentlemanly disputes settled through physical prowess.","noun (plural)","FIS-ti-kufs","From ""fist"" plus ""cuffs"" (meaning blows), literally referring to fighting with fists and delivering blows.","English","Claude","Claude","Claude","The disagreement between the two men was settled through old-fashioned _______ behind the tavern.","Claude","Remember ""FISTI-cuffs"" - fighting with FISTS, throwing CUFFS (blows) with your hands instead of weapons.","Claude","1","4","1","1","","2021; 2022; 2023; 2024","2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
"fists","Fists are hands with fingers clenched tightly together, typically used for striking or as a symbol of strength, anger, or determination. When someone makes a fist, they curl their fingers into their palm and clench them tightly, creating a compact, solid striking surface. Fists can represent aggression, power, solidarity, or resolve, and are used both in physical combat and as symbolic gestures. The word emphasizes the closed, clenched form of the hand prepared for action.","noun (plural)","FISTS","From Old English ""fyst,"" related to similar words in other Germanic languages, referring to the closed hand.","Old English","Claude","Claude","Claude","She raised her _______ in triumph after winning the championship boxing match.","Claude","Remember ""FISTS"" - hands clenched tight, ready to TWIST and strike with force.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fitting","Fitting can describe something that is appropriate, suitable, or proper for a particular situation or purpose. As a noun, fitting refers to a small part or component designed to connect, adjust, or complete something, such as plumbing fittings or clothing alterations. The word can also describe the process of adjusting something to ensure proper size, alignment, or suitability. Fitting emphasizes appropriateness, suitability, and proper adjustment.","adjective, noun, verb (present participle)","FIT-ing","From ""fit"" (possibly from Middle English ""fitten"") plus the suffix ""-ing,"" relating to suitability and adjustment.","Middle English","Claude","Claude","Claude","It seemed _______ that the ceremony honoring teachers took place in the school's historic auditorium.","Claude","Remember ""FIT-ting"" - something that FITs properly, appropriate and suitable for the situation.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"five","Five is the cardinal number between four and six, represented by the digit 5. This number holds significant cultural and mathematical importance, appearing in many natural phenomena like the five fingers on a human hand, five senses, and five-pointed stars. Five is considered a significant number in many cultures and belief systems. In mathematics, five is a prime number and appears in various geometric shapes and patterns. The number represents completion of one cycle and the beginning of another.","cardinal number, noun","FYV","From Old English ""fīf,"" related to similar numbers in other Indo-European languages, ultimately from a common ancestral root.","Old English, Indo-European","Claude","Claude","Claude","She counted _______ shooting stars during the meteor shower last night.","Claude","Remember ""FIVE"" - the number of fingers on one hand, helping you count and THRIVE in basic math.","Claude","1","4","1","1","","2023","2023_Words_of_the_Champions.pdf","Two Bee","False","False",""
"fixed","Fixed describes something that is securely attached, stationary, or unchanging. When something is fixed, it has been repaired, settled, or made stable and permanent. The word can describe physical objects that don't move, prices that don't change, or problems that have been resolved. Fixed can also describe something that has been predetermined or arranged in advance, such as a fixed schedule or fixed outcome.","adjective, verb (past tense)","FIKST","Past tense and past participle of ""fix,"" from Latin ""fixus,"" past participle of ""figere"" meaning ""to fasten"" or ""to attach.""","Latin","Claude","Claude","Claude","The mechanic _______ the broken engine and the car runs perfectly now.","Claude","Remember ""FIXED"" - something that's been made stable and secure, no longer broken or moving around.","Claude","1","4","1","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fixity","Fixity is the quality or state of being fixed, stable, or unchanging. This abstract noun describes the characteristic of permanence, steadiness, or lack of movement or variation. Fixity can refer to physical immobility, mental determination, or the stable nature of systems, relationships, or conditions. The word emphasizes the unchanging or permanent nature of something, suggesting reliability and consistency over time.","noun","FIK-si-tee","From ""fix"" (from Latin ""figere"" meaning ""to fasten"") plus the suffix ""-ity"" indicating a state or quality.","Latin","Claude","Claude","Claude","The _______ of his beliefs made it difficult for him to consider alternative viewpoints.","Claude","Remember ""FIX-ity"" - the quality of being FIXed in place, stable and unchanging like concrete.","Claude","1","4","1","3","","2020","2020 Words_of_the_Champions.pdf","One Bee","False","False",""
"fjeld","Fjeld (also spelled fjell) is a Scandinavian term referring to high, barren plateaus or mountainous areas above the tree line, characterized by rocky terrain and sparse vegetation. These elevated areas are common in Norway, Sweden, and other Nordic countries, representing distinct ecological zones where only hardy plants and animals can survive. Fjelds are important for understanding Arctic and alpine ecosystems, and they often serve as summer grazing areas for reindeer and other wildlife.","noun","FYELD","From Old Norse ""fjall"" meaning ""mountain"" or ""fell,"" related to similar words in other Scandinavian languages.","Old Norse, Scandinavian","Claude","Claude","Claude","The hikers crossed the windswept _______ where only lichens and hardy grasses could grow above the treeline.","Claude","Remember ""FJELD"" - a FroJen (frozen) high mountain FIELD where few plants can grow in the harsh conditions.","Claude","1","4","1","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"flabbergast","Flabbergast means to surprise, astonish, or overwhelm someone completely, leaving them speechless or bewildered. When someone is flabbergasted, they are so shocked or amazed that they cannot immediately respond or process what has happened. The word suggests a level of surprise that goes beyond mere astonishment to complete bewilderment or stupefaction. Flabbergast implies both the unexpectedness of the event and the profound impact it has on the person experiencing it.","verb","FLAB-er-gast","Of uncertain origin, possibly combining ""flabby"" and ""aghast,"" or from dialectal words meaning ""to confound"" or ""to astound.""","English (uncertain origin)","Claude","Claude","Claude","The surprise announcement that she had won the lottery completely _______ the entire family.","Claude","Remember ""FLABBER-gast"" - so shocked your jaw goes FLABBY and you GASP, completely overwhelmed by surprise.","Claude","1","4","2","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"flagellum","A flagellum is a whip-like appendage that enables many microorganisms to move through liquid environments. These thread-like structures extend from the cell body and rotate or undulate to propel bacteria, sperm cells, and other microscopic organisms through water or other fluids. Flagella are crucial for cellular locomotion and are found in both prokaryotic and eukaryotic cells. The structure and movement of flagella represent one of nature's most elegant solutions for microscopic mobility.","noun","fluh-JEL-um","From Latin ""flagellum,"" diminutive of ""flagrum"" meaning ""whip"" or ""scourge,"" referring to the whip-like appearance and movement.","Latin","Claude","Claude","Claude","Under the microscope, we could see the bacteria swimming by rapidly rotating their _______ structures.","Claude","Remember ""flag-ELLUM"" - a tiny whip-like FLAG that helps cells ELLipse (move) through water like a propeller.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
"flagon","A flagon is a large container, typically made of metal, ceramic, or glass, used for holding and serving beverages, particularly wine, ale, or other alcoholic drinks. Flagons usually have a narrow neck, a spout or lip for pouring, and often a handle, making them practical for serving at tables or gatherings. These vessels have been used for centuries in various cultures and are often decorative as well as functional, sometimes featuring elaborate designs or ceremonial significance.","noun","FLAG-un","From Old French ""flascon,"" possibly from Germanic origins, related to ""flask"" and referring to a large bottle or container.","Old French, Germanic","Claude","Claude","Claude","The medieval feast featured a large pewter _______ filled with spiced wine for the honored guests.","Claude","Remember ""FLAG-on"" - a large container that you FLAG down to get more drinks, or wave like a FLAG when it needs refilling.","Claude","1","4","1","2","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"flags","Flags are pieces of cloth or fabric, typically rectangular, bearing distinctive colors, patterns, or symbols that represent countries, organizations, or causes. Flags serve as symbols of identity, allegiance, and communication, used in ceremonies, celebrations, and official functions. As a verb, flags can mean to mark something for attention, to wave a flag, or to become weak or tired. Flags are powerful symbols that evoke patriotism, pride, and unity among groups of people.","noun (plural), verb","FLAGZ","From Middle English ""flagge,"" possibly from Old Norse ""flaga"" meaning ""slab of stone,"" later applied to cloth banners.","Middle English, Old Norse","Claude","Claude","Claude","The United Nations building displays _______ from all member countries in alphabetical order.","Claude","Remember ""FLAGS"" - colorful cloth symbols that FLAP in the wind, representing nations and groups with pride.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"flailed","Flailed is the past tense of flail, meaning to wave, swing, or strike wildly and without control. When someone has flailed, they made energetic but uncontrolled movements, often with their arms or legs, typically in response to panic, excitement, or loss of balance. The word can also refer to beating grain with a flail (a farming tool) to separate seeds from stalks. Flailed suggests vigorous but ineffective or uncoordinated movement.","verb (past tense)","FLAYLD","From ""flail,"" from Old English ""flegil,"" from Latin ""flagellum"" meaning ""whip,"" referring to the threshing tool and its motion.","Latin, Old English","Claude","Claude","Claude","She _______ her arms wildly as she tried to regain her balance on the icy sidewalk.","Claude","Remember ""FLAILED"" - moved arms wildly like a FLAIL tool, swinging without control or coordination.","Claude","1","4","1","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"flamboyant","Flamboyant describes someone or something that is tending to attract attention through exuberant, colorful, or ostentatious behavior or appearance. When something is flamboyant, it is characterized by elaborate, showy, or dramatically expressive qualities that stand out from the ordinary. The word can describe fashion, personality, architecture, or any display that emphasizes boldness, creativity, and theatrical flair. Flamboyant suggests confidence and a willingness to be noticed.","adjective","flam-BOY-ant","From French ""flamboyant,"" from ""flamboyer"" meaning ""to flame,"" referring to flame-like decorative patterns in Gothic architecture.","French","Claude","Claude","Claude","The performer's _______ costume featured bright feathers, sequins, and flowing ribbons that sparkled under the stage lights.","Claude","Remember ""FLAMBOY-ant"" - like a FLAME that's BUOYANT, bright and showy, attracting attention with dramatic flair.","Claude","1","4","1","2","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"flambé","Flambé is a cooking technique where alcohol is added to a dish and then ignited, creating dramatic flames that burn off the alcohol while leaving enhanced flavor. This spectacular culinary method is often performed tableside in restaurants for dramatic effect, with dishes like Bananas Foster or Cherries Jubilee. The flames typically burn for a few seconds, evaporating the alcohol content while concentrating the flavors. Flambé combines culinary skill with theatrical presentation, making dining an entertaining experience.","adjective, noun, verb","flam-BAY","From French ""flambé,"" past participle of ""flamber"" meaning ""to flame"" or ""to burn,"" referring to the ignition process.","French","Claude","Claude","Claude","The chef prepared Crepes Suzette _______ at our table, creating an impressive display of blue flames.","Claude","Remember ""flam-BAY"" - a cooking technique where you set food on fire in a dramatic BLAZE, burning away alcohol.","Claude","1","4","1","2","","2020; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
